# STEP Bible — Numbers 14

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Numbers 14:1

**Original:** וַתִּשָּׂא֙ כָּל־ הָ֣עֵדָ֔ה וַֽיִּתְּנ֖וּ אֶת־ קוֹלָ֑ם וַיִּבְכּ֥וּ הָעָ֖ם בַּלַּ֥יְלָה הַהֽוּא׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וַ/תִּשָּׂא֙ | va./ti.Sa' | and/ it lifted up | H5375N | Hc/Vqw3fs — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Singular Feminine | נָשָׂא (na.sa): to lift: loud |
| 2 | כָּל\־ | kol- | all | H3605 | HNcmsc — Noun (Singular Masculine, Construct) | כֹּל (kol): all |
| 3 | הָ֣/עֵדָ֔ה | ha./'e.Dah | the/ congregation | H5712 | HTd/Ncfsa — Definite article (Hebrew) + Noun (Singular Feminine, Absolute) | עֵדָה (e.dah): congregation |
| 4 | וַֽ/יִּתְּנ֖וּ | va/i.yi.te.Nu | and/ they gave forth | H5414M | Hc/Vqw3mp — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Plural Masculine | נָתַן (na.tan): to give: cry out |
| 5 | אֶת\־ | 'et- | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 6 | קוֹלָ֑/ם | ko.La/m | voice/ their | H6963H | HNcmsc/Sp3mp — Noun (Singular Masculine, Construct) + Suffix (Third Plural Masculine) | קוֹל (qol): voice: sound |
| 7 | וַ/יִּבְכּ֥וּ | va/i.yiv.Ku | and/ they wept | H1058 | Hc/Vqw3mp — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Plural Masculine | בָּכָה (ba.khah): to weep |
| 8 | הָ/עָ֖ם | ha./'Am | the/ people | H5971A | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | עַם (am): people |
| 9 | בַּ/לַּ֥יְלָה | ba./Lay.lah | in the/ night | H3915 | HRd/Ncmsa — Preposition (Definite) + Noun (Singular Masculine, Absolute) | לַ֫יְלָה (lay.lah): night |
| 10 | הַ/הֽוּא\׃ | ha./Hu' | <the>/ that | H1931 | HTd/Pp3ms — Definite article (Hebrew) + Pronoun (Third Singular Masculine) | הוּא (hu): he/she/it |

## Numbers 14:2

**Original:** וַיִּלֹּ֙נוּ֙ עַל־ מֹשֶׁ֣ה וְעַֽל־ אַהֲרֹ֔ן כֹּ֖ל בְּנֵ֣י יִשְׂרָאֵ֑ל וַֽיֹּאמְר֨וּ אֲלֵהֶ֜ם כָּל־ הָעֵדָ֗ה לוּ־ מַ֙תְנוּ֙ בְּאֶ֣רֶץ מִצְרַ֔יִם א֛וֹ בַּמִּדְבָּ֥ר הַזֶּ֖ה לוּ־ מָֽתְנוּ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וַ/יִּלֹּ֙נוּ֙ | va/i.yi.Lo.nu | and/ they grumbled | H3885B | Hc/VNw3mp — Consecutive Conjunction + Verb : Niphal (Simple, Passive) Consecutive Imperfect (Past/present Indicative) Third Plural Masculine | לוּן (lun): to grumble |
| 2 | עַל\־ | 'al- | on | H5921A | HR — Preposition | עַל (al): upon |
| 3 | מֹשֶׁ֣ה | mo.Sheh | Moses | H4872 | HNpm — Proper Noun (Masculine individual) | מֹשֶׁה (mo.sheh): Moses |
| 4 | וְ/עַֽל\־ | ve./'al- | and/ on | H5921A | HC/R — Conjunction + Preposition | עַל (al): upon |
| 5 | אַהֲרֹ֔ן | 'a.ha.Ron | Aaron | H175 | HNpm — Proper Noun (Masculine individual) | אַהֲרֹן (a.ha.ron): Aaron |
| 6 | כֹּ֖ל | kol | all | H3605 | HNcmsc — Noun (Singular Masculine, Construct) | כֹּל (kol): all |
| 7 | בְּנֵ֣י | be.Nei | [the] people of | H1121G | HNcmpc — Noun (Plural Masculine, Construct) | בֵּן (ben): son: descendant/people |
| 8 | יִשְׂרָאֵ֑ל | Yis.ra.'El | Israel | H3478 | HNpl — Proper Noun (Location) | יִשְׂרָאֵל (yis.ra.el): Israel |
| 9 | וַֽ/יֹּאמְר֨וּ | va/i.yo.me.Ru | and/ they said | H559 | Hc/Vqw3mp — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Plural Masculine | אָמַר (a.mar): to say |
| 10 | אֲלֵ/הֶ֜ם | 'a.le./Hem | to/ them | H413 | HRd/Sp3mp — Preposition (Definite) + Suffix (Third Plural Masculine) | אֶל (el): to(wards) |
| 11 | כָּל\־ | kol- | all | H3605 | HNcmsc — Noun (Singular Masculine, Construct) | כֹּל (kol): all |
| 12 | הָ/עֵדָ֗ה | ha./'e.Dah | the/ congregation | H5712 | HTd/Ncfsa — Definite article (Hebrew) + Noun (Singular Feminine, Absolute) | עֵדָה (e.dah): congregation |
| 13 | לוּ\־ | lu- | if | H3863 | HC — Conjunction | לוּ (lu): if |
| 14 | מַ֙תְנוּ֙ | mat.nu | we had died | H4191 | HVqp1cp — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) First Plural Either gender | מוּת (mut): to die |
| 15 | בְּ/אֶ֣רֶץ | be./'E.retz | in/ [the] land of | H776G | HR/Ncfsc — Preposition + Noun (Singular Feminine, Construct) | אֶ֫רֶץ (e.rets): land: country/planet |
| 16 | מִצְרַ֔יִם | mitz.Ra.yim | Egypt | H4714G | HNpl — Proper Noun (Location) | מִצְרַ֫יִם (mits.ra.yim): Egypt |
| 17 | א֛וֹ | 'o | or | H176A | HC — Conjunction | אוֹ (o): or |
| 18 | בַּ/מִּדְבָּ֥ר | ba./mid.Bar | in the/ wilderness | H4057B | HRd/Ncmsa — Preposition (Definite) + Noun (Singular Masculine, Absolute) | מִדְבָּר (mid.bar): wilderness |
| 19 | הַ/זֶּ֖ה | ha./Zeh | <the>/ this | H2088 | HTd/Tm — Definite article (Hebrew) + Demonstrative Particle | זֶה (zeh): this |
| 20 | לוּ\־ | lu- | if | H3863 | HC — Conjunction | לוּ (lu): if |
| 21 | מָֽתְנוּ\׃ | Ma.te.nu | we had died | H4191 | HVqp1cp — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) First Plural Either gender | מוּת (mut): to die |

## Numbers 14:3

**Original:** וְלָמָ֣ה יְ֠הוָה מֵבִ֨יא אֹתָ֜נוּ אֶל־ הָאָ֤רֶץ הַזֹּאת֙ לִנְפֹּ֣ל בַּחֶ֔רֶב נָשֵׁ֥ינוּ וְטַפֵּ֖נוּ יִהְי֣וּ לָבַ֑ז הֲל֧וֹא ט֦וֹב לָ֖נוּ שׁ֥וּב מִצְרָֽיְמָה׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וְ/לָ/מָ֣ה | ve./la./Mah | and/ <to>/ why? | H4100 | HC/R/Pi — Conjunction + Preposition + Interrogative Pronoun | מָה (mah): what? |
| 2 | יְ֠הוָה | Yah.weh | [is] Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 3 | מֵבִ֨יא | me.Vi' | bringing | H935P | HVhrmsa — Verb : Hiphil (Causative/declarative, Active) Participle (Singular Masculine, Absolute) | בּוֹא (bo): to come (in): bring |
| 4 | אֹתָ֜/נוּ | 'o.Ta./nu | <obj.>/ us | H853 | HTo/Sp1bp — Object indicator + Suffix (First Plural Either gender) | אֵת (et): [Obj.] |
| 5 | אֶל\־ | 'el- | into | H413 | HR — Preposition | אֶל (el): to(wards) |
| 6 | הָ/אָ֤רֶץ | ha./'A.retz | the/ land | H776G | HTd/Ncfsa — Definite article (Hebrew) + Noun (Singular Feminine, Absolute) | אֶ֫רֶץ (e.rets): land: country/planet |
