# STEP Bible — Numbers 18

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Numbers 18:1

**Original:** וַיֹּ֤אמֶר יְהוָה֙ אֶֽל־ אַהֲרֹ֔ן אַתָּ֗ה וּבָנֶ֤יךָ וּבֵית־ אָבִ֙יךָ֙ אִתָּ֔ךְ תִּשְׂא֖וּ אֶת־ עֲוֹ֣ן הַמִּקְדָּ֑שׁ וְאַתָּה֙ וּבָנֶ֣יךָ אִתָּ֔ךְ תִּשְׂא֖וּ אֶת־ עֲוֹ֥ן כְּהֻנַּתְכֶֽם׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וַ/יֹּ֤אמֶר | va/i.Yo.mer | and/ he said | H559 | Hc/Vqw3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Singular Masculine | אָמַר (a.mar): to say |
| 2 | יְהוָה֙ | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 3 | אֶֽל\־ | 'el- | to | H413 | HR — Preposition | אֶל (el): to(wards) |
| 4 | אַהֲרֹ֔ן | 'a.ha.Ron | Aaron | H175 | HNpm — Proper Noun (Masculine individual) | אַהֲרֹן (a.ha.ron): Aaron |
| 5 | אַתָּ֗ה | 'a.Tah | you | H859A | HPp2ms — Pronoun (Second Singular Masculine) | אַתָּ֫ה (at.tah): you(m.s.) |
| 6 | וּ/בָנֶ֤י/ךָ | u./va.Nei./kha | and/ sons/ your | H1121A | HC/Ncmpc/Sp2ms — Conjunction + Noun (Plural Masculine, Construct) + Suffix (Second Singular Masculine) | בֵּן (ben): son: child |
| 7 | וּ/בֵית\־ | u./veit- | and/ [the] house of | H1004M | HC/Ncmsc — Conjunction + Noun (Singular Masculine, Construct) | בַּ֫יִת (ba.yit): house: household |
| 8 | אָבִ֙י/ךָ֙ | 'a.Vi./kha | ancestor/ your | H1G | HNcmsc/Sp2ms — Noun (Singular Masculine, Construct) + Suffix (Second Singular Masculine) | אָב (av): father |
| 9 | אִתָּ֔/ךְ | 'i.Ta/kh | with/ you | H854 | HRd/Sp2ms — Preposition (Definite) + Suffix (Second Singular Masculine) | אֵת (et): with |
| 10 | תִּשְׂא֖וּ | tis.'U | you will bear | H5375J | HVqi2mp — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Second Plural Masculine | נָשָׂא (na.sa): to lift: guilt |
| 11 | אֶת\־ | 'et- | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 12 | עֲוֹ֣ן | 'a.Von | [the] guilt of | H5771G | HNcmsc — Noun (Singular Masculine, Construct) | עָוֺן (a.van): iniquity: crime |
| 13 | הַ/מִּקְדָּ֑שׁ | ha./mik.Dash | the/ sanctuary | H4720 | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | מִקְדָּשׁ (miq.dash): sanctuary |
| 14 | וְ/אַתָּה֙ | ve./'a.Tah | and/ you | H859A | HC/Pp2ms — Conjunction + Pronoun (Second Singular Masculine) | אַתָּ֫ה (at.tah): you(m.s.) |
