# STEP Bible — Numbers 2

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Numbers 2:1

**Original:** וַיְדַבֵּ֣ר יְהוָ֔ה אֶל־ מֹשֶׁ֥ה וְאֶֽל־ אַהֲרֹ֖ן לֵאמֹֽר׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וַ/יְדַבֵּ֣ר | va/y.da.Ber | and/ he spoke | H1696G | Hc/Vpw3ms — Consecutive Conjunction + Verb : Piel (Intensive/resultive/transtive, Active) Consecutive Imperfect (Past/present Indicative) Third Singular Masculine | דָבַר (da.var): to speak: speak |
| 2 | יְהוָ֔ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 3 | אֶל\־ | 'el- | to | H413 | HR — Preposition | אֶל (el): to(wards) |
| 4 | מֹשֶׁ֥ה | mo.Sheh | Moses | H4872 | HNpm — Proper Noun (Masculine individual) | מֹשֶׁה (mo.sheh): Moses |
| 5 | וְ/אֶֽל\־ | ve./'el- | and/ to | H413 | HC/R — Conjunction + Preposition | אֶל (el): to(wards) |
| 6 | אַהֲרֹ֖ן | 'a.ha.Ron | Aaron | H175 | HNpm — Proper Noun (Masculine individual) | אַהֲרֹן (a.ha.ron): Aaron |
| 7 | לֵ/אמֹֽר\׃ | le./Mor | <to>/ saying | H559 | HR/Vqcc — Preposition + Verb : Qal (Simple, Active) Infinitive Construct | אָמַר (a.mar): to say |

## Numbers 2:2

**Original:** אִ֣ישׁ עַל־ דִּגְל֤וֹ בְאֹתֹת֙ לְבֵ֣ית אֲבֹתָ֔ם יַחֲנ֖וּ בְּנֵ֣י יִשְׂרָאֵ֑ל מִנֶּ֕גֶד סָבִ֥יב לְאֹֽהֶל־ מוֹעֵ֖ד יַחֲנֽוּ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | אִ֣ישׁ | 'ish | everyone | H376I | HNcmsa — Noun (Singular Masculine, Absolute) | אִישׁ (ish): man: anyone |
| 2 | עַל\־ | 'al- | at | H5921A | HR — Preposition | עַל (al): upon |
| 3 | דִּגְל֤/וֹ | dig.L/o | standard/ his | H1714 | HNcmsc/Sp3ms — Noun (Singular Masculine, Construct) + Suffix (Third Singular Masculine) | דֶּ֫גֶל (de.gel): standard |
| 4 | בְ/אֹתֹת֙ | ve./'o.Tot | with/ [the] signs | H226H | HR/Ncfpa — Preposition + Noun (Plural Feminine, Absolute) | אוֹת (ot): sign: indicator |
| 5 | לְ/בֵ֣ית | le./Veit | of/ [the] house of | H1004M | HR/Ncmsc — Preposition + Noun (Singular Masculine, Construct) | בַּ֫יִת (ba.yit): house: household |
| 6 | אֲבֹתָ֔/ם | 'a.vo.Ta/m | ancestors/ their | H1G | HNcfpc/Sp3mp — Noun (Plural Feminine, Construct) + Suffix (Third Plural Masculine) | אָב (av): father |
| 7 | יַחֲנ֖וּ | ya.cha.Nu | they will encamp | H2583 | HVqi3mp — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Plural Masculine | חָנָה (cha.nah): to camp |
| 8 | בְּנֵ֣י | be.Nei | [the] people of | H1121G | HNcmpc — Noun (Plural Masculine, Construct) | בֵּן (ben): son: descendant/people |
| 9 | יִשְׂרָאֵ֑ל | Yis.ra.'El | Israel | H3478 | HNpl — Proper Noun (Location) | יִשְׂרָאֵל (yis.ra.el): Israel |
| 10 | מִ/נֶּ֕גֶד | mi./Ne.ged | from/ before | H5048 | HR/Acmsc — Preposition + Acmsc | נֶ֫גֶד (ne.ged): before |
| 11 | סָבִ֥יב | sa.Viv | around | H5439H | HNcbsa — Noun (Singular Either gender, Absolute) | סָבִיב (sa.viv): around: side |
| 12 | לְ/אֹֽהֶל\־ | le./'o.hel- | <to>/ [the] tent of | H168G | HR/Ncmsc — Preposition + Noun (Singular Masculine, Construct) | אֹ֫הֶל (o.hel): tent |
| 13 | מוֹעֵ֖ד | mo.'Ed | meeting | H4150I | HNcmsa — Noun (Singular Masculine, Absolute) | מוֹעֵד (mo.ed): meeting |
| 14 | יַחֲנֽוּ\׃ | ya.cha.Nu | they will encamp | H2583 | HVqi3mp — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Plural Masculine | חָנָה (cha.nah): to camp |

## Numbers 2:3

**Original:** וְהַחֹנִים֙ קֵ֣דְמָה מִזְרָ֔חָה דֶּ֛גֶל מַחֲנֵ֥ה יְהוּדָ֖ה לְצִבְאֹתָ֑ם וְנָשִׂיא֙ לִבְנֵ֣י יְהוּדָ֔ה נַחְשׁ֖וֹן בֶּן־ עַמִּינָדָֽב׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וְ/הַ/חֹנִים֙ | ve./ha./cho.Nim | and/ those/ [who] encamp | H2583 | HC/Td/Vqrmpa — Conjunction + Definite article (Hebrew) + Verb : Qal (Simple, Active) Participle (Plural Masculine, Absolute) | חָנָה (cha.nah): to camp |
| 2 | קֵ֣דְמָ/ה | Ke.de.ma/h | east/ -ward | H6924B | HNcmsa/Sd — Noun (Singular Masculine, Absolute) + Directional Suffix | קֵ֫דֶם (qe.dem): east |
| 3 | מִזְרָ֔חָ/ה | miz.Ra.cha/h | east/ -ward | H4217H | HNcmsa/Sd — Noun (Singular Masculine, Absolute) + Directional Suffix | מִזְרָח (miz.rach): east |
| 4 | דֶּ֛גֶל | De.gel | [will be] [the] standard of | H1714 | HNcmsc — Noun (Singular Masculine, Construct) | דֶּ֫גֶל (de.gel): standard |
| 5 | מַחֲנֵ֥ה | ma.cha.Neh | [the] camp of | H4264 | HNcfsc — Noun (Singular Feminine, Construct) | מַחֲנֶה (ma.cha.neh): camp |
| 6 | יְהוּדָ֖ה | ye.hu.Dah | Judah | H3063G | HNpl — Proper Noun (Location) | יְהוּדָה (ye.hu.dah): Judah |
| 7 | לְ/צִבְאֹתָ֑/ם | le./tziv.'o.Ta/m | to/ military groups/ their | H6635A | HR/Ncfpc/Sp3mp — Preposition + Noun (Plural Feminine, Construct) + Suffix (Third Plural Masculine) | צָבָא (tsa.va): army |
| 8 | וְ/נָשִׂיא֙ | ve./na.Si' | and/ [the] leader | H5387A | HC/Ncmsa — Conjunction + Noun (Singular Masculine, Absolute) | נָשִׂיא (na.si): leader |
| 9 | לִ/בְנֵ֣י | li/v.Nei | of/ [the] descendants of | H1121G | HR/Ncmpc — Preposition + Noun (Plural Masculine, Construct) | בֵּן (ben): son: descendant/people |
| 10 | יְהוּדָ֔ה | ye.hu.Dah | Judah | H3063G | HNpl — Proper Noun (Location) | יְהוּדָה (ye.hu.dah): Judah |
| 11 | נַחְשׁ֖וֹן | nach.Shon | [was] Nahshon | H5177 | HNpm — Proper Noun (Masculine individual) | נַחְשׁוֹן (nach.shon): Nahshon |
| 12 | בֶּן\־ | ben- | [the] son of | H1121A | HNcmsc — Noun (Singular Masculine, Construct) | בֵּן (ben): son: child |
| 13 | עַמִּינָדָֽב\׃ | 'a.mi.na.Dav | Amminadab | H5992G | HNpm — Proper Noun (Masculine individual) | עַמִּינָדָב (am.mi.na.dav): Amminadab |

## Numbers 2:4

**Original:** וּצְבָא֖וֹ וּפְקֻדֵיהֶ֑ם אַרְבָּעָ֧ה וְשִׁבְעִ֛ים אֶ֖לֶף וְשֵׁ֥שׁ מֵאֽוֹת׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וּ/צְבָא֖/וֹ | u./tze.va.'/O | and/ military group/ his | H6635A | HC/Ncmsc/Sp3ms — Conjunction + Noun (Singular Masculine, Construct) + Suffix (Third Singular Masculine) | צָבָא (tsa.va): army |
| 2 | וּ/פְקֻדֵי/הֶ֑ם | u./fe.ku.dei./Hem | and/ enrolled [men]/ their | H6485A | HC/Vqsmpc/Sp3mp — Conjunction + Verb : Qal (Simple, Passive) Participle passive (Plural Masculine, Construct) + Suffix (Third Plural Masculine) | פָּקַד (pa.qad): to reckon: list |
| 3 | אַרְבָּעָ֧ה | 'ar.ba.'Ah | [were] four | H702 | HAcbsa — Numerical Adjective (Singular Either gender, Absolute) | אַרְבַּע (ar.ba): four |
| 4 | וְ/שִׁבְעִ֛ים | ve./shiv.'Im | and/ seventy | H7657 | HC/Acmpa — Conjunction + Acmpa | שִׁבְעִים (shiv.im): seventy |
| 5 | אֶ֖לֶף | 'E.lef | thousand | H505G | HAcbsa — Numerical Adjective (Singular Either gender, Absolute) | אֶ֫לֶף (e.leph): thousand |
| 6 | וְ/שֵׁ֥שׁ | ve./Shesh | and/ six | H8337 | HC/Acbsc — Conjunction + Acbsc | שֵׁשׁ (shesh): six |
| 7 | מֵאֽוֹת\׃ | me.'ot | hundred<s> | H3967 | HAcfpa — Numerical Adjective (Plural Feminine, Absolute) | מֵאָה (me.ah): hundred |

## Numbers 2:5

**Original:** וְהַחֹנִ֥ים עָלָ֖יו מַטֵּ֣ה יִשָּׂשכָ֑ר וְנָשִׂיא֙ לִבְנֵ֣י יִשָּׂשכָ֔ר נְתַנְאֵ֖ל בֶּן־ צוּעָֽר׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וְ/הַ/חֹנִ֥ים | ve./ha./cho.Nim | and/ those/ [who] encamp | H2583 | HC/Td/Vqrmpa — Conjunction + Definite article (Hebrew) + Verb : Qal (Simple, Active) Participle (Plural Masculine, Absolute) | חָנָה (cha.nah): to camp |
| 2 | עָלָ֖י/ו | 'a.La/v | on/ him | H5921A | HRd/Sp3ms — Preposition (Definite) + Suffix (Third Singular Masculine) | עַל (al): upon |
| 3 | מַטֵּ֣ה | ma.Teh | [will be] [the] tribe of | H4294H | HNcmsc — Noun (Singular Masculine, Construct) | מַטֶּה (mat.teh): tribe |
| 4 | יִשָּׂשכָ֑ר | yi.so.sh.Khar | Issachar | H3485G | HNpm — Proper Noun (Masculine individual) | יִשָּׂשכָר (yis.sa.s.khar): Issachar |
| 5 | וְ/נָשִׂיא֙ | ve./na.Si' | and/ [the] leader | H5387A | HC/Ncmsa — Conjunction + Noun (Singular Masculine, Absolute) | נָשִׂיא (na.si): leader |
| 6 | לִ/בְנֵ֣י | li/v.Nei | of/ [the] descendants of | H1121G | HR/Ncmpc — Preposition + Noun (Plural Masculine, Construct) | בֵּן (ben): son: descendant/people |
| 7 | יִשָּׂשכָ֔ר | yi.so.sh.Khar | Issachar | H3485G | HNpm — Proper Noun (Masculine individual) | יִשָּׂשכָר (yis.sa.s.khar): Issachar |
| 8 | נְתַנְאֵ֖ל | ne.tan.'El | [was] Nethanel | H5417G | HNpm — Proper Noun (Masculine individual) | נְתַנְאֵל (ne.tan.el): Nethanel |
| 9 | בֶּן\־ | ben- | [the] son of | H1121A | HNcmsc — Noun (Singular Masculine, Construct) | בֵּן (ben): son: child |
| 10 | צוּעָֽר\׃ | tzu.'Ar | Zuar | H6686 | HNpm — Proper Noun (Masculine individual) | צוּעָר (tsu.ar): Zuar |

## Numbers 2:6

**Original:** וּצְבָא֖וֹ וּפְקֻדָ֑יו אַרְבָּעָ֧ה וַחֲמִשִּׁ֛ים אֶ֖לֶף וְאַרְבַּ֥ע מֵאֽוֹת׃\ \ס

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וּ/צְבָא֖/וֹ | u./tze.va.'/O | and/ military group/ his | H6635A | HC/Ncmsc/Sp3ms — Conjunction + Noun (Singular Masculine, Construct) + Suffix (Third Singular Masculine) | צָבָא (tsa.va): army |
| 2 | וּ/פְקֻדָ֑י/ו | u./fe.ku.Da/v | and/ enrolled [men]/ his | H6485A | HC/Vqsmpc/Sp3ms — Conjunction + Verb : Qal (Simple, Passive) Participle passive (Plural Masculine, Construct) + Suffix (Third Singular Masculine) | פָּקַד (pa.qad): to reckon: list |
| 3 | אַרְבָּעָ֧ה | 'ar.ba.'Ah | [were] four | H702 | HAcbsa — Numerical Adjective (Singular Either gender, Absolute) | אַרְבַּע (ar.ba): four |
| 4 | וַ/חֲמִשִּׁ֛ים | va./cha.mi.Shim | and/ fifty | H2572 | HC/Acmpa — Conjunction + Acmpa | חֲמִשִּׁים (cha.mish.shim): fifty |
| 5 | אֶ֖לֶף | 'E.lef | thousand | H505G | HAcbsa — Numerical Adjective (Singular Either gender, Absolute) | אֶ֫לֶף (e.leph): thousand |
