# STEP Bible — Numbers 21

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Numbers 21:1

**Original:** וַיִּשְׁמַ֞ע הַכְּנַעֲנִ֤י מֶֽלֶךְ־ עֲרָד֙ יֹשֵׁ֣ב הַנֶּ֔גֶב כִּ֚י בָּ֣א יִשְׂרָאֵ֔ל דֶּ֖רֶךְ הָאֲתָרִ֑ים וַיִּלָּ֙חֶם֙ בְּיִשְׂרָאֵ֔ל וַיִּ֥שְׁבְּ׀ מִמֶּ֖נּוּ שֶֽׁבִי׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וַ/יִּשְׁמַ֞ע | va/i.yish.Ma' | and/ he heard | H8085G | Hc/Vqw3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Singular Masculine | שָׁמַע (sha.ma): to hear: hear |
| 2 | הַ/כְּנַעֲנִ֤י | ha./ke.na.'a.Ni | the/ Canaanite | H3669A | HTd/Ngmsa — Definite article (Hebrew) + Noun (Gentilic, Singular Masculine, Absolute) | כְּנַעֲנִי (ke.na.a.ni): Canaanite |
| 3 | מֶֽלֶךְ\־ | Me.lekh- | [the] king of | H4428G | HNcmsc — Noun (Singular Masculine, Construct) | מֶ֫לֶךְ (me.lekh): king |
| 4 | עֲרָד֙ | 'a.Rad | Arad | H6166A | HNpl — Proper Noun (Location) | עֲרָד (a.rad): Arad |
| 5 | יֹשֵׁ֣ב | yo.Shev | [who] dwelt | H3427 | HVqrmsa — Verb : Qal (Simple, Active) Participle (Singular Masculine, Absolute) | יָשַׁב (ya.shav): to dwell |
| 6 | הַ/נֶּ֔גֶב | ha./Ne.gev | the/ Negev | H5045G | HTd/Npl — Definite article (Hebrew) + Proper Noun (Location) | נֶ֫גֶב (ne.gev): Negeb |
| 7 | כִּ֚י | ki | that | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 8 | בָּ֣א | ba' | it had come | H935G | HVqp3ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine | בּוֹא (bo): to come (in): come |
| 9 | יִשְׂרָאֵ֔ל | Yis.ra.'El | Israel | H3478 | HNpl — Proper Noun (Location) | יִשְׂרָאֵל (yis.ra.el): Israel |
| 10 | דֶּ֖רֶךְ | De.rekh | [the] way of | H1870K | HNcbsc — Noun (Singular Either gender, Construct) | דֶּ֫רֶךְ (de.rekh): way: road |
| 11 | הָ/אֲתָרִ֑ים | ha./'a.ta.Rim | the/ Atharim | H871 | HTd/Npl — Definite article (Hebrew) + Proper Noun (Location) | אֲתָרִים (a.ta.rim): Atharim |
| 12 | וַ/יִּלָּ֙חֶם֙ | va/i.yi.La.chem | and/ he engaged in battle | H3898A | Hc/VNw3ms — Consecutive Conjunction + Verb : Niphal (Simple, Passive) Consecutive Imperfect (Past/present Indicative) Third Singular Masculine | לָחַם (la.cham): to fight |
| 13 | בְּ/יִשְׂרָאֵ֔ל | be./Yis.ra.'El | against/ Israel | H3478 | HR/Npl — Preposition + Proper Noun (Location) | יִשְׂרָאֵל (yis.ra.el): Israel |
| 14 | וַ/יִּ֥שְׁבְּ\׀ | va/i.Yishb | and/ he took captive | H7617 | Hc/Vqw3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Singular Masculine | שָׁבָה (sha.vah): to take captive |
| 15 | מִמֶּ֖/נּוּ | mi.Me./nu | some of/ it | H4480A | HRd/Sp3ms — Preposition (Definite) + Suffix (Third Singular Masculine) | מִן־ (min): from |
| 16 | שֶֽׁבִי\׃ | She.vi | captive[s] | H7628A | HNcmsa — Noun (Singular Masculine, Absolute) | שְׁבִי (she.vi): captivity |

## Numbers 21:2

**Original:** וַיִּדַּ֨ר יִשְׂרָאֵ֥ל נֶ֛דֶר לַֽיהוָ֖ה וַיֹּאמַ֑ר אִם־ נָתֹ֨ן תִּתֵּ֜ן אֶת־ הָעָ֤ם הַזֶּה֙ בְּיָדִ֔י וְהַֽחֲרַמְתִּ֖י אֶת־ עָרֵיהֶֽם׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וַ/יִּדַּ֨ר | va/i.yi.Dar | and/ it vowed | H5087 | Hc/Vqw3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Singular Masculine | נָדַר (na.dar): to vow |
| 2 | יִשְׂרָאֵ֥ל | Yis.ra.'El | Israel | H3478 | HNpl — Proper Noun (Location) | יִשְׂרָאֵל (yis.ra.el): Israel |
| 3 | נֶ֛דֶר | Ne.der | a vow | H5088 | HNcmsa — Noun (Singular Masculine, Absolute) | נֶ֫דֶר (ne.der): vow |
| 4 | לַֽ/יהוָ֖ה | la./Yah.weh | to/ Yahweh | H3068G | HR/Npt — Preposition + Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 5 | וַ/יֹּאמַ֑ר | va/i.yo.Mar | and/ it said | H559 | Hc/Vqw3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Singular Masculine | אָמַר (a.mar): to say |
| 6 | אִם\־ | 'im- | <if> | H518A | HTc — Conditional Particle | אִם (im): if |
| 7 | נָתֹ֨ן | na.Ton | certainly [if] <to give> | H5414G | HVqaa — Verb : Qal (Simple, Active) Infinitive Absolute | נָתַן (na.tan): to give: give |
| 8 | תִּתֵּ֜ן | ti.Ten | you will give | H5414G | HVqi2ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Second Singular Masculine | נָתַן (na.tan): to give: give |
| 9 | אֶת\־ | 'et- | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 10 | הָ/עָ֤ם | ha./'Am | the/ people | H5971A | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | עַם (am): people |
| 11 | הַ/זֶּה֙ | ha./Zeh | <the>/ this | H2088 | HTd/Tm — Definite article (Hebrew) + Demonstrative Particle | זֶה (zeh): this |
| 12 | בְּ/יָדִ֔/י | be./ya.D/i | in/ hand/ my | H3027H | HR/Ncbsc/Sp1bs — Preposition + Noun (Singular Either gender, Construct) + Suffix (First Singular Either gender) | יָד (yad): hand: power |
| 13 | וְ/הַֽחֲרַמְתִּ֖י | ve./ha.cha.ram.Ti | and/ I will totally destroy | H2763A | Hc/Vhq1cs — Consecutive Conjunction + Verb : Hiphil (Causative/declarative, Active) Consecutive Perfect (Future/present Indicative) First Singular Either gender | חָרַם (cha.ram): to devote/destroy |
| 14 | אֶת\־ | 'et- | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 15 | עָרֵי/הֶֽם\׃ | 'a.rei./Hem | cities/ their | H5892B | HNcmpc/Sp3mp — Noun (Plural Masculine, Construct) + Suffix (Third Plural Masculine) | עִיר (ir): city |

## Numbers 21:3

**Original:** וַיִּשְׁמַ֨ע יְהוָ֜ה בְּק֣וֹל יִשְׂרָאֵ֗ל וַיִּתֵּן֙ אֶת־ הַֽכְּנַעֲנִ֔י וַיַּחֲרֵ֥ם אֶתְהֶ֖ם וְאֶת־ עָרֵיהֶ֑ם וַיִּקְרָ֥א שֵׁם־ הַמָּק֖וֹם חָרְמָֽה׃\ \פ

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וַ/יִּשְׁמַ֨ע | va/i.yish.Ma' | and/ he listened | H8085G | Hc/Vqw3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Singular Masculine | שָׁמַע (sha.ma): to hear: hear |
| 2 | יְהוָ֜ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 3 | בְּ/ק֣וֹל | be./Kol | to/ [the] voice of | H6963A | HR/Ncmsc — Preposition + Noun (Singular Masculine, Construct) | קוֹל (qol): voice |
| 4 | יִשְׂרָאֵ֗ל | Yis.ra.'El | Israel | H3478 | HNpl — Proper Noun (Location) | יִשְׂרָאֵל (yis.ra.el): Israel |
| 5 | וַ/יִּתֵּן֙ | va/i.yi.Ten | and/ he delivered up | H5414G | Hc/Vqw3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Singular Masculine | נָתַן (na.tan): to give: give |
