# STEP Bible — Numbers 27

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Numbers 27:1

**Original:** וַתִּקְרַ֜בְנָה בְּנ֣וֹת צְלָפְחָ֗ד בֶּן־ חֵ֤פֶר בֶּן־ גִּלְעָד֙ בֶּן־ מָכִ֣יר בֶּן־ מְנַשֶּׁ֔ה לְמִשְׁפְּחֹ֖ת מְנַשֶּׁ֣ה בֶן־ יוֹסֵ֑ף וְאֵ֙לֶּה֙ שְׁמ֣וֹת בְּנֹתָ֔יו מַחְלָ֣ה נֹעָ֔ה וְחָגְלָ֥ה וּמִלְכָּ֖ה וְתִרְצָֽה׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וַ/תִּקְרַ֜בְנָה | va./tik.Rav.nah | and/ they drew near | H7126G | Hc/Vqw3fp — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Plural Feminine | קָרַב (qa.rav): to present: come |
| 2 | בְּנ֣וֹת | be.Not | [the] daughters of | H1323G | HNcfpc — Noun (Plural Feminine, Construct) | בַּת (bat): daughter |
| 3 | צְלָפְחָ֗ד | tze.la.fe.Chad | Zelophehad | H6765 | HNpm — Proper Noun (Masculine individual) | צְלׇפְחָד (tse.loph.chad): Zelophehad |
| 4 | בֶּן\־ | ben- | [the] son of | H1121A | HNcmsc — Noun (Singular Masculine, Construct) | בֵּן (ben): son: child |
| 5 | חֵ֤פֶר | Che.fer | Hepher | H2660A | HNpm — Proper Noun (Masculine individual) | חֵ֫פֶר (che.pher): Hepher |
| 6 | בֶּן\־ | ben- | [the] son of | H1121A | HNcmsc — Noun (Singular Masculine, Construct) | בֵּן (ben): son: child |
| 7 | גִּלְעָד֙ | gil.'Ad | Gilead | H1568H | HNpm — Proper Noun (Masculine individual) | גִּלְעָד (gil.ad): Gilead |
| 8 | בֶּן\־ | ben- | [the] son of | H1121A | HNcmsc — Noun (Singular Masculine, Construct) | בֵּן (ben): son: child |
| 9 | מָכִ֣יר | ma.Khir | Makir | H4353G | HNpm — Proper Noun (Masculine individual) | מָכִיר (ma.khir): Machir |
| 10 | בֶּן\־ | ben- | [the] son of | H1121A | HNcmsc — Noun (Singular Masculine, Construct) | בֵּן (ben): son: child |
| 11 | מְנַשֶּׁ֔ה | me.na.Sheh | Manasseh | H4519G | HNpm — Proper Noun (Masculine individual) | מְנַשֶּׁה (me.nash.sheh): Manasseh |
| 12 | לְ/מִשְׁפְּחֹ֖ת | le./mish.pe.Chot | of/ [the] clans of | H4940 | HR/Ncfpc — Preposition + Noun (Plural Feminine, Construct) | מִשְׁפָּחָה (mish.pa.chah): family |
| 13 | מְנַשֶּׁ֣ה | me.na.Sheh | Manasseh | H4519G | HNpm — Proper Noun (Masculine individual) | מְנַשֶּׁה (me.nash.sheh): Manasseh |
| 14 | בֶן\־ | ven- | [the] son of | H1121A | HNcmsc — Noun (Singular Masculine, Construct) | בֵּן (ben): son: child |
| 15 | יוֹסֵ֑ף | yo.Sef | Joseph | H3130G | HNpm — Proper Noun (Masculine individual) | יוֹסֵף (yo.seph): Joseph |
| 16 | וְ/אֵ֙לֶּה֙ | ve./'E.leh | and/ these | H428 | HC/Tm — Conjunction + Demonstrative Particle | אֵ֫לֶּה (el.leh): these |
| 17 | שְׁמ֣וֹת | she.Mot | [were] [the] names of | H8034 | HNcfpc — Noun (Plural Feminine, Construct) | שֵׁם (shem): name |
| 18 | בְּנֹתָ֔י/ו | be.no.Ta/v | daughters/ his | H1323G | HNcfpc/Sp3ms — Noun (Plural Feminine, Construct) + Suffix (Third Singular Masculine) | בַּת (bat): daughter |
| 19 | מַחְלָ֣ה | mach.Lah | Mahlah | H4244G | HNpf — Proper Noun (Feminine individual) | מַחְלָה (mach.lah): Mahlah |
| 20 | נֹעָ֔ה | no.'Ah | Noah | H5270 | HNpf — Proper Noun (Feminine individual) | נֹעָה (no.ah): Noah |
| 21 | וְ/חָגְלָ֥ה | ve./cha.ge.Lah | and/ Hoglah | H2295 | HC/Npf — Conjunction + Proper Noun (Feminine individual) | חׇגְלָה (chog.lah): Hoglah |
| 22 | וּ/מִלְכָּ֖ה | u./mil.Kah | and/ Milcah | H4435H | HC/Npf — Conjunction + Proper Noun (Feminine individual) | מִלְכָּה (mil.kah): Milcah |
| 23 | וְ/תִרְצָֽה\׃ | ve./tir.Tzah | and/ Tirzah | H8656G | HC/Npf — Conjunction + Proper Noun (Feminine individual) | תִּרְצָה (tir.tsah): Tirzah |

## Numbers 27:2

**Original:** וַֽתַּעֲמֹ֜דְנָה לִפְנֵ֣י מֹשֶׁ֗ה וְלִפְנֵי֙ אֶלְעָזָ֣ר הַכֹּהֵ֔ן וְלִפְנֵ֥י הַנְּשִׂיאִ֖ם וְכָל־ הָעֵדָ֑ה פֶּ֥תַח אֹֽהֶל־ מוֹעֵ֖ד לֵאמֹֽר׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וַֽ/תַּעֲמֹ֜דְנָה | va./ta.'a.Mo.de.nah | and/ they took their stand | H5975G | Hc/Vqw3fp — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Plural Feminine | עָמַד (a.mad): to stand: stand |
| 2 | לִ/פְנֵ֣י | li/f.Nei | <to>/ before | H6440G | HR/Ncmpc — Preposition + Noun (Plural Masculine, Construct) | פָּנֶה (pa.neh): face: before |
| 3 | מֹשֶׁ֗ה | mo.Sheh | Moses | H4872 | HNpm — Proper Noun (Masculine individual) | מֹשֶׁה (mo.sheh): Moses |
| 4 | וְ/לִ/פְנֵי֙ | ve./li/f.Nei | and/ <to>/ before | H6440G | HC/R/Ncmpc — Conjunction + Preposition + Noun (Plural Masculine, Construct) | פָּנֶה (pa.neh): face: before |
| 5 | אֶלְעָזָ֣ר | 'el.'a.Zar | Eleazar | H499G | HNpm — Proper Noun (Masculine individual) | אֶלְעָזָר (el.a.zar): Eleazar |
| 6 | הַ/כֹּהֵ֔ן | ha./ko.Hen | the/ priest | H3548 | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | כֹּהֵן (ko.hen): priest |
| 7 | וְ/לִ/פְנֵ֥י | ve./li/f.Nei | and/ <to>/ before | H6440G | HC/R/Ncmpc — Conjunction + Preposition + Noun (Plural Masculine, Construct) | פָּנֶה (pa.neh): face: before |
| 8 | הַ/נְּשִׂיאִ֖ם | ha./ne.si.'Im | the/ leaders | H5387A | HTd/Ncmpa — Definite article (Hebrew) + Noun (Plural Masculine, Absolute) | נָשִׂיא (na.si): leader |
| 9 | וְ/כָל\־ | ve./khol | and/ all | H3605 | HC/Ncmsc — Conjunction + Noun (Singular Masculine, Construct) | כֹּל (kol): all |
| 10 | הָ/עֵדָ֑ה | ha./'e.Dah | the/ congregation | H5712 | HTd/Ncfsa — Definite article (Hebrew) + Noun (Singular Feminine, Absolute) | עֵדָה (e.dah): congregation |
| 11 | פֶּ֥תַח | Pe.tach | [the] entrance of | H6607 | HNcmsc — Noun (Singular Masculine, Construct) | פֶּ֫תַח (pe.tach): entrance |
| 12 | אֹֽהֶל\־ | 'o.hel- | [the] tent of | H168G | HNcmsc — Noun (Singular Masculine, Construct) | אֹ֫הֶל (o.hel): tent |
| 13 | מוֹעֵ֖ד | mo.'Ed | meeting | H4150I | HNcmsa — Noun (Singular Masculine, Absolute) | מוֹעֵד (mo.ed): meeting |
| 14 | לֵ/אמֹֽר\׃ | le./Mor | <to>/ saying | H559 | HR/Vqcc — Preposition + Verb : Qal (Simple, Active) Infinitive Construct | אָמַר (a.mar): to say |

## Numbers 27:3

