# STEP Bible — Numbers 33

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Numbers 33:1

**Original:** אֵ֜לֶּה מַסְעֵ֣י בְנֵֽי־ יִשְׂרָאֵ֗ל אֲשֶׁ֥ר יָצְא֛וּ מֵאֶ֥רֶץ מִצְרַ֖יִם לְצִבְאֹתָ֑ם בְּיַד־ מֹשֶׁ֖ה וְאַהֲרֹֽן׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | אֵ֜לֶּה | 'E.leh | these | H428 | HTm — Demonstrative Particle | אֵ֫לֶּה (el.leh): these |
| 2 | מַסְעֵ֣י | mas.'Ei | [are] [the] settings out of | H4550 | HNcmpc — Noun (Plural Masculine, Construct) | מַסַּע (mas.sa): journey |
| 3 | בְנֵֽי\־ | ve.nei- | [the] people of | H1121G | HNcmpc — Noun (Plural Masculine, Construct) | בֵּן (ben): son: descendant/people |
| 4 | יִשְׂרָאֵ֗ל | Yis.ra.'El | Israel | H3478 | HNpl — Proper Noun (Location) | יִשְׂרָאֵל (yis.ra.el): Israel |
| 5 | אֲשֶׁ֥ר | 'a.Sher | who | H834A | HTr — Relative Particle | אֲשֶׁר (a.sher): which |
| 6 | יָצְא֛וּ | ya.tze.'U | they came out | H3318G | HVqp3cp — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Plural Either gender | יָצָא (ya.tsa): to come out: come |
| 7 | מֵ/אֶ֥רֶץ | me./'E.retz | from/ [the] land of | H776G | HR/Ncfsc — Preposition + Noun (Singular Feminine, Construct) | אֶ֫רֶץ (e.rets): land: country/planet |
| 8 | מִצְרַ֖יִם | mitz.Ra.yim | Egypt | H4714G | HNpl — Proper Noun (Location) | מִצְרַ֫יִם (mits.ra.yim): Egypt |
| 9 | לְ/צִבְאֹתָ֑/ם | le./tziv.'o.Ta/m | to/ military groups/ their | H6635A | HR/Ncfpc/Sp3mp — Preposition + Noun (Plural Feminine, Construct) + Suffix (Third Plural Masculine) | צָבָא (tsa.va): army |
| 10 | בְּ/יַד\־ | be./yad- | by/ [the] hand of | H3027H | HR/Ncbsc — Preposition + Noun (Singular Either gender, Construct) | יָד (yad): hand: power |
| 11 | מֹשֶׁ֖ה | mo.Sheh | Moses | H4872 | HNpm — Proper Noun (Masculine individual) | מֹשֶׁה (mo.sheh): Moses |
| 12 | וְ/אַהֲרֹֽן\׃ | ve./'a.ha.Ron | and/ Aaron | H175 | HC/Npm — Conjunction + Proper Noun (Masculine individual) | אַהֲרֹן (a.ha.ron): Aaron |

## Numbers 33:2

**Original:** וַיִּכְתֹּ֨ב מֹשֶׁ֜ה אֶת־ מוֹצָאֵיהֶ֛ם לְמַסְעֵיהֶ֖ם עַל־ פִּ֣י יְהוָ֑ה וְאֵ֥לֶּה מַסְעֵיהֶ֖ם לְמוֹצָאֵיהֶֽם׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וַ/יִּכְתֹּ֨ב | va/i.yikh.To | and/ he wrote down | H3789 | Hc/Vqw3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Singular Masculine | כָּתַב (ka.tav): to write |
| 2 | מֹשֶׁ֜ה | mo.Sheh | Moses | H4872 | HNpm — Proper Noun (Masculine individual) | מֹשֶׁה (mo.sheh): Moses |
| 3 | אֶת\־ | 'et- | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 4 | מוֹצָאֵי/הֶ֛ם | mo.tza.'ei./Hem | points of departure/ their | H4161 | HNcmpc/Sp3mp — Noun (Plural Masculine, Construct) + Suffix (Third Plural Masculine) | מוֹצָא (mo.tsa): exit |
| 5 | לְ/מַסְעֵי/הֶ֖ם | le./mas.'ei./Hem | to/ settings out/ their | H4550 | HR/Ncmpc/Sp3mp — Preposition + Noun (Plural Masculine, Construct) + Suffix (Third Plural Masculine) | מַסַּע (mas.sa): journey |
| 6 | עַל\־ | 'al- | on | H5921A | HR — Preposition | עַל (al): upon |
| 7 | פִּ֣י | pi | [the] mouth of | H6310I | HNcmsc — Noun (Singular Masculine, Construct) | פֶּה (peh): lip: word |
| 8 | יְהוָ֑ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 9 | וְ/אֵ֥לֶּה | ve./'E.leh | and/ these | H428 | HC/Tm — Conjunction + Demonstrative Particle | אֵ֫לֶּה (el.leh): these |
| 10 | מַסְעֵי/הֶ֖ם | mas.'ei./Hem | [are] settings out/ their | H4550 | HNcmpc/Sp3mp — Noun (Plural Masculine, Construct) + Suffix (Third Plural Masculine) | מַסַּע (mas.sa): journey |
| 11 | לְ/מוֹצָאֵי/הֶֽם\׃ | le./mo.tza.'ei./Hem | to/ points of departure/ their | H4161 | HR/Ncmpc/Sp3mp — Preposition + Noun (Plural Masculine, Construct) + Suffix (Third Plural Masculine) | מוֹצָא (mo.tsa): exit |

## Numbers 33:3

**Original:** וַיִּסְע֤וּ מֵֽרַעְמְסֵס֙ בַּחֹ֣דֶשׁ הָֽרִאשׁ֔וֹן בַּחֲמִשָּׁ֥ה עָשָׂ֛ר י֖וֹם לַחֹ֣דֶשׁ הָרִאשׁ֑וֹן מִֽמָּחֳרַ֣ת הַפֶּ֗סַח יָצְא֤וּ בְנֵֽי־ יִשְׂרָאֵל֙ בְּיָ֣ד רָמָ֔ה לְעֵינֵ֖י כָּל־ מִצְרָֽיִם׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וַ/יִּסְע֤וּ | va/i.yis.'U | and/ they set out | H5265 | Hc/Vqw3mp — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Plural Masculine | נָסַע (na.sa): to set out |
| 2 | מֵֽ/רַעְמְסֵס֙ | me./ra'.me.Ses | from/ Rameses | H7486G | HR/Npl — Preposition + Proper Noun (Location) | רַֽעַמְסֵס (ra.me.ses): Rameses |
| 3 | בַּ/חֹ֣דֶשׁ | ba./Cho.desh | in the/ month | H2320G | HRd/Ncmsa — Preposition (Definite) + Noun (Singular Masculine, Absolute) | חֹ֫דֶשׁ (cho.desh): month |
| 4 | הָֽ/רִאשׁ֔וֹן | ha./ri.Shon | <the>/ first | H7223G | HTd/Aomsa — Definite article (Hebrew) + Aomsa | רִאשׁוֹן (ri.shon): first |
| 5 | בַּ/חֲמִשָּׁ֥ה | ba./cha.mi.Shah | on/ [the] fif- | H2568 | HR/Acbsa — Preposition + Acbsa | חָמֵשׁ (cha.mesh): five |
| 6 | עָשָׂ֛ר | 'a.Sar | teen | H6240 | HAcbsa — Numerical Adjective (Singular Either gender, Absolute) | עָשָׂר (a.sar): ten |
| 7 | י֖וֹם | Yom | day | H3117G | HNcmsa — Noun (Singular Masculine, Absolute) | יוֹם (yom): day |
| 8 | לַ/חֹ֣דֶשׁ | la./Cho.desh | of the/ month | H2320G | HRd/Ncmsa — Preposition (Definite) + Noun (Singular Masculine, Absolute) | חֹ֫דֶשׁ (cho.desh): month |
| 9 | הָ/רִאשׁ֑וֹן | ha./ri.Shon | <the>/ first | H7223G | HTd/Aomsa — Definite article (Hebrew) + Aomsa | רִאשׁוֹן (ri.shon): first |
| 10 | מִֽ/מָּחֳרַ֣ת | mi./mo.cho.Rat | from/ [the] next day of | H4283 | HR/Ncfsc — Preposition + Noun (Singular Feminine, Construct) | מׇחֳרָת (mo.cho.rat): morrow |
| 11 | הַ/פֶּ֗סַח | ha./Pe.sach | the/ passover | H6453 | HTd/Ntmsa — Definite article (Hebrew) + Noun (Title, Singular Masculine, Absolute) | פֶּ֫סַח (pe.sach): Passover |
| 12 | יָצְא֤וּ | ya.tze.'U | they went out | H3318G | HVqp3cp — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Plural Either gender | יָצָא (ya.tsa): to come out: come |
| 13 | בְנֵֽי\־ | ve.nei- | [the] people of | H1121G | HNcmpc — Noun (Plural Masculine, Construct) | בֵּן (ben): son: descendant/people |
| 14 | יִשְׂרָאֵל֙ | Yis.ra.'El | Israel | H3478 | HNpl — Proper Noun (Location) | יִשְׂרָאֵל (yis.ra.el): Israel |
| 15 | בְּ/יָ֣ד | be./Yad | with/ a hand | H3027G | HR/Ncbsa — Preposition + Noun (Singular Either gender, Absolute) | יָד (yad): hand |
| 16 | רָמָ֔ה | ra.Mah | raised | H7311A | HVqrfsa — Verb : Qal (Simple, Active) Participle (Singular Feminine, Absolute) | רוּם (rum): to exalt |
| 17 | לְ/עֵינֵ֖י | le./'ei.Nei | to/ [the] eyes | H5869H | HR/Ncfdc — Preposition + Noun (Dual Feminine, Construct) | עַ֫יִן (a.yin): eye: seeing |
| 18 | כָּל\־ | kol- | all | H3605 | HNcmsc — Noun (Singular Masculine, Construct) | כֹּל (kol): all |
| 19 | מִצְרָֽיִם\׃ | mitz.Ra.yim | Egypt | H4713 | HNpl — Proper Noun (Location) | מִצְרִי (mits.ri): Egyptian |

## Numbers 33:4

**Original:** וּמִצְרַ֣יִם מְקַבְּרִ֗ים אֵת֩ אֲשֶׁ֨ר הִכָּ֧ה יְהוָ֛ה בָּהֶ֖ם כָּל־ בְּכ֑וֹר וּבֵאלֹ֣הֵיהֶ֔ם עָשָׂ֥ה יְהוָ֖ה שְׁפָטִֽים׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וּ/מִצְרַ֣יִם | u./mitz.Ra.yim | and/ Egypt | H4713 | HC/Npl — Conjunction + Proper Noun (Location) | מִצְרִי (mits.ri): Egyptian |
| 2 | מְקַבְּרִ֗ים | me.ka.be.Rim | [were] burying | H6912 | HVprmpa — Verb : Piel (Intensive/resultive/transtive, Active) Participle (Plural Masculine, Absolute) | קָבַר (qa.var): to bury |
| 3 | אֵת֩ | 'et | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 4 | אֲשֶׁ֨ר | 'a.Sher | [those] whom | H834A | HTr — Relative Particle | אֲשֶׁר (a.sher): which |
| 5 | הִכָּ֧ה | hi.Kah | he had struck down | H5221 | HVhp3ms — Verb : Hiphil (Causative/declarative, Active) Perfect (Past/present Indicative) Third Singular Masculine | נָכָה (na.khah): to smite |
| 6 | יְהוָ֛ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 7 | בָּ/הֶ֖ם | ba./Hem | among <the>/ them | H9003 | HRd/Sp3mp — Preposition (Definite) + Suffix (Third Plural Masculine) | /ב (b): in/on/with |
| 8 | כָּל\־ | kol- | every | H3605 | HNcmsc — Noun (Singular Masculine, Construct) | כֹּל (kol): all |
| 9 | בְּכ֑וֹר | be.Khor | firstborn | H1060 | HNcmsa — Noun (Singular Masculine, Absolute) | בְּכוֹר (be.khor): firstborn |
| 10 | וּ/בֵ/אלֹ֣הֵי/הֶ֔ם | u./ve./Lo.hei./Hem | and/ on/ gods/ their | H430J | HC/R/Ncmpc/Sp3mp — Conjunction + Preposition + Noun (Plural Masculine, Construct) + Suffix (Third Plural Masculine) | אֱלֹהִים (e.lo.him): God |
| 11 | עָשָׂ֥ה | 'a.Sah | he had done | H6213A | HVqp3ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine | עָשָׂה (a.sah): to make: do |
| 12 | יְהוָ֖ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
