# STEP Bible — Numbers 6

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Numbers 6:1

**Original:** וַיְדַבֵּ֥ר יְהוָ֖ה אֶל־ מֹשֶׁ֥ה לֵּאמֹֽר׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וַ/יְדַבֵּ֥ר | va/y.da.Ber | and/ he spoke | H1696G | Hc/Vpw3ms — Consecutive Conjunction + Verb : Piel (Intensive/resultive/transtive, Active) Consecutive Imperfect (Past/present Indicative) Third Singular Masculine | דָבַר (da.var): to speak: speak |
| 2 | יְהוָ֖ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 3 | אֶל\־ | 'el- | to | H413 | HR — Preposition | אֶל (el): to(wards) |
| 4 | מֹשֶׁ֥ה | mo.Sheh | Moses | H4872 | HNpm — Proper Noun (Masculine individual) | מֹשֶׁה (mo.sheh): Moses |
| 5 | לֵּ/אמֹֽר\׃ | le./Mor | <to>/ saying | H559 | HR/Vqcc — Preposition + Verb : Qal (Simple, Active) Infinitive Construct | אָמַר (a.mar): to say |

## Numbers 6:2

**Original:** דַּבֵּר֙ אֶל־ בְּנֵ֣י יִשְׂרָאֵ֔ל וְאָמַרְתָּ֖ אֲלֵהֶ֑ם אִ֣ישׁ אֽוֹ־ אִשָּׁ֗ה כִּ֤י יַפְלִא֙ לִנְדֹּר֙ נֶ֣דֶר נָזִ֔יר לְהַזִּ֖יר לַֽיהוָֽה׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | דַּבֵּר֙ | da.Ber | speak | H1696G | HVpv2ms — Verb : Piel (Intensive/resultive/transtive, Active) Imperative Second Singular Masculine | דָבַר (da.var): to speak: speak |
| 2 | אֶל\־ | 'el- | to | H413 | HR — Preposition | אֶל (el): to(wards) |
| 3 | בְּנֵ֣י | be.Nei | [the] people of | H1121G | HNcmpc — Noun (Plural Masculine, Construct) | בֵּן (ben): son: descendant/people |
| 4 | יִשְׂרָאֵ֔ל | Yis.ra.'El | Israel | H3478 | HNpl — Proper Noun (Location) | יִשְׂרָאֵל (yis.ra.el): Israel |
| 5 | וְ/אָמַרְתָּ֖ | ve./'a.mar.Ta | and/ you will say | H559 | Hc/Vqq2ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Perfect (Future/present Indicative) Second Singular Masculine | אָמַר (a.mar): to say |
| 6 | אֲלֵ/הֶ֑ם | 'a.le./Hem | to/ them | H413 | HRd/Sp3mp — Preposition (Definite) + Suffix (Third Plural Masculine) | אֶל (el): to(wards) |
| 7 | אִ֣ישׁ | 'ish | a man | H376G | HNcmsa — Noun (Singular Masculine, Absolute) | אִישׁ (ish): man |
| 8 | אֽוֹ\־ | 'ov- | or | H176A | HC — Conjunction | אוֹ (o): or |
| 9 | אִשָּׁ֗ה | 'i.Shah | a woman | H802G | HNcfsa — Noun (Singular Feminine, Absolute) | אִשָּׁה (ish.shah): woman |
| 10 | כִּ֤י | ki | if | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 11 | יַפְלִא֙ | yaf.Li' | he will make hard | H6381 | HVhi3ms — Verb : Hiphil (Causative/declarative, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | פָּלָא (pa.la): to wonder |
| 12 | לִ/נְדֹּר֙ | li/n.Dor | to/ vow | H5087 | HR/Vqcc — Preposition + Verb : Qal (Simple, Active) Infinitive Construct | נָדַר (na.dar): to vow |
| 13 | נֶ֣דֶר | Ne.der | a vow of | H5088 | HNcmsc — Noun (Singular Masculine, Construct) | נֶ֫דֶר (ne.der): vow |
| 14 | נָזִ֔יר | na.Zir | a Nazirite | H5139 | HNgmsa — Noun (Gentilic, Singular Masculine, Absolute) | נָזִיר (na.zir): Nazirite |
| 15 | לְ/הַזִּ֖יר | le./ha.Zir | to/ be a Nazirite | H5144B | HR/Vhcc — Preposition + Verb : Hiphil (Causative/declarative, Active) Infinitive Construct | נָזַר (na.zar): be a Nazarite |
| 16 | לַֽ/יהוָֽה\׃ | la./Yah.weh | to/ Yahweh | H3068G | HR/Npt — Preposition + Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |

## Numbers 6:3

**Original:** מִיַּ֤יִן וְשֵׁכָר֙ יַזִּ֔יר חֹ֥מֶץ יַ֛יִן וְחֹ֥מֶץ שֵׁכָ֖ר לֹ֣א יִשְׁתֶּ֑ה וְכָל־ מִשְׁרַ֤ת עֲנָבִים֙ לֹ֣א יִשְׁתֶּ֔ה וַעֲנָבִ֛ים לַחִ֥ים וִיבֵשִׁ֖ים לֹ֥א יֹאכֵֽל׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | מִ/יַּ֤יִן | mi./Ya.yin | from/ wine | H3196 | HR/Ncmsa — Preposition + Noun (Singular Masculine, Absolute) | יַ֫יִן (ya.yin): wine |
| 2 | וְ/שֵׁכָר֙ | ve./she.Khar | and/ strong drink | H7941 | HC/Ncmsa — Conjunction + Noun (Singular Masculine, Absolute) | שֵׁכָר (she.khar): strong drink |
| 3 | יַזִּ֔יר | ya.Zir | he will keep separate | H5144B | HVhi3ms — Verb : Hiphil (Causative/declarative, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | נָזַר (na.zar): be a Nazarite |
| 4 | חֹ֥מֶץ | Cho.metz | vinegar of | H2558 | HNcmsc — Noun (Singular Masculine, Construct) | חֹ֫מֶץ (cho.mets): vinegar |
| 5 | יַ֛יִן | Ya.yin | wine | H3196 | HNcmsa — Noun (Singular Masculine, Absolute) | יַ֫יִן (ya.yin): wine |
| 6 | וְ/חֹ֥מֶץ | ve./Cho.metz | and/ vinegar of | H2558 | HC/Ncmsc — Conjunction + Noun (Singular Masculine, Construct) | חֹ֫מֶץ (cho.mets): vinegar |
| 7 | שֵׁכָ֖ר | she.Khar | strong drink | H7941 | HNcmsa — Noun (Singular Masculine, Absolute) | שֵׁכָר (she.khar): strong drink |
| 8 | לֹ֣א | lo' | not | H3808 | HTn — Negative Particle | לֹא (lo): not |
| 9 | יִשְׁתֶּ֑ה | yish.Teh | he will drink | H8354 | HVqi3ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | שָׁתָה (sha.tah): to drink |
| 10 | וְ/כָל\־ | ve./khol | and/ any | H3605 | HC/Ncmsc — Conjunction + Noun (Singular Masculine, Construct) | כֹּל (kol): all |
| 11 | מִשְׁרַ֤ת | mish.Rat | juice of | H4952 | HNcfsc — Noun (Singular Feminine, Construct) | מִשְׁרָה (mish.rah): juice |
| 12 | עֲנָבִים֙ | 'a.na.Vim | grapes | H6025 | HNcmpa — Noun (Plural Masculine, Absolute) | עֵנָב (e.nav): grape |
| 13 | לֹ֣א | lo' | not | H3808 | HTn — Negative Particle | לֹא (lo): not |
| 14 | יִשְׁתֶּ֔ה | yish.Teh | he will drink | H8354 | HVqi3ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | שָׁתָה (sha.tah): to drink |
| 15 | וַ/עֲנָבִ֛ים | va./'a.na.Vim | and/ grapes | H6025 | HC/Ncmpa — Conjunction + Noun (Plural Masculine, Absolute) | עֵנָב (e.nav): grape |
| 16 | לַחִ֥ים | la.Chim | fresh | H3892 | HAampa — Adjective (Plural Masculine, Absolute) | לַח (lach): fresh |
| 17 | וִ/יבֵשִׁ֖ים | vi./ve.Shim | and/ dried | H3002 | HC/Aampa — Conjunction + Aampa | יָבֵשׁ (ya.vesh): dry |
| 18 | לֹ֥א | lo' | not | H3808 | HTn — Negative Particle | לֹא (lo): not |
| 19 | יֹאכֵֽל\׃ | yo.Khel | he will eat | H398 | HVqi3ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | אָכַל (a.khal): to eat |

## Numbers 6:4

**Original:** כֹּ֖ל יְמֵ֣י נִזְר֑וֹ מִכֹּל֩ אֲשֶׁ֨ר יֵעָשֶׂ֜ה מִגֶּ֣פֶן הַיַּ֗יִן מֵחַרְצַנִּ֛ים וְעַד־ זָ֖ג לֹ֥א יֹאכֵֽל׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | כֹּ֖ל | kol | all | H3605 | HNcmsc — Noun (Singular Masculine, Construct) | כֹּל (kol): all |
| 2 | יְמֵ֣י | ye.Mei | [the] days of | H3117G | HNcmpc — Noun (Plural Masculine, Construct) | יוֹם (yom): day |
| 3 | נִזְר֑/וֹ | niz.R/o | Nazirite vow/ his | H5145G | HNcmsc/Sp3ms — Noun (Singular Masculine, Construct) + Suffix (Third Singular Masculine) | נֵ֫זֶר (ne.zer): consecration: Nazirite vow |
| 4 | מִ/כֹּל֩ | mi./Kol | any of/ all | H3605 | HR/Ncmsa — Preposition + Noun (Singular Masculine, Absolute) | כֹּל (kol): all |
| 5 | אֲשֶׁ֨ר | 'a.Sher | that | H834A | HTr — Relative Particle | אֲשֶׁר (a.sher): which |
| 6 | יֵעָשֶׂ֜ה | ye.'a.Seh | it is made | H6213H | HVNi3ms — Verb : Niphal (Simple, Passive) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | עָשָׂה (a.sah): to make |
| 7 | מִ/גֶּ֣פֶן | mi./Ge.fen | from/ [the] vine of | H1612 | HR/Ncbsc — Preposition + Noun (Singular Either gender, Construct) | גֶּ֫פֶן (ge.phen): vine |
| 8 | הַ/יַּ֗יִן | hai./Ya.yin | the/ wine | H3196 | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | יַ֫יִן (ya.yin): wine |
| 9 | מֵ/חַרְצַנִּ֛ים | me./char.tza.Nim | from/ seeds | H2785 | HR/Ncmpa — Preposition + Noun (Plural Masculine, Absolute) | חַרְצַנִּים (char.tsan): pip |
| 10 | וְ/עַד\־ | ve./'ad- | and/ unto | H5704 | HC/R — Conjunction + Preposition | עַד (ad): till |
| 11 | זָ֖ג | zag | skin | H2085 | HNcmsa — Noun (Singular Masculine, Absolute) | זָג (zag): skin |
| 12 | לֹ֥א | lo' | not | H3808 | HTn — Negative Particle | לֹא (lo): not |
| 13 | יֹאכֵֽל\׃ | yo.Khel | he will eat | H398 | HVqi3ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | אָכַל (a.khal): to eat |

## Numbers 6:5

**Original:** כָּל־ יְמֵי֙ נֶ֣דֶר נִזְר֔וֹ תַּ֖עַר לֹא־ יַעֲבֹ֣ר עַל־ רֹאשׁ֑וֹ עַד־ מְלֹ֨את הַיָּמִ֜ם אֲשֶׁר־ יַזִּ֤יר לַיהוָה֙ קָדֹ֣שׁ יִהְיֶ֔ה גַּדֵּ֥ל פֶּ֖רַע שְׂעַ֥ר רֹאשֽׁוֹ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | כָּל\־ | kol- | all | H3605 | HNcmsc — Noun (Singular Masculine, Construct) | כֹּל (kol): all |
| 2 | יְמֵי֙ | ye.Mei | [the] days of | H3117G | HNcmpc — Noun (Plural Masculine, Construct) | יוֹם (yom): day |
| 3 | נֶ֣דֶר | Ne.der | [the] vow of | H5088 | HNcmsc — Noun (Singular Masculine, Construct) | נֶ֫דֶר (ne.der): vow |
| 4 | נִזְר֔/וֹ | niz.R/o | Nazirite vow/ his | H5145G | HNcmsc/Sp3ms — Noun (Singular Masculine, Construct) + Suffix (Third Singular Masculine) | נֵ֫זֶר (ne.zer): consecration: Nazirite vow |
| 5 | תַּ֖עַר | Ta.'ar | a razor | H8593 | HNcbsa — Noun (Singular Either gender, Absolute) | תַּ֫עַר (ta.ar): razor |
| 6 | לֹא\־ | lo'- | not | H3808 | HTn — Negative Particle | לֹא (lo): not |
| 7 | יַעֲבֹ֣ר | ya.'a.Vor | it will pass | H5674A | HVqi3ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | עָבַר (a.var): to pass |
| 8 | עַל\־ | 'al- | over | H5921A | HR — Preposition | עַל (al): upon |
| 9 | רֹאשׁ֑/וֹ | ro.Sh/o | head/ his | H7218A | HNcmsc/Sp3ms — Noun (Singular Masculine, Construct) + Suffix (Third Singular Masculine) | רֹאשׁ (rosh): head |
| 10 | עַד\־ | 'ad- | until | H5704 | HR — Preposition | עַד (ad): till |
