# STEP Bible — Obadiah 1

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Obadiah 1:1

**Original:** חֲז֖וֹן עֹֽבַדְיָ֑ה כֹּֽה־ אָמַר֩ אֲדֹנָ֨י יְהוִ֜ה לֶאֱד֗וֹם שְׁמוּעָ֨ה שָׁמַ֜עְנוּ מֵאֵ֤ת יְהוָה֙ וְצִיר֙ בַּגּוֹיִ֣ם שֻׁלָּ֔ח ק֛וּמוּ וְנָק֥וּמָה עָלֶיהָ לַמִּלְחָמָֽה׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | חֲז֖וֹן | cha.Zon | [the] vision of | H2377 | HNcmsc — Noun (Singular Masculine, Construct) | חָזוֹן (cha.zon): vision |
| 2 | עֹֽבַדְיָ֑ה | 'oad.Yah | Obadiah | H5662R | HNpm — Proper Noun (Masculine individual) | עֹבַדְיָ֫הוּ (o.vad.yah): Obadiah |
| 3 | כֹּֽה\־ | koh- | thus | H3541 | HD — Adverb | כֹּה (koh): thus |
| 4 | אָמַר֩ | 'a.Mar | he says | H559 | HVqp3ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine | אָמַר (a.mar): to say |
| 5 | אֲדֹנָ֨י | 'a.do.Nai | [the] Lord | H136 | HNpt — Proper Noun (Title) | אֲדֹנָי (a.do.nai): Lord |
| 6 | יְהוִ֜ה | Yah.weh | Yahweh | H3069 | HNpt — Proper Noun (Title) | יְהֹוִה (ye.ho.vih): YHWH/God |
| 7 | לֶ/אֱד֗וֹם | le./'e.Dom | of/ Edom | H123G | HR/Npm — Preposition + Proper Noun (Masculine individual) | אֱדוֹם (e.dom): Edom |
| 8 | שְׁמוּעָ֨ה | she.mu.'Ah | a report | H8052 | HNcfsa — Noun (Singular Feminine, Absolute) | שְׁמוּעָה (she.mu.ah): tidings |
| 9 | שָׁמַ֜עְנוּ | sha.Ma'.nu | we have heard | H8085G | HVqp1cp — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) First Plural Either gender | שָׁמַע (sha.ma): to hear: hear |
| 10 | מֵ/אֵ֤ת | me./'Et | from/ with | H854 | HR/R — Preposition + Preposition | אֵת (et): with |
| 11 | יְהוָה֙ | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 12 | וְ/צִיר֙ | ve./Tzir | and/ an envoy | H6735A | HC/Ncmsa — Conjunction + Noun (Singular Masculine, Absolute) | צִיר (tsir): envoy |
| 13 | בַּ/גּוֹיִ֣ם | ba./go.Yim | among the/ nations | H1471A | HRd/Ncmpa — Preposition (Definite) + Noun (Plural Masculine, Absolute) | גּוֹי (goy): nation |
| 14 | שֻׁלָּ֔ח | shu.Lach | he has been sent | H7971G | HVPp3ms — Verb : Pual (Intensive/resultive/transtive, Passive) Perfect (Past/present Indicative) Third Singular Masculine | שָׁלַח (sha.lach): to send: depart |
| 15 | ק֛וּמוּ | Ku.mu | arise | H6965J | HVqv2mp — Verb : Qal (Simple, Active) Imperative Second Plural Masculine | קוּם (qum): to arise: attack |
| 16 | וְ/נָק֥וּמָה | ve./na.Ku.mah | so/ let us arise | H6965J | HC/Vqc1cp — Conjunction + Verb : Qal (Simple, Active) Imperfect (Future/present Cohortative) First Plural Either gender | קוּם (qum): to arise: attack |
| 17 | עָלֶי/הָ | 'a.Lei./ha | on/ it | H5921A | HR/Sp3fs — Preposition + Suffix (Third Singular Feminine) | עַל (al): upon |
| 18 | לַ/מִּלְחָמָֽה\׃ | la./mil.cha.Mah | for <the>/ battle | H4421 | HRd/Ncfsa — Preposition (Definite) + Noun (Singular Feminine, Absolute) | מִלְחָמָה (mil.cha.mah): battle |

## Obadiah 1:2

**Original:** הִנֵּ֥ה קָטֹ֛ן נְתַתִּ֖יךָ בַּגּוֹיִ֑ם בָּז֥וּי אַתָּ֖ה מְאֹֽד׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | הִנֵּ֥ה | hi.Neh | here! | H2009 | HTj — Interjection | הִנֵּה (hin.neh): behold |
| 2 | קָטֹ֛ן | ka.Ton | small | H6996B | HAamsa — Adjective (Singular Masculine, Absolute) | קָטֹן (qa.ton): small |
| 3 | נְתַתִּ֖י/ךָ | ne.ta.Ti./kha | I will make/ you | H5414I | HVqp1cs/Sp2ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) First Singular Either gender + Suffix (Second Singular Masculine) | נָתַן (na.tan): to give: make |
