# STEP Bible — Proverbs 1

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Proverbs 1:1

**Original:** מִ֭שְׁלֵי שְׁלֹמֹ֣ה בֶן־ דָּוִ֑ד מֶ֝֗לֶךְ יִשְׂרָאֵֽל׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | מִ֭שְׁלֵי | Mish.lei | [the] proverbs of | H4912 | HNcmpc — Noun (Plural Masculine, Construct) | מָשָׁל (ma.shal): proverb |
| 2 | שְׁלֹמֹ֣ה | she.lo.Moh | Solomon | H8010 | HNpm — Proper Noun (Masculine individual) | שְׁלֹמֹה (she.lo.moh): Solomon |
| 3 | בֶן\־ | ven- | [the] son of | H1121A | HNcmsc — Noun (Singular Masculine, Construct) | בֵּן (ben): son: child |
| 4 | דָּוִ֑ד | da.Vid | David | H1732 | HNpm — Proper Noun (Masculine individual) | דָּוִד (da.vid): David |
| 5 | מֶ֝֗לֶךְ | Me.lekh | [the] king of | H4428G | HNcmsc — Noun (Singular Masculine, Construct) | מֶ֫לֶךְ (me.lekh): king |
| 6 | יִשְׂרָאֵֽל\׃ | Yis.ra.'El | Israel | H3478 | HNpl — Proper Noun (Location) | יִשְׂרָאֵל (yis.ra.el): Israel |

## Proverbs 1:2

**Original:** לָדַ֣עַת חָכְמָ֣ה וּמוּסָ֑ר לְ֝הָבִ֗ין אִמְרֵ֥י בִינָֽה׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | לָ/דַ֣עַת | la./Da.'at | to/ learn | H3045 | HR/Vqcc — Preposition + Verb : Qal (Simple, Active) Infinitive Construct | יָדַע (ya.da): to know |
| 2 | חָכְמָ֣ה | chokh.mah | wisdom | H2451 | HNcfsa — Noun (Singular Feminine, Absolute) | חׇכְמָה (chokh.mah): wisdom |
| 3 | וּ/מוּסָ֑ר | u./mu.Sar | and/ discipline | H4148H | HC/Ncmsa — Conjunction + Noun (Singular Masculine, Absolute) | מוּסָר (mu.sar): discipline: instruction |
| 4 | לְ֝/הָבִ֗ין | le./ha.Vin | to/ teach | H995 | HR/Vhcc — Preposition + Verb : Hiphil (Causative/declarative, Active) Infinitive Construct | בִּין (bin): to understand |
| 5 | אִמְרֵ֥י | 'im.Rei | words of | H561 | HNcmpc — Noun (Plural Masculine, Construct) | אֵמֶר (e.mer): word |
| 6 | בִינָֽה\׃ | vi.Nah | understanding | H998 | HNcfsa — Noun (Singular Feminine, Absolute) | בִּינָה (bi.nah): understanding |

