# STEP Bible — Proverbs 11

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Proverbs 11:1

**Original:** מֹאזְנֵ֣י מִ֭רְמָה תּוֹעֲבַ֣ת יְהוָ֑ה וְאֶ֖בֶן שְׁלֵמָ֣ה רְצוֹנֽוֹ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | מֹאזְנֵ֣י | moz.Nei | scales of | H3976 | HNcmdc — Noun (Dual Masculine, Construct) | מֹאזֵן (mo.zen): balance |
| 2 | מִ֭רְמָה | Mir.mah | deceit | H4820 | HNcfsa — Noun (Singular Feminine, Absolute) | מִרְמָה (mir.mah): deceit |
| 3 | תּוֹעֲבַ֣ת | to.'a.Vat | [are] [the] abomination of | H8441 | HNcfsc — Noun (Singular Feminine, Construct) | תּוֹעֵבַה (to.e.vah): abomination |
| 4 | יְהוָ֑ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 5 | וְ/אֶ֖בֶן | ve./'E.ven | and/ a weight | H68H | HC/Ncfsa — Conjunction + Noun (Singular Feminine, Absolute) | אֶ֫בֶן (e.ven): stone: weight |
| 6 | שְׁלֵמָ֣ה | she.le.Mah | perfect | H8003 | HAafsa — Adjective (Singular Feminine, Absolute) | שָׁלֵם (sha.lem): complete |
| 7 | רְצוֹנֽ/וֹ\׃ | re.tzo.N/o | [is] pleasure/ his | H7522 | HNcmsc/Sp3ms — Noun (Singular Masculine, Construct) + Suffix (Third Singular Masculine) | רָצוֹן (ra.tson): acceptance |

## Proverbs 11:2

**Original:** בָּֽא־ זָ֭דוֹן וַיָּבֹ֣א קָל֑וֹן וְֽאֶת־ צְנוּעִ֥ים חָכְמָֽה׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | בָּֽא\־ | ba'- | it comes | H935G | HVqrmsa — Verb : Qal (Simple, Active) Participle (Singular Masculine, Absolute) | בּוֹא (bo): to come (in): come |
| 2 | זָ֭דוֹן | Za.don | pride | H2087 | HNcmsa — Noun (Singular Masculine, Absolute) | זָדוֹן (za.don): arrogance |
