# STEP Bible — Proverbs 14

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Proverbs 14:1

**Original:** חַכְמ֣וֹת נָ֭שִׁים בָּנְתָ֣ה בֵיתָ֑הּ וְ֝אִוֶּ֗לֶת בְּיָדֶ֥יהָ תֶהֶרְסֶֽנּוּ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | חַכְמ֣וֹת | chakh.Mot | wise [women] of | H2450 | HAafpc — Adjective (Plural Feminine, Construct) | חָכָם (cha.kham): wise |
| 2 | נָ֭שִׁים | Na.shim | women | H802G | HNcmpa — Noun (Plural Masculine, Absolute) | אִשָּׁה (ish.shah): woman |
| 3 | בָּנְתָ֣ה | ba.ne.Tah | she builds | H1129 | HVqp3fs — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Feminine | בָּנָה (ba.nah): to build |
| 4 | בֵיתָ֑/הּ | vei.Ta/h | house/ her | H1004B | HNcmsc/Sp3fs — Noun (Singular Masculine, Construct) + Suffix (Third Singular Feminine) | בַּ֫יִת (ba.yit): house: home |
| 5 | וְ֝/אִוֶּ֗לֶת | ve./'i.Ve.let | and/ a foolish woman | H200 | HC/Ncfsa — Conjunction + Noun (Singular Feminine, Absolute) | אִוֶּ֫לֶת (iv.ve.let): folly |
| 6 | בְּ/יָדֶ֥י/הָ | be./ya.Dei./ha | with/ hands/ her | H3027G | HR/Ncbdc/Sp3fs — Preposition + Noun (Dual Either gender, Construct) + Suffix (Third Singular Feminine) | יָד (yad): hand |
| 7 | תֶהֶרְסֶֽ/נּוּ\׃ | te.her.Se./nu | she tears down/ it | H2040 | HVqi3fs/Sp3ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Singular Feminine + Suffix (Third Singular Masculine) | הָרַס (ha.ras): to overthrow |

## Proverbs 14:2

**Original:** הוֹלֵ֣ךְ בְּ֭יָשְׁרוֹ יְרֵ֣א יְהוָ֑ה וּנְל֖וֹז דְּרָכָ֣יו בּוֹזֵֽהוּ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | הוֹלֵ֣ךְ | ho.Lekh | [one who] walks | H1980I | HVqrmsa — Verb : Qal (Simple, Active) Participle (Singular Masculine, Absolute) | הָלַךְ (ha.lakh): to go: walk |
| 2 | בְּ֭/יָשְׁר/וֹ | be./ya.she.r/o | in/ uprightness/ his | H3476 | HR/Ncmsc/Sp3ms — Preposition + Noun (Singular Masculine, Construct) + Suffix (Third Singular Masculine) | יֹ֫שֶׁר (yo.sher): uprightness |
| 3 | יְרֵ֣א | ye.Re' | [is one] fearing | H3373 | HAamsc — Adjective (Singular Masculine, Construct) | יָרֵא (ya.re): afraid |
| 4 | יְהוָ֑ה | Yah.weh | <of> Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 5 | וּ/נְל֖וֹז | u./ne.Loz | and/ [the] [one who] is crooked of | H3868 | HC/VNrmsc — Conjunction + Verb : Niphal (Simple, Passive) Participle (Singular Masculine, Construct) | לוּז (luz): be devious |
