# STEP Bible — Proverbs 2

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Proverbs 2:1

**Original:** בְּ֭נִי אִם־ תִּקַּ֣ח אֲמָרָ֑י וּ֝מִצְוֹתַ֗י תִּצְפֹּ֥ן אִתָּֽךְ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | בְּ֭נִ/י | Be.n/i | O son/ my | H1121A | HNcmsc/Sp1bs — Noun (Singular Masculine, Construct) + Suffix (First Singular Either gender) | בֵּן (ben): son: child |
| 2 | אִם\־ | 'im- | if | H518A | HTc — Conditional Particle | אִם (im): if |
| 3 | תִּקַּ֣ח | ti.Kach | you will receive | H3947H | HVqi2ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Second Singular Masculine | לָקַח (la.qach): to take: recieve |
| 4 | אֲמָרָ֑/י | 'a.ma.Ra/i | words/ my | H561 | HNcmpc/Sp1bs — Noun (Plural Masculine, Construct) + Suffix (First Singular Either gender) | אֵמֶר (e.mer): word |
| 5 | וּ֝/מִצְוֹתַ֗/י | u./mitz.vo.Ta/i | and/ commandments/ my | H4687 | HC/Ncfpc/Sp1bs — Conjunction + Noun (Plural Feminine, Construct) + Suffix (First Singular Either gender) | מִצְוָה (mits.vah): commandment |
| 6 | תִּצְפֹּ֥ן | titz.Pon | you will treasure | H6845 | HVqi2ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Second Singular Masculine | צָפַן (tsa.phan): to treasure |
| 7 | אִתָּֽ/ךְ\׃ | 'i.Ta/kh | with/ you | H854 | HR/Sp2ms — Preposition + Suffix (Second Singular Masculine) | אֵת (et): with |

## Proverbs 2:2

**Original:** לְהַקְשִׁ֣יב לַֽחָכְמָ֣ה אָזְנֶ֑ךָ תַּטֶּ֥ה לִ֝בְּךָ֗ לַתְּבוּנָֽה׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | לְ/הַקְשִׁ֣יב | le./hak.Shiv | to/ make attend | H7181 | HR/Vhcc — Preposition + Verb : Hiphil (Causative/declarative, Active) Infinitive Construct | קָשַׁב (qa.shav): to listen |
| 2 | לַֽ/חָכְמָ֣ה | la./cha.khe.Mah | to <the>/ wisdom | H2451 | HRd/Ncfsa — Preposition (Definite) + Noun (Singular Feminine, Absolute) | חׇכְמָה (chokh.mah): wisdom |
| 3 | אָזְנֶ֑/ךָ | 'a.ze.Ne./kha | ear/ your | H241G | HNcfsc/Sp2ms — Noun (Singular Feminine, Construct) + Suffix (Second Singular Masculine) | אֹ֫זֶן (o.zen): ear |
| 4 | תַּטֶּ֥ה | ta.Teh | you will incline | H5186 | HVhi2ms — Verb : Hiphil (Causative/declarative, Active) Imperfect (Future/present Indicative/jussive) Second Singular Masculine | נָטָה (na.tah): to stretch |
