# STEP Bible — Proverbs 23

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Proverbs 23:1

**Original:** כִּֽי־ תֵ֭שֵׁב לִלְח֣וֹם אֶת־ מוֹשֵׁ֑ל בִּ֥ין תָּ֝בִ֗ין אֶת־ אֲשֶׁ֥ר לְפָנֶֽיךָ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | כִּֽי\־ | ki- | if | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 2 | תֵ֭שֵׁב | Te.shev | you will sit down | H3427 | HVqi2ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Second Singular Masculine | יָשַׁב (ya.shav): to dwell |
| 3 | לִ/לְח֣וֹם | li/l.Chom | to/ eat | H3898B | HR/Vqcc — Preposition + Verb : Qal (Simple, Active) Infinitive Construct | לָחַם (la.cham): to feed on |
| 4 | אֶת\־ | 'et- | with | H854 | HR — Preposition | אֵת (et): with |
| 5 | מוֹשֵׁ֑ל | mo.Shel | a ruler | H4910 | HVqrmsa — Verb : Qal (Simple, Active) Participle (Singular Masculine, Absolute) | מָשַׁל (ma.shal): to rule |
| 6 | בִּ֥ין | bin | carefully <consider> | H995 | HVqcc — Verb : Qal (Simple, Active) Infinitive Construct | בִּין (bin): to understand |
| 7 | תָּ֝בִ֗ין | ta.Vin | you will consider | H995 | HVqi2ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Second Singular Masculine | בִּין (bin): to understand |
| 8 | אֶת\־ | 'et- | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 9 | אֲשֶׁ֥ר | 'a.Sher | [that] which | H834A | HTr — Relative Particle | אֲשֶׁר (a.sher): which |
| 10 | לְ/פָנֶֽי/ךָ\׃ | le./fa.Nei./kha | [is] <to>/ before/ you | H6440G | HR/Ncmpc/Sp2ms — Preposition + Noun (Plural Masculine, Construct) + Suffix (Second Singular Masculine) | פָּנֶה (pa.neh): face: before |

## Proverbs 23:2

**Original:** וְשַׂמְתָּ֣ שַׂכִּ֣ין בְּלֹעֶ֑ךָ אִם־ בַּ֖עַל נֶ֣פֶשׁ אָֽתָּה׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וְ/שַׂמְתָּ֣ | ve./sam.Ta | and/ you will put | H7760H | Hc/Vqq2ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Perfect (Future/present Indicative) Second Singular Masculine | שׂוּם (sum): to set: put |
| 2 | שַׂכִּ֣ין | sa.Kin | a knife | H7915 | HNcmsa — Noun (Singular Masculine, Absolute) | שַׂכִּין (sak.kin): knife |
| 3 | בְּ/לֹעֶ֑/ךָ | be./lo.'E./kha | in/ throat/ your | H3930 | HR/Ncmsc/Sp2ms — Preposition + Noun (Singular Masculine, Construct) + Suffix (Second Singular Masculine) | לֹעַ (lo.a): throat |
| 4 | אִם\־ | 'im- | if | H518A | HTc — Conditional Particle | אִם (im): if |
| 5 | בַּ֖עַל | Ba.'al | [are] a master of | H1167I | HNcmsc — Noun (Singular Masculine, Construct) | בַּעַל (ba.al): master: men |
| 6 | נֶ֣פֶשׁ | Ne.fesh | appetite | H5315L | HNcfsa — Noun (Singular Feminine, Absolute) | נֶ֫פֶשׁ (ne.phesh): soul: appetite |
| 7 | אָֽתָּה\׃ | 'A.tah | you | H859A | HPp2ms — Pronoun (Second Singular Masculine) | אַתָּ֫ה (at.tah): you(m.s.) |

## Proverbs 23:3

**Original:** אַל־ תִּ֭תְאָיו לְמַטְעַמּוֹתָ֑יו וְ֝ה֗וּא לֶ֣חֶם כְּזָבִֽים׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | אַל\־ | 'al- | may not | H408 | HTn — Negative Particle | אַל (al): not |
| 2 | תִּ֭תְאָיו | tit.'o | you crave | H183 | HVpj2mp — Verb : Piel (Intensive/resultive/transtive, Active) Imperfect (Future/present Jussive) Second Plural Masculine | אָוָה (a.vah): to desire |
| 3 | לְ/מַטְעַמּוֹתָ֑י/ו | le./mat.'a.mo.Ta/v | for/ dainties/ his | H4303 | HR/Ncfpc/Sp3ms — Preposition + Noun (Plural Feminine, Construct) + Suffix (Third Singular Masculine) | מַטְעָם (mat.am): delicacy |
| 4 | וְ֝/ה֗וּא | ve./Hu' | and/ it | H1931 | HC/Pp3ms — Conjunction + Pronoun (Third Singular Masculine) | הוּא (hu): he/she/it |
| 5 | לֶ֣חֶם | Le.chem | [is] food of | H3899G | HNcmsc — Noun (Singular Masculine, Construct) | לֶ֫חֶם (le.chem): food |
| 6 | כְּזָבִֽים\׃ | ke.za.Vim | lies | H3577 | HNcmpa — Noun (Plural Masculine, Absolute) | כָּזָב (ka.zav): lie |

## Proverbs 23:4

**Original:** אַל־ תִּיגַ֥ע לְֽהַעֲשִׁ֑יר מִֽבִּינָתְךָ֥ חֲדָֽל׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | אַל\־ | 'al- | may not | H408 | HTn — Negative Particle | אַל (al): not |
| 2 | תִּיגַ֥ע | ti.Ga' | you labor | H3021 | HVqj2ms — Verb : Qal (Simple, Active) Imperfect (Future/present Jussive) Second Singular Masculine | יָגֵעַ (ya.ga): be weary/toil |
| 3 | לְֽ/הַעֲשִׁ֑יר | le./ha.'a.Shir | to/ gain riches | H6238 | HR/Vhcc — Preposition + Verb : Hiphil (Causative/declarative, Active) Infinitive Construct | עָשַׁר (a.shar): to enrich |
| 4 | מִֽ/בִּינָתְ/ךָ֥ | mi./bi.na.te./Kha | from/ understanding/ your | H998 | HR/Ncfsc/Sp2ms — Preposition + Noun (Singular Feminine, Construct) + Suffix (Second Singular Masculine) | בִּינָה (bi.nah): understanding |
| 5 | חֲדָֽל\׃ | cha.Dal | cease | H2308 | HVqv2ms — Verb : Qal (Simple, Active) Imperative Second Singular Masculine | חָדַל (cha.dal): to cease |

## Proverbs 23:5

**Original:** הֲתָ֤עִיף עֵינֶ֥יךָ בּ֗וֹ וְֽאֵ֫ינֶ֥נּוּ כִּ֤י עָשֹׂ֣ה יַעֲשֶׂה־ לּ֣וֹ כְנָפַ֑יִם כְּ֝נֶ֗שֶׁר יָע֥וּף הַשָּׁמָֽיִם׃\ \פ

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | הֲ/תָ֤עִיף | ha./ta.'uf | ¿/ do you cause to fly | H5774A | HTi/Vhi2ms — Interrogative Particle + Verb : Hiphil (Causative/declarative, Active) Imperfect (Future/present Indicative/jussive) Second Singular Masculine | עוּף (uph): to fly |
| 2 | עֵינֶ֥י/ךָ | 'ei.Nei./kha | eyes/ your | H5869A | HNcfdc/Sp2ms — Noun (Dual Feminine, Construct) + Suffix (Second Singular Masculine) | עַ֫יִן (a.yin): eye |
| 3 | בּ֗/וֹ | b/o | on/ it | H9003 | HR/Sp3ms — Preposition + Suffix (Third Singular Masculine) | /ב (b): in/on/with |
| 4 | וְֽ/אֵ֫ינֶ֥/נּוּ | ve./'Ei.Ne./nu | and/ there not [is]/ it | H369 | HC/Ncmsc/Sp3ms — Conjunction + Noun (Singular Masculine, Construct) + Suffix (Third Singular Masculine) | אַ֫יִן (a.yin): nothing |
| 5 | כִּ֤י | ki | for | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 6 | עָשֹׂ֣ה | 'a.Soh | certainly <to make> | H6213H | HVqaa — Verb : Qal (Simple, Active) Infinitive Absolute | עָשָׂה (a.sah): to make |
| 7 | יַעֲשֶׂה\־ | ya.'a.seh- | it makes | H6213H | HVqi3ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | עָשָׂה (a.sah): to make |
| 8 | לּ֣/וֹ | l/o | for/ itself | H9005 | HR/Sp3ms — Preposition + Suffix (Third Singular Masculine) | /ל (l): to/for |
| 9 | כְנָפַ֑יִם | khe.na.Fa.yim | wings | H3671 | HNcfda — Noun (Dual Feminine, Absolute) | כָּנָף (ka.naph): wing |
| 10 | כְּ֝/נֶ֗שֶׁר | ke./Ne.sher | like/ an eagle | H5404 | HR/Ncmsa — Preposition + Noun (Singular Masculine, Absolute) | נֶשֶׁר (ne.sher): eagle |
| 11 | יָע֥וּף | ve.'a.yef | it flies away | H5774A | HVqi3ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | עוּף (uph): to fly |
| 12 | הַ/שָּׁמָֽיִם\׃\ \פ | ha./sha.Ma.yim | the/ heavens | H8064 | HTd/Ncmpa — Definite article (Hebrew) + Noun (Plural Masculine, Absolute) | שָׁמַיִם (sha.ma.yim): heaven |

## Proverbs 23:6

**Original:** אַל־ תִּלְחַ֗ם אֶת־ לֶ֭חֶם רַ֣ע עָ֑יִן וְאַל־ תִּ֝תְאָ֗יו לְמַטְעַמֹּתָֽיו׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | אַל\־ | 'al- | may not | H408 | HTn — Negative Particle | אַל (al): not |
| 2 | תִּלְחַ֗ם | til.Cham | you eat | H3898B | HVqj2ms — Verb : Qal (Simple, Active) Imperfect (Future/present Jussive) Second Singular Masculine | לָחַם (la.cham): to feed on |
| 3 | אֶת\־ | 'et- | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 4 | לֶ֭חֶם | Le.chem | [the] food of | H3899H | HNcmsc — Noun (Singular Masculine, Construct) | לֶ֫חֶם (le.chem): food: bread |
| 5 | רַ֣ע | ra' | a [person] evil of | H7451H | HAamsc — Adjective (Singular Masculine, Construct) | רַע (ra): bad: evil |
| 6 | עָ֑יִן | 'A.yin | eye | H5869I | HNcfsa — Noun (Singular Feminine, Absolute) | עַ֫יִן (a.yin): eye: appearance |
| 7 | וְ/אַל\־ | ve./'al- | and/ may not | H408 | HC/Tn — Conjunction + Negative Particle | אַל (al): not |
| 8 | תִּ֝תְאָ֗יו | tit.'av | you crave | H183 | HVtj2ms — Verb : Hithpael (Intensive/resultive/transtive, Reflexive/iterative) Imperfect (Future/present Jussive) Second Singular Masculine | אָוָה (a.vah): to desire |
| 9 | לְ/מַטְעַמֹּתָֽי/ו\׃ | le./mat.'a.mo.Ta/v | for/ dainties/ his | H4303 | HR/Ncfpc/Sp3ms — Preposition + Noun (Plural Feminine, Construct) + Suffix (Third Singular Masculine) | מַטְעָם (mat.am): delicacy |

## Proverbs 23:7

**Original:** כִּ֤י׀ כְּמוֹ־ שָׁעַ֥ר בְּנַפְשׁ֗וֹ כֶּ֫ן־ ה֥וּא אֱכֹ֣ל וּ֭שְׁתֵה יֹ֣אמַר לָ֑ךְ וְ֝לִבּ֗וֹ בַּל־ עִמָּֽךְ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | כִּ֤י\׀ | ki | for | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 2 | כְּמוֹ\־ | ke.mov- | as | H3644G | HR — Preposition | כְּמוֹ (ke.mo): like |
| 3 | שָׁעַ֥ר | sha.'Ar | he calculates | H8176 | HVqp3ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine | שָׁעַר (sha.ar): to calculate |
| 4 | בְּ/נַפְשׁ֗/וֹ | be./naf.Sh/o | in/ self/ his | H5315G | HR/Ncfsc/Sp3ms — Preposition + Noun (Singular Feminine, Construct) + Suffix (Third Singular Masculine) | נֶ֫פֶשׁ (ne.phesh): soul |
| 5 | כֶּ֫ן\־ | Ken- | [is] so | H3651C | HD — Adverb | כֵּן (ken): so |
| 6 | ה֥וּא | hu' | he | H1931 | HPp3ms — Pronoun (Third Singular Masculine) | הוּא (hu): he/she/it |
| 7 | אֱכֹ֣ל | 'e.Khol | eat | H398 | HVqv2ms — Verb : Qal (Simple, Active) Imperative Second Singular Masculine | אָכַל (a.khal): to eat |
| 8 | וּ֭/שְׁתֵה | U./she.teh | and/ drink | H8354 | HC/Vqv2ms — Conjunction + Verb : Qal (Simple, Active) Imperative Second Singular Masculine | שָׁתָה (sha.tah): to drink |
| 9 | יֹ֣אמַר | Yo.mar | he says | H559 | HVqi3ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | אָמַר (a.mar): to say |
| 10 | לָ֑/ךְ | La/kh | to/ you | H9005 | HR/Sp2ms — Preposition + Suffix (Second Singular Masculine) | /ל (l): to/for |
| 11 | וְ֝/לִבּ֗/וֹ | ve./li.B/o | and/ heart/ his | H3820A | HC/Ncmsc/Sp3ms — Conjunction + Noun (Singular Masculine, Construct) + Suffix (Third Singular Masculine) | לֵב (lev): heart |
| 12 | בַּל\־ | bal- | not | H1077 | HTn — Negative Particle | בַּל (bal): not |
| 13 | עִמָּֽ/ךְ\׃ | 'i.Ma/kh | [is] with/ you | H5973A | HR/Sp2ms — Preposition + Suffix (Second Singular Masculine) | עִם (im): with |

## Proverbs 23:8

**Original:** פִּֽתְּךָ־ אָכַ֥לְתָּ תְקִיאֶ֑נָּה וְ֝שִׁחַ֗תָּ דְּבָרֶ֥יךָ הַנְּעִימִֽים׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | פִּֽתְּ/ךָ\־ | pi.te./kha- | morsel/ your | H6595A | HNcfsc/Sp2ms — Noun (Singular Feminine, Construct) + Suffix (Second Singular Masculine) | פַּת (pat): morsel |
| 2 | אָכַ֥לְתָּ | 'a.Khal.ta | [which] you have eaten | H398 | HVqp2ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Second Singular Masculine | אָכַל (a.khal): to eat |
| 3 | תְקִיאֶ֑/נָּה | te.ki.'E./nah | you will vomit up/ it | H6958 | HVhi2ms/Sp3fs — Verb : Hiphil (Causative/declarative, Active) Imperfect (Future/present Indicative/jussive) Second Singular Masculine + Suffix (Third Singular Feminine) | קִיא (qo): to vomit |
| 4 | וְ֝/שִׁחַ֗תָּ | ve./shi.Cha.ta | and/ you will spoil | H7843 | Hc/Vpq2ms — Consecutive Conjunction + Verb : Piel (Intensive/resultive/transtive, Active) Consecutive Perfect (Future/present Indicative) Second Singular Masculine | שָׁחַת (sha.chat): to ruin |
| 5 | דְּבָרֶ֥י/ךָ | de.va.Rei./kha | words/ your | H1697G | HNcmpc/Sp2ms — Noun (Plural Masculine, Construct) + Suffix (Second Singular Masculine) | דָּבָר (da.var): word |
| 6 | הַ/נְּעִימִֽים\׃ | ha./ne.'i.Mim | <the>/ pleasant | H5273A | HTd/Aampa — Definite article (Hebrew) + Aampa | נָעִים (na.im): pleasant |

## Proverbs 23:9

**Original:** בְּאָזְנֵ֣י כְ֭סִיל אַל־ תְּדַבֵּ֑ר כִּֽי־ יָ֝ב֗וּז לְשֵׂ֣כֶל מִלֶּֽיךָ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | בְּ/אָזְנֵ֣י | be./'a.ze.Nei | in/ [the] ears of | H241H | HR/Ncfdc — Preposition + Noun (Dual Feminine, Construct) | אֹ֫זֶן (o.zen): ear: hearing |
| 2 | כְ֭סִיל | Khe.sil | a fool | H3684 | HAamsa — Adjective (Singular Masculine, Absolute) | כְּסִיל (ke.sil): fool |
| 3 | אַל\־ | 'al- | may not | H408 | HTn — Negative Particle | אַל (al): not |
| 4 | תְּדַבֵּ֑ר | te.da.Ber | you speak | H1696G | HVpj2ms — Verb : Piel (Intensive/resultive/transtive, Active) Imperfect (Future/present Jussive) Second Singular Masculine | דָבַר (da.var): to speak: speak |
| 5 | כִּֽי\־ | ki- | for | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 6 | יָ֝ב֗וּז | ya.Vuz | he will despise | H936 | HVqi3ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | בּוּז (buz): to despise |
| 7 | לְ/שֵׂ֣כֶל | le./Se.khel | <to>/ [the] insight of | H7922 | HR/Ncmsc — Preposition + Noun (Singular Masculine, Construct) | שֵׂ֫כֶל (se.khel): understanding |
| 8 | מִלֶּֽי/ךָ\׃ | mi.Lei./kha | words/ your | H4405 | HNcmpc/Sp2ms — Noun (Plural Masculine, Construct) + Suffix (Second Singular Masculine) | מִלָּה (mil.lah): speech |

## Proverbs 23:10

**Original:** אַל־ תַּ֭סֵּג גְּב֣וּל עוֹלָ֑ם וּבִשְׂדֵ֥י יְ֝תוֹמִ֗ים אַל־ תָּבֹֽא׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | אַל\־ | 'al- | may not | H408 | HTn — Negative Particle | אַל (al): not |
| 2 | תַּ֭סֵּג | Ta.seg | you displace | H5253 | HVhj2ms — Verb : Hiphil (Causative/declarative, Active) Imperfect (Future/present Jussive) Second Singular Masculine | נָסַג (na.sag): to remove |
| 3 | גְּב֣וּל | ge.Vul | a boundary of | H1366G | HNcmsc — Noun (Singular Masculine, Construct) | גְּבוּל (ge.vul): border: boundary |
