# STEP Bible — Proverbs 24

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Proverbs 24:1

**Original:** אַל־ תְּ֭קַנֵּא בְּאַנְשֵׁ֣י רָעָ֑ה וְאַל־ תִּ֝תְאָ֗יו לִהְי֥וֹת אִתָּֽם׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | אַל\־ | 'al- | may not | H408 | HTn — Negative Particle | אַל (al): not |
| 2 | תְּ֭קַנֵּא | Te.ka.ne' | you be jealous | H7065 | HVpj2ms — Verb : Piel (Intensive/resultive/transtive, Active) Imperfect (Future/present Jussive) Second Singular Masculine | קָנָא (qa.na): be jealous |
| 3 | בְּ/אַנְשֵׁ֣י | be./'an.Shei | of/ people of | H582 | HR/Ncmpc — Preposition + Noun (Plural Masculine, Construct) | אֱנוֹשׁ (e.nosh): human |
| 4 | רָעָ֑ה | ra.'Ah | evil | H7451I | HNcfsa — Noun (Singular Feminine, Absolute) | רָעָה (ra.ah): distress: evil |
| 5 | וְ/אַל\־ | ve./'al- | and/ may not | H408 | HC/Tn — Conjunction + Negative Particle | אַל (al): not |
| 6 | תִּ֝תְאָ֗יו | tit.'av | you desire | H183 | HVtj2ms — Verb : Hithpael (Intensive/resultive/transtive, Reflexive/iterative) Imperfect (Future/present Jussive) Second Singular Masculine | אָוָה (a.vah): to desire |
| 7 | לִ/הְי֥וֹת | li/h.Yot | to/ be | H1961 | HR/Vqcc — Preposition + Verb : Qal (Simple, Active) Infinitive Construct | הָיָה (ha.yah): to be |
| 8 | אִתָּֽ/ם\׃ | 'i.Ta/m | with/ them | H854 | HR/Sp3mp — Preposition + Suffix (Third Plural Masculine) | אֵת (et): with |

## Proverbs 24:2

**Original:** כִּי־ שֹׁ֭ד יֶהְגֶּ֣ה לִבָּ֑ם וְ֝עָמָ֗ל שִׂפְתֵיהֶ֥ם תְּדַבֵּֽרְנָה׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | כִּי\־ | ki- | for | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 2 | שֹׁ֭ד | shod | violence | H7701 | HNcmsa — Noun (Singular Masculine, Absolute) | שֹׁד (shod): violence |
| 3 | יֶהְגֶּ֣ה | yeh.Geh | it plots | H1897 | HVqi3ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | הָגָה (ha.gah): to mutter |
| 4 | לִבָּ֑/ם | li.Ba/m | heart/ their | H3820A | HNcmsc/Sp3mp — Noun (Singular Masculine, Construct) + Suffix (Third Plural Masculine) | לֵב (lev): heart |
| 5 | וְ֝/עָמָ֗ל | ve./'a.Mal | and/ trouble | H5999 | HC/Ncbsa — Conjunction + Noun (Singular Either gender, Absolute) | עָמָל (a.mal): trouble |
| 6 | שִׂפְתֵי/הֶ֥ם | sif.tei./Hem | lips/ their | H8193G | HNcfdc/Sp3mp — Noun (Dual Feminine, Construct) + Suffix (Third Plural Masculine) | שָׂפָה (sa.phah): lips |
| 7 | תְּדַבֵּֽרְנָה\׃ | te.da.Be.re.nah | they speak | H1696G | HVpi3fp — Verb : Piel (Intensive/resultive/transtive, Active) Imperfect (Future/present Indicative/jussive) Third Plural Feminine | דָבַר (da.var): to speak: speak |

## Proverbs 24:3

**Original:** בְּ֭חָכְמָה יִבָּ֣נֶה בָּ֑יִת וּ֝בִתְבוּנָ֗ה יִתְכּוֹנָֽן׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | בְּ֭/חָכְמָה | Be./cha.khe.mah | by/ wisdom | H2451 | HR/Ncfsa — Preposition + Noun (Singular Feminine, Absolute) | חׇכְמָה (chokh.mah): wisdom |
| 2 | יִבָּ֣נֶה | yi.Ba.neh | it is built | H1129 | HVNi3ms — Verb : Niphal (Simple, Passive) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | בָּנָה (ba.nah): to build |
| 3 | בָּ֑יִת | Ba.yit | a house | H1004B | HNcmsa — Noun (Singular Masculine, Absolute) | בַּ֫יִת (ba.yit): house: home |
| 4 | וּ֝/בִ/תְבוּנָ֗ה | u./vi/t.vu.Nah | and/ by/ understanding | H8394 | HC/R/Ncfsa — Conjunction + Preposition + Noun (Singular Feminine, Absolute) | תְּבוּנָה (ta.vu.nah): understanding |
| 5 | יִתְכּוֹנָֽן\׃ | yit.ko.Nan | it is established | H3559H | HVti3ms — Verb : Hithpael (Intensive/resultive/transtive, Reflexive/iterative) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | כּוּן (kun): to establish: establish |

## Proverbs 24:4

**Original:** וּ֭בְדַעַת חֲדָרִ֣ים יִמָּלְא֑וּ כָּל־ ה֖וֹן יָקָ֣ר וְנָעִֽים׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וּ֭/בְ/דַעַת | U./ve./da.'at | and/ by/ knowledge | H1847 | HC/R/Ncfsa — Conjunction + Preposition + Noun (Singular Feminine, Absolute) | דַּ֫עַת (da.at): knowledge |
| 2 | חֲדָרִ֣ים | cha.da.Rim | rooms | H2315 | HNcmpa — Noun (Plural Masculine, Absolute) | חֶ֫דֶר (che.der): chamber |
