# STEP Bible — Proverbs 26

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Proverbs 26:1

**Original:** כַּשֶּׁ֤לֶג׀ בַּקַּ֗יִץ וְכַמָּטָ֥ר בַּקָּצִ֑יר כֵּ֤ן לֹא־ נָאוֶ֖ה לִכְסִ֣יל כָּבֽוֹד׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | כַּ/שֶּׁ֤לֶג\׀ | ka./She.leg | like <the>/ snow | H7950 | HRd/Ncmsa — Preposition (Definite) + Noun (Singular Masculine, Absolute) | שֶׁ֫לֶג (she.leg): snow |
| 2 | בַּ/קַּ֗יִץ | ba./Ka.yitz | in the/ summer | H7019 | HRd/Ncmsa — Preposition (Definite) + Noun (Singular Masculine, Absolute) | קַ֫יִץ (qa.yits): summer |
| 3 | וְ/כַ/מָּטָ֥ר | ve./kha./ma.Tar | and/ like <the>/ rain | H4306 | HC/Rd/Ncmsa — Conjunction + Preposition (Definite) + Noun (Singular Masculine, Absolute) | מָטַר (ma.tar): rain |
| 4 | בַּ/קָּצִ֑יר | ba./ka.Tzir | at the/ harvest | H7105A | HRd/Ncmsa — Preposition (Definite) + Noun (Singular Masculine, Absolute) | קָצִיר (qa.tsir): harvest |
| 5 | כֵּ֤ן | ken | so | H3651C | HD — Adverb | כֵּן (ken): so |
| 6 | לֹא\־ | lo'- | not | H3808 | HTn — Negative Particle | לֹא (lo): not |
| 7 | נָאוֶ֖ה | na.Veh | [is] suitable | H5000 | HAamsa — Adjective (Singular Masculine, Absolute) | נָאוֶה (na.eh): lovely |
| 8 | לִ/כְסִ֣יל | li/kh.Sil | for/ a fool | H3684 | HR/Aamsa — Preposition + Aamsa | כְּסִיל (ke.sil): fool |
| 9 | כָּבֽוֹד\׃ | ka.Vod | honor | H3519 | HNcmsa — Noun (Singular Masculine, Absolute) | כָּבוֹד (ka.vod): glory |

## Proverbs 26:2

**Original:** כַּצִּפּ֣וֹר לָ֭נוּד כַּדְּר֣וֹר לָע֑וּף כֵּ֥ן קִֽלְלַ֥ת חִ֝נָּ֗ם ל֣וֹ תָבֹֽא׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | כַּ/צִּפּ֣וֹר | ka./tzi.Por | like <the>/ bird | H6833 | HRd/Ncbsa — Preposition (Definite) + Noun (Singular Either gender, Absolute) | צִפּוֹר (tsip.por): bird |
| 2 | לָ֭/נוּד | La./nud | for/ fluttering | H5110 | HR/Vqcc — Preposition + Verb : Qal (Simple, Active) Infinitive Construct | נוּד (nud): to wander |
| 3 | כַּ/דְּר֣וֹר | ka./de.Ror | like <the>/ swallow | H1866 | HRd/Ncfsa — Preposition (Definite) + Noun (Singular Feminine, Absolute) | דְּרוֹר (de.ror): swallow |
| 4 | לָ/ע֑וּף | la./'Uf | for/ flying | H5774A | HR/Vqcc — Preposition + Verb : Qal (Simple, Active) Infinitive Construct | עוּף (uph): to fly |
| 5 | כֵּ֥ן | ken | so | H3651C | HD — Adverb | כֵּן (ken): so |
| 6 | קִֽלְלַ֥ת | ki.Lat | a curse | H7045 | HNcfsc — Noun (Singular Feminine, Construct) | קְלָלָה (qe.la.lah): curse |
| 7 | חִ֝נָּ֗ם | chi.Nam | without cause | H2600 | HD — Adverb | חִנָּם (chin.nam): for nothing |
| 8 | ל֣/וֹ | l/o | to/ him | H9005 | HR/Sp3ms — Preposition + Suffix (Third Singular Masculine) | /ל (l): to/for |
| 9 | תָבֹֽא\׃ | ta.Vo' | it will come | H935G | HVqi3fs — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Singular Feminine | בּוֹא (bo): to come (in): come |

## Proverbs 26:3

**Original:** שׁ֣וֹט לַ֭סּוּס מֶ֣תֶג לַחֲמ֑וֹר וְ֝שֵׁ֗בֶט לְגֵ֣ו כְּסִילִֽים׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | שׁ֣וֹט | Shot | a whip | H7752 | HNcmsa — Noun (Singular Masculine, Absolute) | שׁוֹט (shot): whip |
| 2 | לַ֭/סּוּס | La./sus | for <the>/ horse | H5483M | HRd/Ncmsa — Preposition (Definite) + Noun (Singular Masculine, Absolute) | סוּס (sus): horse |
| 3 | מֶ֣תֶג | Me.teg | a bridle | H4964 | HNcmsa — Noun (Singular Masculine, Absolute) | מֶ֫תֶג (me.teg): bridle |
| 4 | לַ/חֲמ֑וֹר | la./cha.Mor | for <the>/ a donkey | H2543 | HRd/Ncbsa — Preposition (Definite) + Noun (Singular Either gender, Absolute) | חֲמוֹר (cha.mor): donkey |
| 5 | וְ֝/שֵׁ֗בֶט | ve./She.vet | and/ a rod | H7626G | HC/Ncmsa — Conjunction + Noun (Singular Masculine, Absolute) | שֵׁ֫בֶט (she.vet): tribe: staff |
| 6 | לְ/גֵ֣ו | le./Gev | for/ [the] back of | H1460A | HR/Ncmsc — Preposition + Noun (Singular Masculine, Construct) | גֵּו (gev): back |
| 7 | כְּסִילִֽים\׃ | ke.si.Lim | fools | H3684 | HAampa — Adjective (Plural Masculine, Absolute) | כְּסִיל (ke.sil): fool |

## Proverbs 26:4

**Original:** אַל־ תַּ֣עַן כְּ֭סִיל כְּאִוַּלְתּ֑וֹ פֶּֽן־ תִּשְׁוֶה־ לּ֥וֹ גַם־ אָֽתָּה׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | אַל\־ | 'al- | may not | H408 | HTn — Negative Particle | אַל (al): not |
