# STEP Bible — Proverbs 28

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Proverbs 28:1

**Original:** נָ֣סוּ וְאֵין־ רֹדֵ֣ף רָשָׁ֑ע וְ֝צַדִּיקִ֗ים כִּכְפִ֥יר יִבְטָֽח׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | נָ֣סוּ | Na.su | they flee | H5127 | HVqp3cp — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Plural Either gender | נוּס (nus): to flee |
| 2 | וְ/אֵין\־ | ve./'ein- | and/ there not | H369 | HC/Ncmsc — Conjunction + Noun (Singular Masculine, Construct) | אַ֫יִן (a.yin): nothing |
| 3 | רֹדֵ֣ף | ro.Def | [is one who] pursues | H7291 | HVqrmsa — Verb : Qal (Simple, Active) Participle (Singular Masculine, Absolute) | רָדַף (ra.daph): to pursue |
| 4 | רָשָׁ֑ע | ra.Sha' | [the] wicked | H7563 | HNcmsa — Noun (Singular Masculine, Absolute) | רָשָׁע (ra.sah): wicked |
| 5 | וְ֝/צַדִּיקִ֗ים | ve./tza.di.Kim | and/ righteous [people] | H6662 | HC/Aampa — Conjunction + Aampa | צַדִּיק (tsad.diq): righteous |
| 6 | כִּ/כְפִ֥יר | ki/kh.Fir | like/ a young lion | H3715A | HR/Ncmsa — Preposition + Noun (Singular Masculine, Absolute) | כְּפִיר (ke.phir): lion |
| 7 | יִבְטָֽח\׃ | yiv.Tach | he is confident | H982 | HVqi3ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | בָּטַח (ba.tach): to trust |

## Proverbs 28:2

**Original:** בְּפֶ֣שַֽׁע אֶ֭רֶץ רַבִּ֣ים שָׂרֶ֑יהָ וּבְאָדָ֥ם מֵבִ֥ין יֹ֝דֵ֗עַ כֵּ֣ן יַאֲרִֽיךְ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | בְּ/פֶ֣שַֽׁע | be./Fe.sha' | by/ [the] transgression of | H6588 | HR/Ncmsc — Preposition + Noun (Singular Masculine, Construct) | פֶּ֫שַׁע (pe.sah): transgression |
| 2 | אֶ֭רֶץ | 'E.retz | a land | H776G | HNcfsa — Noun (Singular Feminine, Absolute) | אֶ֫רֶץ (e.rets): land: country/planet |
| 3 | רַבִּ֣ים | ra.Bim | [are] many | H7227A | HAampa — Adjective (Plural Masculine, Absolute) | רַב (rav): many |
| 4 | שָׂרֶ֑י/הָ | sa.Rei./ha | princes/ its | H8269 | HNcmpc/Sp3fs — Noun (Plural Masculine, Construct) + Suffix (Third Singular Feminine) | שַׂר (sar): ruler |
| 5 | וּ/בְ/אָדָ֥ם | u./ve./'a.Dam | and/ by/ a person | H120G | HC/R/Ncmsa — Conjunction + Preposition + Noun (Singular Masculine, Absolute) | אָדָם (a.dam): man |
| 6 | מֵבִ֥ין | me.Vin | understanding | H995 | HVhrmsa — Verb : Hiphil (Causative/declarative, Active) Participle (Singular Masculine, Absolute) | בִּין (bin): to understand |
| 7 | יֹ֝דֵ֗עַ | yo.De.a' | knowing | H3045 | HVqrmsa — Verb : Qal (Simple, Active) Participle (Singular Masculine, Absolute) | יָדַע (ya.da): to know |
| 8 | כֵּ֣ן | ken | thus | H3651A | HD — Adverb | כֵּן (ken): right |
| 9 | יַאֲרִֽיךְ\׃ | ya.'a.Rikh | it will last long | H748 | HVhi3ms — Verb : Hiphil (Causative/declarative, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | אָרַךְ (a.rakh): to prolong |

## Proverbs 28:3

**Original:** גֶּ֣בֶר רָ֭שׁ וְעֹשֵׁ֣ק דַּלִּ֑ים מָטָ֥ר סֹ֝חֵ֗ף וְאֵ֣ין לָֽחֶם׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | גֶּ֣בֶר | Ge.ver | a man | H1397 | HNcmsa — Noun (Singular Masculine, Absolute) | גָּבֶר (ga.ver): great man |
| 2 | רָ֭שׁ | rash | poor | H7326 | HVqrmsa — Verb : Qal (Simple, Active) Participle (Singular Masculine, Absolute) | רוּשׁ (rush): be poor |
| 3 | וְ/עֹשֵׁ֣ק | ve./'o.Shek | and/ [who] oppresses | H6231 | HC/Vqrmsa — Conjunction + Verb : Qal (Simple, Active) Participle (Singular Masculine, Absolute) | עָשַׁק (a.shaq): to oppress |
| 4 | דַּלִּ֑ים | da.Lim | poor [people] | H1800 | HAampa — Adjective (Plural Masculine, Absolute) | דַּל (dal): poor |
| 5 | מָטָ֥ר | ma.Tar | rain | H4306 | HNcmsa — Noun (Singular Masculine, Absolute) | מָטַר (ma.tar): rain |
| 6 | סֹ֝חֵ֗ף | so.Chef | [which] washes away | H5502 | HVqrmsa — Verb : Qal (Simple, Active) Participle (Singular Masculine, Absolute) | סָחַף (sa.chaph): to prostatrate |
| 7 | וְ/אֵ֣ין | ve./'Ein | and/ there not | H369 | HC/Ncmsc — Conjunction + Noun (Singular Masculine, Construct) | אַ֫יִן (a.yin): nothing |
| 8 | לָֽחֶם\׃ | La.chem | [is] food | H3899G | HNcmsa — Noun (Singular Masculine, Absolute) | לֶ֫חֶם (le.chem): food |

## Proverbs 28:4

