# STEP Bible — Proverbs 7

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Proverbs 7:1

**Original:** בְּ֭נִי שְׁמֹ֣ר אֲמָרָ֑י וּ֝מִצְוֹתַ֗י תִּצְפֹּ֥ן אִתָּֽךְ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | בְּ֭נִ/י | Be.n/i | O son/ my | H1121A | HNcmsc/Sp1bs — Noun (Singular Masculine, Construct) + Suffix (First Singular Either gender) | בֵּן (ben): son: child |
| 2 | שְׁמֹ֣ר | she.Mor | keep | H8104H | HVqv2ms — Verb : Qal (Simple, Active) Imperative Second Singular Masculine | שָׁמַר (sha.mar): to keep: guard |
| 3 | אֲמָרָ֑/י | 'a.ma.Ra/i | words/ my | H561 | HNcmpc/Sp1bs — Noun (Plural Masculine, Construct) + Suffix (First Singular Either gender) | אֵמֶר (e.mer): word |
| 4 | וּ֝/מִצְוֹתַ֗/י | u./mitz.vo.Ta/i | and/ commandments/ my | H4687 | HC/Ncfpc/Sp1bs — Conjunction + Noun (Plural Feminine, Construct) + Suffix (First Singular Either gender) | מִצְוָה (mits.vah): commandment |
| 5 | תִּצְפֹּ֥ן | titz.Pon | you will treasure | H6845 | HVqi2ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Second Singular Masculine | צָפַן (tsa.phan): to treasure |
| 6 | אִתָּֽ/ךְ\׃ | 'i.Ta/kh | with/ you | H854 | HR/Sp2ms — Preposition + Suffix (Second Singular Masculine) | אֵת (et): with |

## Proverbs 7:2

**Original:** שְׁמֹ֣ר מִצְוֹתַ֣י וֶחְיֵ֑ה וְ֝תוֹרָתִ֗י כְּאִישׁ֥וֹן עֵינֶֽיךָ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | שְׁמֹ֣ר | she.Mor | keep | H8104H | HVqv2ms — Verb : Qal (Simple, Active) Imperative Second Singular Masculine | שָׁמַר (sha.mar): to keep: guard |
| 2 | מִצְוֹתַ֣/י | mitz.vo.Ta/i | commandments/ my | H4687 | HNcfpc/Sp1bs — Noun (Plural Feminine, Construct) + Suffix (First Singular Either gender) | מִצְוָה (mits.vah): commandment |
| 3 | וֶ/חְיֵ֑ה | ve/ch.Yeh | and/ live | H2421 | HC/Vqv2ms — Conjunction + Verb : Qal (Simple, Active) Imperative Second Singular Masculine | חָיָה (cha.yah): to live |
| 4 | וְ֝/תוֹרָתִ֗/י | ve./to.ra.T/i | and/ instruction/ my | H8451 | HC/Ncfsc/Sp1bs — Conjunction + Noun (Singular Feminine, Construct) + Suffix (First Singular Either gender) | תּוֹרָה (to.rah): instruction |
| 5 | כְּ/אִישׁ֥וֹן | ke./'i.Shon | like/ [the] pupil of | H380 | HR/Ncmsc — Preposition + Noun (Singular Masculine, Construct) | אִישׁוֹן (i.shon): pupil |
