# STEP Bible — Psalms 100

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Psalms 100:0

**Original:** מִזְמ֥וֹר לְתוֹדָ֑ה

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | מִזְמ֥וֹר | miz.Mor | a psalm | H4210 | HNcmsa — Noun (Singular Masculine, Absolute) | מִזְמוֹר (miz.mor): melody |
| 2 | לְ/תוֹדָ֑ה | le./to.Dah | for/ thanksgiving | H8426 | HR/Ncfsa — Preposition + Noun (Singular Feminine, Absolute) | תּוֹדָה (to.dah): thanksgiving |

## Psalms 100:1

**Original:** הָרִ֥יעוּ לַ֝יהוָ֗ה כָּל־ הָאָֽרֶץ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 3 | הָרִ֥יעוּ | ha.Ri.'u | shout for joy | H7321 | HVhv2mp — Verb : Hiphil (Causative/declarative, Active) Imperative Second Plural Masculine | רוּעַ (ru.a): to shout |
| 4 | לַ֝/יהוָ֗ה | la./Yah.weh | to/ Yahweh | H3068G | HR/Npt — Preposition + Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 5 | כָּל\־ | kol- | O all | H3605 | HNcmsc — Noun (Singular Masculine, Construct) | כֹּל (kol): all |
| 6 | הָ/אָֽרֶץ\׃ | ha./'A.retz | the/ earth | H776G | HTd/Ncfsa — Definite article (Hebrew) + Noun (Singular Feminine, Absolute) | אֶ֫רֶץ (e.rets): land: country/planet |

## Psalms 100:2

**Original:** עִבְד֣וּ אֶת־ יְהוָ֣ה בְּשִׂמְחָ֑ה בֹּ֥אוּ לְ֝פָנָ֗יו בִּרְנָנָֽה׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | עִבְד֣וּ | 'iv.Du | serve | H5647H | HVqv2mp — Verb : Qal (Simple, Active) Imperative Second Plural Masculine | עָבַד (a.vad): to serve: minister |
| 2 | אֶת\־ | 'et- | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
