# STEP Bible — Psalms 102

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Psalms 102:0

**Original:** תְּ֭פִלָּה לְעָנִ֣י כִֽי־ יַעֲטֹ֑ף וְלִפְנֵ֥י יְ֝הוָ֗ה יִשְׁפֹּ֥ךְ שִׂיחֽוֹ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | תְּ֭פִלָּה | Te.fi.lah | a prayer | H8605 | HNcfsa — Noun (Singular Feminine, Absolute) | תְּפִלָּה (te.phil.lah): prayer |
| 2 | לְ/עָנִ֣י | le./'a.Ni | of/ an afflicted [person] | H6041 | HR/Aamsa — Preposition + Aamsa | עָנִי (a.ni): afflicted |
| 3 | כִֽי\־ | khi- | if | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 4 | יַעֲטֹ֑ף | ya.'a.Tof | he grows faint | H5848C | HVqi3ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | עָטַף (a.taph): to enfeeble |
| 5 | וְ/לִ/פְנֵ֥י | ve./li/f.Nei | and/ <to>/ before | H6440G | HC/R/Ncmpc — Conjunction + Preposition + Noun (Plural Masculine, Construct) | פָּנֶה (pa.neh): face: before |
| 6 | יְ֝הוָ֗ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 7 | יִשְׁפֹּ֥ךְ | yish.Pokh | he pours out | H8210G | HVqi3ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | שָׁפַךְ (sha.phakh): to pour: pour |
| 8 | שִׂיחֽ/וֹ\׃ | si.Ch/o | complaint/ his | H7879 | HNcmsc/Sp3ms — Noun (Singular Masculine, Construct) + Suffix (Third Singular Masculine) | שִׂיחַ (si.ach): complaint |

## Psalms 102:1

**Original:** יְ֭הוָה שִׁמְעָ֣ה תְפִלָּתִ֑י וְ֝שַׁוְעָתִ֗י אֵלֶ֥יךָ תָבֽוֹא׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | יְ֭הוָה | Yah.weh | O Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 2 | שִׁמְעָ֣/ה | shim.'A/h | hear/ ! | H8085G | HVqv2ms/Sh — Verb : Qal (Simple, Active) Imperative Second Singular Masculine + Paragogic Hé | שָׁמַע (sha.ma): to hear: hear |
| 3 | תְפִלָּתִ֑/י | te.fi.la.T/i | prayer/ my | H8605 | HNcfsc/Sp1bs — Noun (Singular Feminine, Construct) + Suffix (First Singular Either gender) | תְּפִלָּה (te.phil.lah): prayer |
| 4 | וְ֝/שַׁוְעָתִ֗/י | ve./shav.'a.T/i | and/ cry for help/ my | H7775 | HC/Ncfsc/Sp1bs — Conjunction + Noun (Singular Feminine, Construct) + Suffix (First Singular Either gender) | שַׁוְעָה (shav.ah): cry |
| 5 | אֵלֶ֥י/ךָ | 'e.Lei./kha | to/ you | H413 | HR/Sp2ms — Preposition + Suffix (Second Singular Masculine) | אֶל (el): to(wards) |
| 6 | תָבֽוֹא\׃ | ta.Vo' | let it come | H935G | HVqi3fs — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Singular Feminine | בּוֹא (bo): to come (in): come |

## Psalms 102:2

**Original:** אַל־ תַּסְתֵּ֬ר פָּנֶ֨יךָ׀ מִמֶּנִּי֮ בְּי֪וֹם צַ֫ר לִ֥י הַטֵּֽה־ אֵלַ֥י אָזְנֶ֑ךָ בְּי֥וֹם אֶ֝קְרָ֗א מַהֵ֥ר עֲנֵֽנִי׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | אַל\־ | 'al- | may not | H408 | HTn — Negative Particle | אַל (al): not |
| 2 | תַּסְתֵּ֬ר | tas.Ter | you hide | H5641 | HVhj2ms — Verb : Hiphil (Causative/declarative, Active) Imperfect (Future/present Jussive) Second Singular Masculine | סָתַר (sa.tar): to hide |
| 3 | פָּנֶ֨י/ךָ\׀ | pa.Nei./kha | face/ your | H6440H | HNcmpc/Sp2ms — Noun (Plural Masculine, Construct) + Suffix (Second Singular Masculine) | פָּנֶה (pa.neh): face |
| 4 | מִמֶּ/נִּי֮ | mi.me./Ni | from/ me | H4480A | HR/Sp1bs — Preposition + Suffix (First Singular Either gender) | מִן־ (min): from |
