# STEP Bible — Psalms 105

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Psalms 105:1

**Original:** הוֹד֣וּ לַ֭יהוָה קִרְא֣וּ בִּשְׁמ֑וֹ הוֹדִ֥יעוּ בָ֝עַמִּ֗ים עֲלִילוֹתָֽיו׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | הוֹד֣וּ | ho.Du | give thanks | H3034 | HVhv2mp — Verb : Hiphil (Causative/declarative, Active) Imperative Second Plural Masculine | יָדָה (ya.dah): to give thanks |
| 2 | לַ֭/יהוָה | la./Yah.weh | to/ Yahweh | H3068G | HR/Npt — Preposition + Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 3 | קִרְא֣וּ | kir.'U | call | H7121G | HVqv2mp — Verb : Qal (Simple, Active) Imperative Second Plural Masculine | קָרָא (qa.ra): to call: call to |
| 4 | בִּ/שְׁמ֑/וֹ | bi/sh.M/o | on/ name/ his | H8034 | HR/Ncmsc/Sp3ms — Preposition + Noun (Singular Masculine, Construct) + Suffix (Third Singular Masculine) | שֵׁם (shem): name |
| 5 | הוֹדִ֥יעוּ | ho.Di.'u | make known | H3045 | HVhv2mp — Verb : Hiphil (Causative/declarative, Active) Imperative Second Plural Masculine | יָדַע (ya.da): to know |
| 6 | בָ֝/עַמִּ֗ים | va./'a.Mim | among the/ peoples | H5971A | HRd/Ncmpa — Preposition (Definite) + Noun (Plural Masculine, Absolute) | עַם (am): people |
| 7 | עֲלִילוֹתָֽי/ו\׃ | a.li.lo.Ta/v | deeds/ his | H5949 | HNcfpc/Sp3ms — Noun (Plural Feminine, Construct) + Suffix (Third Singular Masculine) | עֲלִילָה (a.li.lah): wantonness |

## Psalms 105:2

**Original:** שִֽׁירוּ־ ל֭וֹ זַמְּרוּ־ ל֑וֹ שִׂ֝֗יחוּ בְּכָל־ נִפְלְאוֹתָֽיו׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | שִֽׁירוּ\־ | shi.ru- | sing | H7891 | HVqv2mp — Verb : Qal (Simple, Active) Imperative Second Plural Masculine | שִׁיר (shir): to sing |
| 2 | ל֭/וֹ | l/o | to/ him | H9005 | HR/Sp3ms — Preposition + Suffix (Third Singular Masculine) | /ל (l): to/for |
