# STEP Bible — Psalms 107

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Psalms 107:1

**Original:** הֹד֣וּ לַיהוָ֣ה כִּי־ ט֑וֹב כִּ֖י לְעוֹלָ֣ם חַסְדּֽוֹ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | הֹד֣וּ | ho.Du | give thanks | H3034 | HVhv2mp — Verb : Hiphil (Causative/declarative, Active) Imperative Second Plural Masculine | יָדָה (ya.dah): to give thanks |
| 2 | לַ/יהוָ֣ה | la./Yah.weh | to/ Yahweh | H3068G | HR/Npt — Preposition + Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 3 | כִּי\־ | ki- | for | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 4 | ט֑וֹב | Tov | [he is] good | H2895 | HVqp3ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine | טוֹב (tov): be pleasing |
| 5 | כִּ֖י | ki | for | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 6 | לְ/עוֹלָ֣ם | le./'o.Lam | [is] for/ ever | H5769G | HR/Ncmsa — Preposition + Noun (Singular Masculine, Absolute) | עוֹלָם (o.lam): forever: enduring |
| 7 | חַסְדּֽ/וֹ\׃ | chas.D/o | covenant loyalty/ his | H2617A | HNcmsc/Sp3ms — Noun (Singular Masculine, Construct) + Suffix (Third Singular Masculine) | חֶ֫סֶד (che.sed): kindness |

## Psalms 107:2

**Original:** יֹ֭אמְרוּ גְּאוּלֵ֣י יְהוָ֑ה אֲשֶׁ֥ר גְּ֝אָלָ֗ם מִיַּד־ צָֽר׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | יֹ֭אמְרוּ | Yo.me.ru | let them say | H559 | HVqi3mp — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Plural Masculine | אָמַר (a.mar): to say |
| 2 | גְּאוּלֵ֣י | ge.'u.Lei | [the] redeemed of | H1350A | HVqsmpc — Verb : Qal (Simple, Passive) Participle passive (Plural Masculine, Construct) | גָּאַל (ga.al): to redeem: redeem |
| 3 | יְהוָ֑ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 4 | אֲשֶׁ֥ר | 'a.Sher | whom | H834A | HTr — Relative Particle | אֲשֶׁר (a.sher): which |
| 5 | גְּ֝אָלָ֗/ם | ge.'a.La/m | he has redeemed/ them | H1350A | HVqp3ms/Sp3mp — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine + Suffix (Third Plural Masculine) | גָּאַל (ga.al): to redeem: redeem |
| 6 | מִ/יַּד\־ | mi./yad- | from/ [the] hand of | H3027G | HR/Ncbsc — Preposition + Noun (Singular Either gender, Construct) | יָד (yad): hand |
| 7 | צָֽר\׃ | Tzar | [the] opponent | H6862C | HNcmsa — Noun (Singular Masculine, Absolute) | צַר (tsar): enemy |

## Psalms 107:3

**Original:** וּֽמֵאֲרָצ֗וֹת קִ֫בְּצָ֥ם מִמִּזְרָ֥ח וּמִֽמַּעֲרָ֑ב מִצָּפ֥וֹן וּמִיָּֽם׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וּֽ/מֵ/אֲרָצ֗וֹת | u./me./'a.ra.Tzot | and/ from/ [the] lands | H776G | HC/R/Ncfpa — Conjunction + Preposition + Noun (Plural Feminine, Absolute) | אֶ֫רֶץ (e.rets): land: country/planet |
| 2 | קִ֫בְּצָ֥/ם | ki.be.Tza/m | he has gathered/ them | H6908 | HVpp3ms/Sp3mp — Verb : Piel (Intensive/resultive/transtive, Active) Perfect (Past/present Indicative) Third Singular Masculine + Suffix (Third Plural Masculine) | קָבַץ (qa.vats): to gather |
| 3 | מִ/מִּזְרָ֥ח | mi./miz.Rach | from/ east | H4217H | HR/Ncmsa — Preposition + Noun (Singular Masculine, Absolute) | מִזְרָח (miz.rach): east |
| 4 | וּ/מִֽ/מַּעֲרָ֑ב | u./mi./ma.'a.Rav | and/ from/ west | H4628 | HC/R/Ncmsa — Conjunction + Preposition + Noun (Singular Masculine, Absolute) | מַעֲרָב (ma.a.rav): west |
| 5 | מִ/צָּפ֥וֹן | mi./tza.Fon | from/ north | H6828G | HR/Ncfsa — Preposition + Noun (Singular Feminine, Absolute) | צָפוֹן (tsa.phon): north |
| 6 | וּ/מִ/יָּֽם\׃ | u./mi./Yam | and/ from/ [the] sea | H3220G | HC/R/Ncmsa — Conjunction + Preposition + Noun (Singular Masculine, Absolute) | יָם (yam): sea |

## Psalms 107:4

**Original:** תָּע֣וּ בַ֭מִּדְבָּר בִּישִׁימ֣וֹן דָּ֑רֶךְ עִ֥יר מ֝וֹשָׁ֗ב לֹ֣א מָצָֽאוּ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | תָּע֣וּ | ta.'U | they wandered about | H8582 | HVqp3cp — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Plural Either gender | תָּעָה (ta.ah): to go astray |
| 2 | בַ֭/מִּדְבָּר | Va./mid.bor | in the/ wilderness | H4057B | HRd/Ncmsa — Preposition (Definite) + Noun (Singular Masculine, Absolute) | מִדְבָּר (mid.bar): wilderness |
| 3 | בִּ/ישִׁימ֣וֹן | bi./shi.Mon | in/ a desolate place of | H3452H | HR/Ncmsc — Preposition + Noun (Singular Masculine, Construct) | יְשִׁימוֹן (ye.shi.mon): wilderness |
