# STEP Bible — Psalms 122

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Psalms 122:0

**Original:** שִׁ֥יר הַֽמַּעֲל֗וֹת לְדָ֫וִ֥ד

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | שִׁ֥יר | shir | [the] song of | H7892A | HNcmsc — Noun (Singular Masculine, Construct) | שִׁיר (shir): song |
| 2 | הַֽ/מַּעֲל֗וֹת | ha./ma.'a.Lot | the/ ascents | H4609B | HTd/Ncfpa — Definite article (Hebrew) + Noun (Plural Feminine, Absolute) | מַעֲלָה (ma.a.lah): step |
| 3 | לְ/דָ֫וִ֥ד | le./Da.Vid | of/ David | H1732 | HR/Npm — Preposition + Proper Noun (Masculine individual) | דָּוִד (da.vid): David |

## Psalms 122:1

**Original:** שָׂ֭מַחְתִּי בְּאֹמְרִ֣ים לִ֑י בֵּ֖ית יְהוָ֣ה נֵלֵֽךְ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 4 | שָׂ֭מַחְתִּי | Sa.mach.ti | I rejoiced | H8055 | HVqp1cs — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) First Singular Either gender | שָׂמַח (sa.mach): to rejoice |
| 5 | בְּ/אֹמְרִ֣ים | be./'o.me.Rim | in/ [those who] said | H559 | HR/Vqrmpa — Preposition + Verb : Qal (Simple, Active) Participle (Plural Masculine, Absolute) | אָמַר (a.mar): to say |
| 6 | לִ֑/י | L/i | to/ me | H9005 | HR/Sp1bs — Preposition + Suffix (First Singular Either gender) | /ל (l): to/for |
| 7 | בֵּ֖ית | beit | [the] house of | H1004Q | HNcmsc — Noun (Singular Masculine, Construct) | בַּ֫יִת (ba.yit): house: temple |
| 8 | יְהוָ֣ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 9 | נֵלֵֽךְ\׃ | ne.Lekh | let us go | H1980G | HVqi1cp — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/cohortative) First Plural Either gender | הָלַךְ (ha.lakh): to go: went |

## Psalms 122:2

**Original:** עֹ֭מְדוֹת הָי֣וּ רַגְלֵ֑ינוּ בִּ֝שְׁעָרַ֗יִךְ יְרוּשָׁלִָֽם׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | עֹ֭מְדוֹת | 'O.me.dot | standing | H5975G | HVqrfpa — Verb : Qal (Simple, Active) Participle (Plural Feminine, Absolute) | עָמַד (a.mad): to stand: stand |
| 2 | הָי֣וּ | ha.Yu | they were | H1961 | HVqp3cp — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Plural Either gender | הָיָה (ha.yah): to be |
| 3 | רַגְלֵ֑י/נוּ | rag.Lei./nu | feet/ our | H7272 | HNcfdc/Sp1bp — Noun (Dual Feminine, Construct) + Suffix (First Plural Either gender) | רֶ֫גֶל (re.gel): foot |
| 4 | בִּ֝/שְׁעָרַ֗יִ/ךְ | bi/sh.'a.Ra.yi/kh | in/ gates/ your | H8179G | HR/Ncmpc/Sp2fs — Preposition + Noun (Plural Masculine, Construct) + Suffix (Second Singular Feminine) | שַׁ֫עַר (sha.ar): gate |
| 5 | יְרוּשָׁלִָֽם\׃ | ye.ru.sha.Lim | O Jerusalem | H3389 | HNpl — Proper Noun (Location) | יְרוּשָׁלִַ֫ם, יְרוּשְׁלֵם (ye.ru.sha.laim): Jerusalem |

## Psalms 122:3

**Original:** יְרוּשָׁלִַ֥ם הַבְּנוּיָ֑ה כְּ֝עִ֗יר שֶׁחֻבְּרָה־ לָּ֥הּ יַחְדָּֽו׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | יְרוּשָׁלִַ֥ם | ye.ru.sha.Lim | Jerusalem | H3389 | HNpl — Proper Noun (Location) | יְרוּשָׁלִַ֫ם, יְרוּשְׁלֵם (ye.ru.sha.laim): Jerusalem |
| 2 | הַ/בְּנוּיָ֑ה | ha./be.nu.Yah | which/ was built | H1129 | HTd/Vqsfsa — Definite article (Hebrew) + Verb : Qal (Simple, Passive) Participle passive (Singular Feminine, Absolute) | בָּנָה (ba.nah): to build |
| 3 | כְּ֝/עִ֗יר | ke./'Ir | like/ a city | H5892B | HR/Ncfsa — Preposition + Noun (Singular Feminine, Absolute) | עִיר (ir): city |
| 4 | שֶׁ/חֻבְּרָה\־ | she./chu.be.rah- | that/ <it> was joined together | H2266 | HTr/VPp3fs — Relative Particle + Verb : Pual (Intensive/resultive/transtive, Passive) Perfect (Past/present Indicative) Third Singular Feminine | חָבַר (cha.var): to unite |
| 5 | לָּ֥/הּ | la/h | to/ itself | H9005 | HR/Sp3fs — Preposition + Suffix (Third Singular Feminine) | /ל (l): to/for |
| 6 | יַחְדָּֽו\׃ | yach.Dav | together | H3162B | HD — Adverb | יָחְדָּו (yach.dav): together |

## Psalms 122:4

**Original:** שֶׁשָּׁ֨ם עָל֪וּ שְׁבָטִ֡ים שִׁבְטֵי־ יָ֭הּ עֵד֣וּת לְיִשְׂרָאֵ֑ל לְ֝הֹד֗וֹת לְשֵׁ֣ם יְהוָֽה׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | שֶׁ/שָּׁ֨ם | she./Sham | where/ there | H8033G | HTr/D — Relative Particle + Adverb | שָׁם (sham): there |
| 2 | עָל֪וּ | 'a.Lu | they went up | H5927G | HVqp3cp — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Plural Either gender | עָלָה (a.lah): to ascend: rise |
| 3 | שְׁבָטִ֡ים | she.va.Tim | tribes | H7626H | HNcmpa — Noun (Plural Masculine, Absolute) | שֵׁ֫בֶט (she.vet): tribe |
| 4 | שִׁבְטֵי\־ | shiv.tei- | [the] tribes of | H7626H | HNcmpc — Noun (Plural Masculine, Construct) | שֵׁ֫בֶט (she.vet): tribe |
| 5 | יָ֭הּ | yah | Yahweh | H3050 | HNpm — Proper Noun (Masculine individual) | יָהּ (yah): LORD |
| 6 | עֵד֣וּת | 'e.Dut | a testimony | H5715 | HNcfsa — Noun (Singular Feminine, Absolute) | עֵדוּת (e.dut): testimony |
| 7 | לְ/יִשְׂרָאֵ֑ל | le./Yis.ra.'El | to/ Israel | H3478 | HR/Npl — Preposition + Proper Noun (Location) | יִשְׂרָאֵל (yis.ra.el): Israel |
| 8 | לְ֝/הֹד֗וֹת | le./ho.Dot | to/ give thanks | H3034 | HR/Vhcc — Preposition + Verb : Hiphil (Causative/declarative, Active) Infinitive Construct | יָדָה (ya.dah): to give thanks |
| 9 | לְ/שֵׁ֣ם | le./Shem | to/ [the] name of | H8034 | HR/Ncmsc — Preposition + Noun (Singular Masculine, Construct) | שֵׁם (shem): name |
| 10 | יְהוָֽה\׃ | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |

## Psalms 122:5

**Original:** כִּ֤י שָׁ֨מָּה׀ יָשְׁב֣וּ כִסְא֣וֹת לְמִשְׁפָּ֑ט כִּ֝סְא֗וֹת לְבֵ֣ית דָּוִֽיד׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | כִּ֤י | ki | for | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 2 | שָׁ֨מָּ/ה\׀ | Sha.ma/h | there/ <towards> | H8033G | HD/Sd — Adverb + Directional Suffix | שָׁם (sham): there |
| 3 | יָשְׁב֣וּ | ya.she.Vu | they sat | H3427 | HVqp3cp — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Plural Either gender | יָשַׁב (ya.shav): to dwell |
| 4 | כִסְא֣וֹת | khis.'ot | thrones | H3678G | HNcfpa — Noun (Plural Feminine, Absolute) | כִּסֵּא (kis.se): throne |
| 5 | לְ/מִשְׁפָּ֑ט | le./mish.Pat | for/ judgment | H4941G | HR/Ncmsa — Preposition + Noun (Singular Masculine, Absolute) | מִשְׁפָּט (mish.pat): justice: judgement |
| 6 | כִּ֝סְא֗וֹת | kis.'ot | thrones | H3678G | HNcfpa — Noun (Plural Feminine, Absolute) | כִּסֵּא (kis.se): throne |
| 7 | לְ/בֵ֣ית | le./Veit | of/ [the] house of | H1004M | HR/Ncmsc — Preposition + Noun (Singular Masculine, Construct) | בַּ֫יִת (ba.yit): house: household |
| 8 | דָּוִֽיד\׃ | da.Vid | David | H1732 | HNpm — Proper Noun (Masculine individual) | דָּוִד (da.vid): David |

## Psalms 122:6

**Original:** שַׁ֭אֲלוּ שְׁל֣וֹם יְרוּשָׁלִָ֑ם יִ֝שְׁלָ֗יוּ אֹהֲבָֽיִךְ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | שַׁ֭אֲלוּ | Sha.'a.lu | ask for | H7592 | HVqv2mp — Verb : Qal (Simple, Active) Imperative Second Plural Masculine | שָׁאַל (sha.al): to ask |
| 2 | שְׁל֣וֹם | she.Lom | [the] peace of | H7965G | HNcmsc — Noun (Singular Masculine, Construct) | שָׁלוֹם (sha.lom): peace |
| 3 | יְרוּשָׁלִָ֑ם | ye.ru.sha.Lim | Jerusalem | H3389 | HNpl — Proper Noun (Location) | יְרוּשָׁלִַ֫ם, יְרוּשְׁלֵם (ye.ru.sha.laim): Jerusalem |
| 4 | יִ֝שְׁלָ֗יוּ | yish.La.yu | may they be at ease | H7951 | HVqi3mp — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Plural Masculine | שָׁלָה (sha.lah): to prosper |
| 5 | אֹהֲבָֽיִ/ךְ\׃ | 'o.ha.Va.yi/kh | [those who] love/ you | H157G | HVqrmpc/Sp2fs — Verb : Qal (Simple, Active) Participle (Plural Masculine, Construct) + Suffix (Second Singular Feminine) | אָהֵב (a.hav): to love: lover |

## Psalms 122:7

