# STEP Bible — Psalms 126

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Psalms 126:0

**Original:** שִׁ֗יר הַֽמַּ֫עֲל֥וֹת

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | שִׁ֗יר | Shir | [the] song of | H7892A | HNcmsc — Noun (Singular Masculine, Construct) | שִׁיר (shir): song |
| 2 | הַֽ/מַּ֫עֲל֥וֹת | ha./Ma.'a.Lot | the/ ascents | H4609B | HTd/Ncfpa — Definite article (Hebrew) + Noun (Plural Feminine, Absolute) | מַעֲלָה (ma.a.lah): step |

## Psalms 126:1

**Original:** בְּשׁ֣וּב יְ֭הוָה אֶת־ שִׁיבַ֣ת צִיּ֑וֹן הָ֝יִ֗ינוּ כְּחֹלְמִֽים׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 3 | בְּ/שׁ֣וּב | be./Shuv | when/ restored | H7725H | HR/Vqcc — Preposition + Verb : Qal (Simple, Active) Infinitive Construct | שׁוּב (shuv): to return: rescue |
| 4 | יְ֭הוָה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 5 | אֶת\־ | 'et- | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 6 | שִׁיבַ֣ת | shi.Vat | [the] restoration of | H7870 | HNcfsc — Noun (Singular Feminine, Construct) | שִׁיבָה (shi.vah): captivity |
| 7 | צִיּ֑וֹן | tzi.Yon | Zion | H6726 | HNpl — Proper Noun (Location) | צִיּוֹן (tsiy.yon): Zion |
| 8 | הָ֝יִ֗ינוּ | ha.Yi.nu | we were | H1961 | HVqp1cp — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) First Plural Either gender | הָיָה (ha.yah): to be |
| 9 | כְּ/חֹלְמִֽים\׃ | ke./cho.le.Mim | like/ [those who] dream | H2492B | HR/Vqrmpa — Preposition + Verb : Qal (Simple, Active) Participle (Plural Masculine, Absolute) | חָלַם (cha.lam): to dream |

## Psalms 126:2

**Original:** אָ֤ז יִמָּלֵ֪א שְׂח֡וֹק פִּינוּ֮ וּלְשׁוֹנֵ֪נוּ רִ֫נָּ֥ה אָ֭ז יֹאמְר֣וּ בַגּוֹיִ֑ם הִגְדִּ֥יל יְ֝הוָ֗ה לַעֲשׂ֥וֹת עִם־ אֵֽלֶּה׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | אָ֤ז | 'az | then | H227A | HD — Adverb | אָז (az): then |
| 2 | יִמָּלֵ֪א | yi.ma.Le' | it was filled | H4390 | HVNi3ms — Verb : Niphal (Simple, Passive) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | מָלֵא (ma.le): to fill |
| 3 | שְׂח֡וֹק | se.Chok | laughter | H7814 | HNcmsa — Noun (Singular Masculine, Absolute) | שְׂחֹק (se.choq): laughter |
| 4 | פִּי/נוּ֮ | pi./Nu | mouth/ our | H6310G | HNcmsc/Sp1bp — Noun (Singular Masculine, Construct) + Suffix (First Plural Either gender) | פֶּה (peh): lip |
| 5 | וּ/לְשׁוֹנֵ֪/נוּ | u./le.sho.Ne./nu | and/ tongue/ our | H3956G | HC/Ncbsc/Sp1bp — Conjunction + Noun (Singular Either gender, Construct) + Suffix (First Plural Either gender) | לָשׁוֹן (la.shon): tongue |
| 6 | רִ֫נָּ֥ה | ri.Nah | a shout of joy | H7440 | HNcfsa — Noun (Singular Feminine, Absolute) | רִנָּה (rin.nah): cry |
| 7 | אָ֭ז | 'az | then | H227A | HD — Adverb | אָז (az): then |
| 8 | יֹאמְר֣וּ | yo.me.Ru | people said | H559 | HVqi3mp — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Plural Masculine | אָמַר (a.mar): to say |
| 9 | בַ/גּוֹיִ֑ם | va./go.Yim | among the/ nations | H1471A | HRd/Ncmpa — Preposition (Definite) + Noun (Plural Masculine, Absolute) | גּוֹי (goy): nation |
| 10 | הִגְדִּ֥יל | hig.Dil | he has made great | H1431 | HVhp3ms — Verb : Hiphil (Causative/declarative, Active) Perfect (Past/present Indicative) Third Singular Masculine | גָּדַל (ga.dal): to magnify |
| 11 | יְ֝הוָ֗ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 12 | לַ/עֲשׂ֥וֹת | la./'a.Sot | to/ do | H6213A | HR/Vqcc — Preposition + Verb : Qal (Simple, Active) Infinitive Construct | עָשָׂה (a.sah): to make: do |
| 13 | עִם\־ | 'im- | with | H5973A | HR — Preposition | עִם (im): with |
| 14 | אֵֽלֶּה\׃ | 'E.leh | these [people] | H428 | HTm — Demonstrative Particle | אֵ֫לֶּה (el.leh): these |

## Psalms 126:3

**Original:** הִגְדִּ֣יל יְ֭הוָה לַעֲשׂ֥וֹת עִמָּ֗נוּ הָיִ֥ינוּ שְׂמֵחִֽים׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | הִגְדִּ֣יל | hig.Dil | he has made great | H1431 | HVhp3ms — Verb : Hiphil (Causative/declarative, Active) Perfect (Past/present Indicative) Third Singular Masculine | גָּדַל (ga.dal): to magnify |
| 2 | יְ֭הוָה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 3 | לַ/עֲשׂ֥וֹת | la./'a.Sot | to/ do | H6213A | HR/Vqcc — Preposition + Verb : Qal (Simple, Active) Infinitive Construct | עָשָׂה (a.sah): to make: do |
| 4 | עִמָּ֗/נוּ | 'i.Ma./nu | with/ us | H5973A | HR/Sp1bp — Preposition + Suffix (First Plural Either gender) | עִם (im): with |
| 5 | הָיִ֥ינוּ | ha.Yi.nu | we were | H1961 | HVqp1cp — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) First Plural Either gender | הָיָה (ha.yah): to be |
| 6 | שְׂמֵחִֽים\׃ | se.me.Chim | joyful | H8056 | HAampa — Adjective (Plural Masculine, Absolute) | שָׂמֵחַ (sa.me.ach): glad |

## Psalms 126:4

**Original:** שׁוּבָ֣ה יְ֭הוָה אֶת־ שְׁבִיתֵ֑נוּ כַּאֲפִיקִ֥ים בַּנֶּֽגֶב׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | שׁוּבָ֣/ה | shu.Va/h | turn back/ ! | H7725H | HVqv2ms/Sh — Verb : Qal (Simple, Active) Imperative Second Singular Masculine + Paragogic Hé | שׁוּב (shuv): to return: rescue |
| 2 | יְ֭הוָה | Yah.weh | O Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 3 | אֶת\־ | 'et- | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 4 | שְׁבִיתֵ֑/נוּ | she.vu.te./nu | captivity/ our | H7622 | HNcfsc/Sp1bp — Noun (Singular Feminine, Construct) + Suffix (First Plural Either gender) | שְׁבִית (she.vut): captivity |
| 5 | כַּ/אֲפִיקִ֥ים | ka./'a.fi.Kim | like/ stream-beds | H650 | HR/Ncmpa — Preposition + Noun (Plural Masculine, Absolute) | אָפִיק (a.phiq): channel |
| 6 | בַּ/נֶּֽגֶב\׃ | ba./Ne.gev | in the/ Negev | H5045G | HRd/Npl — Preposition (Definite) + Proper Noun (Location) | נֶ֫גֶב (ne.gev): Negeb |

## Psalms 126:5

**Original:** הַזֹּרְעִ֥ים בְּדִמְעָ֗ה בְּרִנָּ֥ה יִקְצֹֽרוּ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | הַ/זֹּרְעִ֥ים | ha./zo.re.'Im | those/ [who] sow | H2232 | HTd/Vqrmpa — Definite article (Hebrew) + Verb : Qal (Simple, Active) Participle (Plural Masculine, Absolute) | זָרַע (za.ra): to sow |
| 2 | בְּ/דִמְעָ֗ה | be./dim.'Ah | with/ tear[s] | H1832 | HR/Ncfsa — Preposition + Noun (Singular Feminine, Absolute) | דִּמְעָה (dim.ah): tears |
| 3 | בְּ/רִנָּ֥ה | be./ri.Nah | with/ a shout of joy | H7440 | HR/Ncfsa — Preposition + Noun (Singular Feminine, Absolute) | רִנָּה (rin.nah): cry |
| 4 | יִקְצֹֽרוּ\׃ | yik.Tzo.ru | they will reap | H7114B | HVqi3mp — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Plural Masculine | קָצַר (qa.tsar): to reap |

## Psalms 126:6

**Original:** הָ֘ל֤וֹךְ יֵלֵ֨ךְ׀ וּבָכֹה֮ נֹשֵׂ֪א מֶֽשֶׁךְ־ הַ֫זָּ֥רַע בֹּֽ֬א־ יָב֥וֹא בְרִנָּ֑ה נֹ֝שֵׂ֗א אֲלֻמֹּתָֽיו׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | הָ֘ל֤וֹךְ | ha.Lokh | certainly <to going> | H1980G | HVqaa — Verb : Qal (Simple, Active) Infinitive Absolute | הָלַךְ (ha.lakh): to go: went |
| 2 | יֵלֵ֨ךְ\׀ | ye.Lekh | he will go | H1980G | HVqi3ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | הָלַךְ (ha.lakh): to go: went |
| 3 | וּ/בָכֹה֮ | u./va.Khoh | and/ weeping | H1058 | HC/Vqaa — Conjunction + Verb : Qal (Simple, Active) Infinitive Absolute | בָּכָה (ba.khah): to weep |
| 4 | נֹשֵׂ֪א | no.Se' | carrying | H5375H | HVqrmsa — Verb : Qal (Simple, Active) Participle (Singular Masculine, Absolute) | נָשָׂא (na.sa): to lift: bear |
| 5 | מֶֽשֶׁךְ\־ | me.shekh- | <the> bag of | H4901 | HNcmsc — Noun (Singular Masculine, Construct) | מֶ֫שֶׁךְ (me.shekh): bag/price |
