# STEP Bible — Psalms 147

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Psalms 147:1

**Original:** הַ֥לְלוּ יָ֨הּ׀ כִּי־ ט֭וֹב זַמְּרָ֣ה אֱלֹהֵ֑ינוּ כִּֽי־ נָ֝עִים נָאוָ֥ה תְהִלָּֽה׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | הַ֥לְלוּ | Ha.lu | praise | H1984B | HVpv2mp — Verb : Piel (Intensive/resultive/transtive, Active) Imperative Second Plural Masculine | הָלַל (ha.lal): to boast: praise |
| 2 | יָ֨הּ\׀ | yah | Yahweh | H3050 | HNpm — Proper Noun (Masculine individual) | יָהּ (yah): LORD |
| 3 | כִּי\־ | ki- | for | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 4 | ט֭וֹב | Tov | [is] good | H2896A | HAamsa — Adjective (Singular Masculine, Absolute) | טוֹב (tov): pleasant |
| 5 | זַמְּרָ֣ה | za.me.Rah | to sing praises to | H2167 | HVpcc — Verb : Piel (Intensive/resultive/transtive, Active) Infinitive Construct | זָמַר (za.mar): to sing |
| 6 | אֱלֹהֵ֑י/נוּ | 'e.lo.Hei./nu | God/ our | H430G | HNcmpc/Sp1bp — Noun (Plural Masculine, Construct) + Suffix (First Plural Either gender) | אֱלֹהִים (e.lo.him): God |
| 7 | כִּֽי\־ | ki- | for | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 8 | נָ֝עִים | Na.'im | [is] pleasant | H5273A | HAamsa — Adjective (Singular Masculine, Absolute) | נָעִים (na.im): pleasant |
| 9 | נָאוָ֥ה | na.Vah | [is] fitting | H5000 | HAafsa — Adjective (Singular Feminine, Absolute) | נָאוֶה (na.eh): lovely |
| 10 | תְהִלָּֽה\׃ | te.hi.Lah | praise | H8416 | HNcfsa — Noun (Singular Feminine, Absolute) | תְּהִלָּה (te.hil.lah): praise |

## Psalms 147:2

**Original:** בּוֹנֵ֣ה יְרוּשָׁלִַ֣ם יְהוָ֑ה נִדְחֵ֖י יִשְׂרָאֵ֣ל יְכַנֵּֽס׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | בּוֹנֵ֣ה | bo.Neh | [is] [the] builder of | H1129 | HVqrmsc — Verb : Qal (Simple, Active) Participle (Singular Masculine, Construct) | בָּנָה (ba.nah): to build |
| 2 | יְרוּשָׁלִַ֣ם | ye.ru.sha.Lim | Jerusalem | H3389 | HNpl — Proper Noun (Location) | יְרוּשָׁלִַ֫ם, יְרוּשְׁלֵם (ye.ru.sha.laim): Jerusalem |
| 3 | יְהוָ֑ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 4 | נִדְחֵ֖י | nid.Chei | [the] banished [ones] of | H5080 | HVNrmpc — Verb : Niphal (Simple, Passive) Participle (Plural Masculine, Construct) | נָדַח (na.dach): to banish |
| 5 | יִשְׂרָאֵ֣ל | Yis.ra.'El | Israel | H3478 | HNpl — Proper Noun (Location) | יִשְׂרָאֵל (yis.ra.el): Israel |
| 6 | יְכַנֵּֽס\׃ | ye.kha.Nes | he gathers | H3664 | HVpi3ms — Verb : Piel (Intensive/resultive/transtive, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | כָּנַס (ka.nas): to gather |

## Psalms 147:3

**Original:** הָ֭רֹפֵא לִשְׁב֣וּרֵי לֵ֑ב וּ֝מְחַבֵּ֗שׁ לְעַצְּבוֹתָֽם׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | הָ֭/רֹפֵא | Ha./ro.fe' | who/ [is] healing | H7495 | HTd/Vqrmsa — Definite article (Hebrew) + Verb : Qal (Simple, Active) Participle (Singular Masculine, Absolute) | רָפָא (ra.pah): to heal |
| 2 | לִ/שְׁב֣וּרֵי | li/sh.Vu.rei | <to>/ [the people] broken of | H7665 | HR/Vqsmpc — Preposition + Verb : Qal (Simple, Passive) Participle passive (Plural Masculine, Construct) | שָׁבַר (sha.var): to break |
| 3 | לֵ֑ב | Lev | heart | H3820A | HNcmsa — Noun (Singular Masculine, Absolute) | לֵב (lev): heart |
| 4 | וּ֝/מְחַבֵּ֗שׁ | u./me.cha.Besh | and/ [he is] binding up | H2280 | HC/Vprmsa — Conjunction + Verb : Piel (Intensive/resultive/transtive, Active) Participle (Singular Masculine, Absolute) | חָבַשׁ (cha.vash): to saddle/tie |
