# STEP Bible — Psalms 150

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Psalms 150:1

**Original:** הַ֥לְלוּ יָ֨הּ׀ הַֽלְלוּ־ אֵ֥ל בְּקָדְשׁ֑וֹ הַֽ֝לְל֗וּהוּ בִּרְקִ֥יעַ עֻזּֽוֹ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | הַ֥לְלוּ | Ha.lu | praise | H1984B | HVpv2mp — Verb : Piel (Intensive/resultive/transtive, Active) Imperative Second Plural Masculine | הָלַל (ha.lal): to boast: praise |
| 2 | יָ֨הּ\׀ | yah | Yahweh | H3050 | HNpm — Proper Noun (Masculine individual) | יָהּ (yah): LORD |
| 3 | הַֽלְלוּ\־ | ha.lu- | praise | H1984B | HVpv2mp — Verb : Piel (Intensive/resultive/transtive, Active) Imperative Second Plural Masculine | הָלַל (ha.lal): to boast: praise |
| 4 | אֵ֥ל | 'el | God | H410G | HNcmsa — Noun (Singular Masculine, Absolute) | אֵל (el): God |
| 5 | בְּ/קָדְשׁ֑/וֹ | be./ka.de.Sh/o | in/ sanctuary/ his | H6944G | HR/Ncmsc/Sp3ms — Preposition + Noun (Singular Masculine, Construct) + Suffix (Third Singular Masculine) | קֹ֫דֶשׁ (qo.desh): holiness |
| 6 | הַֽ֝לְל֗וּ/הוּ | ha.Lu./hu | praise/ him | H1984B | HVpv2mp/Sp3ms — Verb : Piel (Intensive/resultive/transtive, Active) Imperative Second Plural Masculine + Suffix (Third Singular Masculine) | הָלַל (ha.lal): to boast: praise |
| 7 | בִּ/רְקִ֥יעַ | bi/r.Ki.a' | in/ [the] firmament of | H7549 | HR/Ncmsc — Preposition + Noun (Singular Masculine, Construct) | רָקִיעַ (ra.qi.a): expanse |
| 8 | עֻזּֽ/וֹ\׃ | u.Z/o | strength/ his | H5797 | HNcmsc/Sp3ms — Noun (Singular Masculine, Construct) + Suffix (Third Singular Masculine) | עֹז (oz): strength |

## Psalms 150:2

**Original:** הַֽלְל֥וּהוּ בִגְבוּרֹתָ֑יו הַֽ֝לְל֗וּהוּ כְּרֹ֣ב גֻּדְלֽוֹ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | הַֽלְל֥וּ/הוּ | ha.Lu./hu | praise/ him | H1984B | HVpv2mp/Sp3ms — Verb : Piel (Intensive/resultive/transtive, Active) Imperative Second Plural Masculine + Suffix (Third Singular Masculine) | הָלַל (ha.lal): to boast: praise |
| 2 | בִ/גְבוּרֹתָ֑י/ו | vi/g.vu.ro.Ta/v | for/ mighty deeds/ his | H1369 | HR/Ncfpc/Sp3ms — Preposition + Noun (Plural Feminine, Construct) + Suffix (Third Singular Masculine) | גְּבוּרָה (ge.vu.rah): might |
| 3 | הַֽ֝לְל֗וּ/הוּ | ha.Lu./hu | praise/ him | H1984B | HVpv2mp/Sp3ms — Verb : Piel (Intensive/resultive/transtive, Active) Imperative Second Plural Masculine + Suffix (Third Singular Masculine) | הָלַל (ha.lal): to boast: praise |
| 4 | כְּ/רֹ֣ב | ke./Ro | according to/ [the] greatness of | H7230 | HR/Ncmsc — Preposition + Noun (Singular Masculine, Construct) | רֹב (rov): abundance |
| 5 | גֻּדְלֽ/וֹ\׃ | gud.L/o | greatness/ his | H1433 | HNcmsc/Sp3ms — Noun (Singular Masculine, Construct) + Suffix (Third Singular Masculine) | גֹּ֫דֶל (go.del): greatness |

## Psalms 150:3

**Original:** הַֽ֭לְלוּהוּ בְּתֵ֣קַע שׁוֹפָ֑ר הַֽ֝לְל֗וּהוּ בְּנֵ֣בֶל וְכִנּֽוֹר׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | הַֽ֭לְלוּ/הוּ | Ha.lu./hu | praise/ him | H1984B | HVpv2mp/Sp3ms — Verb : Piel (Intensive/resultive/transtive, Active) Imperative Second Plural Masculine + Suffix (Third Singular Masculine) | הָלַל (ha.lal): to boast: praise |
| 2 | בְּ/תֵ֣קַע | be./Te.ka' | with/ a blast of | H8629 | HR/Ncmsc — Preposition + Noun (Singular Masculine, Construct) | תֵּ֫קַע (te.qa): blast |
| 3 | שׁוֹפָ֑ר | sho.Far | a ram's horn | H7782 | HNcmsa — Noun (Singular Masculine, Absolute) | שֹׁפָר (sho.phar): trumpet |
| 4 | הַֽ֝לְל֗וּ/הוּ | ha.Lu./hu | praise/ him | H1984B | HVpv2mp/Sp3ms — Verb : Piel (Intensive/resultive/transtive, Active) Imperative Second Plural Masculine + Suffix (Third Singular Masculine) | הָלַל (ha.lal): to boast: praise |
