# STEP Bible — Psalms 48

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Psalms 48:0

**Original:** שִׁ֥יר מִ֝זְמוֹר לִבְנֵי־ קֹֽרַח׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | שִׁ֥יר | shir | a song | H7892A | HNcmsa — Noun (Singular Masculine, Absolute) | שִׁיר (shir): song |
| 2 | מִ֝זְמוֹר | Miz.mor | a psalm | H4210 | HNcmsa — Noun (Singular Masculine, Absolute) | מִזְמוֹר (miz.mor): melody |
| 3 | לִ/בְנֵי\־ | li/v.nei- | of/ [the] sons of | H1121G | HR/Ncmpc — Preposition + Noun (Plural Masculine, Construct) | בֵּן (ben): son: descendant/people |
| 4 | קֹֽרַח\׃ | Ko.rach | Korah | H7141I | HNpm — Proper Noun (Masculine individual) | קֹ֫רַח (qo.rach): Korah |

## Psalms 48:1

**Original:** גָּ֘ד֤וֹל יְהוָ֣ה וּמְהֻלָּ֣ל מְאֹ֑ד בְּעִ֥יר אֱ֝לֹהֵ֗ינוּ הַר־ קָדְשֽׁוֹ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | גָּ֘ד֤וֹל | ga.Dol | [is] great | H1419A | HAamsa — Adjective (Singular Masculine, Absolute) | גָּדוֹל (ga.dol): great: large |
| 2 | יְהוָ֣ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 3 | וּ/מְהֻלָּ֣ל | u./me.hu.Lal | and/ [is] to be praised | H1984B | HC/VPsmsa — Conjunction + Verb : Pual (Intensive/resultive/transtive, Passive) Participle passive (Singular Masculine, Absolute) | הָלַל (ha.lal): to boast: praise |
| 4 | מְאֹ֑ד | me.'Od | exceedingly | H3966 | HAcmsa — Adjective (Singular Masculine, Absolute) | מְאֹד (me.od): much |
| 5 | בְּ/עִ֥יר | be./'Ir | in/ [the] city of | H5892B | HR/Ncfsc — Preposition + Noun (Singular Feminine, Construct) | עִיר (ir): city |
| 6 | אֱ֝לֹהֵ֗י/נוּ | 'e.lo.Hei./nu | God/ our | H430G | HNcmpc/Sp1bp — Noun (Plural Masculine, Construct) + Suffix (First Plural Either gender) | אֱלֹהִים (e.lo.him): God |
| 7 | הַר\־ | har- | [the] mountain of | H2022G | HNcmsc — Noun (Singular Masculine, Construct) | הַר (har): mountain: mount |
| 8 | קָדְשֽׁ/וֹ\׃ | ka.de.Sh/o | holiness/ his | H6944G | HNcmsc/Sp3ms — Noun (Singular Masculine, Construct) + Suffix (Third Singular Masculine) | קֹ֫דֶשׁ (qo.desh): holiness |

## Psalms 48:2

**Original:** יְפֵ֥ה נוֹף֮ מְשׂ֪וֹשׂ כָּל־ הָ֫אָ֥רֶץ הַר־ צִ֭יּוֹן יַרְכְּתֵ֣י צָפ֑וֹן קִ֝רְיַ֗ת מֶ֣לֶךְ רָֽב׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | יְפֵ֥ה | ye.Peh | [it is] beautiful of | H3303 | HAamsc — Adjective (Singular Masculine, Construct) | יָפֶה (ya.pheh): beautiful |
| 2 | נוֹף֮ | nOf | height | H5131 | HNcmsa — Noun (Singular Masculine, Absolute) | נוֹף (noph): elevation |
| 3 | מְשׂ֪וֹשׂ | me.Sos | [the] joy of | H4885 | HNcmsc — Noun (Singular Masculine, Construct) | מָשׂוֹשׂ (ma.s.vo.s): rejoicing |
| 4 | כָּל\־ | kol- | all | H3605 | HNcmsc — Noun (Singular Masculine, Construct) | כֹּל (kol): all |
| 5 | הָ֫/אָ֥רֶץ | ha./'A.retz | the/ earth | H776G | HTd/Ncfsa — Definite article (Hebrew) + Noun (Singular Feminine, Absolute) | אֶ֫רֶץ (e.rets): land: country/planet |
| 6 | הַר\־ | har- | [the] mountain of | H2022G | HNcmsc — Noun (Singular Masculine, Construct) | הַר (har): mountain: mount |
| 7 | צִ֭יּוֹן | Tzi.yon | Zion | H6726 | HNpl — Proper Noun (Location) | צִיּוֹן (tsiy.yon): Zion |
| 8 | יַרְכְּתֵ֣י | yar.ke.Tei | [the] remotest parts of | H3411 | HNcfdc — Noun (Dual Feminine, Construct) | יַרְכָה (ye.re.khah): flank |
| 9 | צָפ֑וֹן | tza.Fon | Zaphon | H6828H | HNcfsa — Noun (Singular Feminine, Absolute) | צָפוֹן (tsa.phon): Zaphon |
