# STEP Bible — Psalms 49

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Psalms 49:0

**Original:** לַמְנַצֵּ֬חַ׀ לִבְנֵי־ קֹ֬רַח מִזְמֽוֹר׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | לַ/מְנַצֵּ֬חַ\׀ | la/m.na.Tze.ach | to the/ choirmaster | H5329 | HRd/Vprmsa — Preposition (Definite) + Verb : Piel (Intensive/resultive/transtive, Active) Participle (Singular Masculine, Absolute) | נָצַח (na.tsach): to conduct |
| 2 | לִ/בְנֵי\־ | li/v.nei- | of/ [the] sons of | H1121G | HR/Ncmpc — Preposition + Noun (Plural Masculine, Construct) | בֵּן (ben): son: descendant/people |
| 3 | קֹ֬רַח | Ko.rach | Korah | H7141I | HNpm — Proper Noun (Masculine individual) | קֹ֫רַח (qo.rach): Korah |
| 4 | מִזְמֽוֹר\׃ | miz.Mor | a psalm | H4210 | HNcmsa — Noun (Singular Masculine, Absolute) | מִזְמוֹר (miz.mor): melody |

## Psalms 49:1

**Original:** שִׁמְעוּ־ זֹ֭את כָּל־ הָֽעַמִּ֑ים הַ֝אֲזִ֗ינוּ כָּל־ יֹ֥שְׁבֵי חָֽלֶד׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | שִׁמְעוּ\־ | shim.'u- | hear | H8085G | HVqv2mp — Verb : Qal (Simple, Active) Imperative Second Plural Masculine | שָׁמַע (sha.ma): to hear: hear |
| 2 | זֹ֭את | zot | this | H2063 | HTm — Demonstrative Particle | זֹאת (zot): this |
| 3 | כָּל\־ | kol- | O all | H3605 | HNcmsc — Noun (Singular Masculine, Construct) | כֹּל (kol): all |
| 4 | הָֽ/עַמִּ֑ים | ha./'a.Mim | the/ peoples | H5971A | HTd/Ncmpa — Definite article (Hebrew) + Noun (Plural Masculine, Absolute) | עַם (am): people |
| 5 | הַ֝אֲזִ֗ינוּ | ha.'a.Zi.nu | give ear | H238 | HVhv2mp — Verb : Hiphil (Causative/declarative, Active) Imperative Second Plural Masculine | אָזַן (a.zan): to listen |
| 6 | כָּל\־ | kol- | O all | H3605 | HNcmsc — Noun (Singular Masculine, Construct) | כֹּל (kol): all |
| 7 | יֹ֥שְׁבֵי | Yo.she.vei | [the] inhabitants of | H3427 | HVqrmpc — Verb : Qal (Simple, Active) Participle (Plural Masculine, Construct) | יָשַׁב (ya.shav): to dwell |
| 8 | חָֽלֶד\׃ | Cha.led | [the] world | H2465 | HNcmsa — Noun (Singular Masculine, Absolute) | חֶ֫לֶד (che.led): lifetime/world |

## Psalms 49:2

**Original:** גַּם־ בְּנֵ֣י אָ֭דָם גַּם־ בְּנֵי־ אִ֑ישׁ יַ֝֗חַד עָשִׁ֥יר וְאֶבְיֽוֹן׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | גַּם\־ | gam- | both | H1571 | HD — Adverb | גַּם (gam): also |
| 2 | בְּנֵ֣י | be.Nei | [the] children of | H1121G | HNcmpc — Noun (Plural Masculine, Construct) | בֵּן (ben): son: descendant/people |
| 3 | אָ֭דָם | 'A.dom | humankind | H120G | HNcmsa — Noun (Singular Masculine, Absolute) | אָדָם (a.dam): man |
| 4 | גַּם\־ | gam- | as well as | H1571 | HD — Adverb | גַּם (gam): also |
| 5 | בְּנֵי\־ | be.nei- | [the] children of | H1121G | HNcmpc — Noun (Plural Masculine, Construct) | בֵּן (ben): son: descendant/people |
| 6 | אִ֑ישׁ | 'Ish | man | H376G | HNcmsa — Noun (Singular Masculine, Absolute) | אִישׁ (ish): man |
| 7 | יַ֝֗חַד | Ya.chad | alike | H3162A | HNcmsa — Noun (Singular Masculine, Absolute) | יַ֫חַד (ya.chad): unitedness |
| 8 | עָשִׁ֥יר | 'a.Shir | [the] rich | H6223 | HAamsa — Adjective (Singular Masculine, Absolute) | עָשִׁיר (a.shir): rich |
| 9 | וְ/אֶבְיֽוֹן\׃ | ve./'ev.Yon | and/ [the] needy | H34 | HC/Aamsa — Conjunction + Aamsa | אֶבְיוֹן (ev.yon): needy |

## Psalms 49:3

**Original:** פִּ֭י יְדַבֵּ֣ר חָכְמ֑וֹת וְהָג֖וּת לִבִּ֣י תְבוּנֽוֹת׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | פִּ֭/י | p/i | mouth/ my | H6310G | HNcmsc/Sp1bs — Noun (Singular Masculine, Construct) + Suffix (First Singular Either gender) | פֶּה (peh): lip |
| 2 | יְדַבֵּ֣ר | ye.da.Ber | it will speak | H1696G | HVpi3ms — Verb : Piel (Intensive/resultive/transtive, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | דָבַר (da.var): to speak: speak |
| 3 | חָכְמ֑וֹת | cha.khe.Mot | wisdom<s> | H2451 | HNcfpa — Noun (Plural Feminine, Absolute) | חׇכְמָה (chokh.mah): wisdom |
| 4 | וְ/הָג֖וּת | ve./ha.Gut | and/ [the] meditation of | H1900 | HC/Ncfsc — Conjunction + Noun (Singular Feminine, Construct) | הָגוּת (ha.gut): meditation |
