# STEP Bible — Psalms 57

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Psalms 57:0

**Original:** לַמְנַצֵּ֣חַ אַל־ תַּ֭שְׁחֵת לְדָוִ֣ד מִכְתָּ֑ם בְּבָרְח֥וֹ מִפְּנֵי־ שָׁ֝א֗וּל בַּמְּעָרָֽה׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | לַ/מְנַצֵּ֣חַ | la/m.na.Tze.ach | to the/ choirmaster | H5329 | HRd/Vprmsa — Preposition (Definite) + Verb : Piel (Intensive/resultive/transtive, Active) Participle (Singular Masculine, Absolute) | נָצַח (na.tsach): to conduct |
| 2 | אַל\־ | 'al- | al- | H516 | HTn — Negative Particle | אַל תַּשְׁחֵת (al tash.chet): Do Not Destroy |
| 3 | תַּ֭שְׁחֵת | Tash.chet | tashcheth | H516 | HVhj2ms — Verb : Hiphil (Causative/declarative, Active) Imperfect (Future/present Jussive) Second Singular Masculine | אַל תַּשְׁחֵת (al tash.chet): Do Not Destroy |
| 4 | לְ/דָוִ֣ד | le./da.Vid | of/ David | H1732 | HR/Npm — Preposition + Proper Noun (Masculine individual) | דָּוִד (da.vid): David |
| 5 | מִכְתָּ֑ם | mikh.Tam | a miktam | H4387 | HNtmsa — Noun (Title, Singular Masculine, Absolute) | מִכְתָּם (mikh.tam): Miktam |
| 6 | בְּ/בָרְח֥/וֹ | be./va.re.Ch/o | when/ fled/ he | H1272 | HR/Vqcc/Sp3ms — Preposition + Verb : Qal (Simple, Active) Infinitive Construct + Suffix (Third Singular Masculine) | בָּרַח (ba.rach): to flee |
| 7 | מִ/פְּנֵי\־ | mi./pe.nei.Sha- | from/ before | H6440G | HR/Ncmpc — Preposition + Noun (Plural Masculine, Construct) | פָּנֶה (pa.neh): face: before |
| 8 | שָׁ֝א֗וּל | Sha.'Ul | Saul | H7586G | HNpm — Proper Noun (Masculine individual) | שָׁאוּל (sha.ul): Saul |
| 9 | בַּ/מְּעָרָֽה\׃ | ba./me.'a.Rah | in the/ cave | H4631 | HRd/Ncfsa — Preposition (Definite) + Noun (Singular Feminine, Absolute) | מְעָרָה (me.a.rah): cave |

## Psalms 57:1

**Original:** חָנֵּ֤נִי אֱלֹהִ֨ים׀ חָנֵּ֗נִי כִּ֥י בְךָ֮ חָסָ֪יָה נַ֫פְשִׁ֥י וּבְצֵֽל־ כְּנָפֶ֥יךָ אֶחְסֶ֑ה עַ֝֗ד יַעֲבֹ֥ר הַוּֽוֹת׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | חָנֵּ֤/נִי | cho.ne./ni | show favor to/ me | H2603A | HVqv2ms/Sp1bs — Verb : Qal (Simple, Active) Imperative Second Singular Masculine + Suffix (First Singular Either gender) | חָנַן (cha.nan): be gracious |
| 2 | אֱלֹהִ֨ים\׀ | 'E.lo.Him | O God | H430G | HNcmpa — Noun (Plural Masculine, Absolute) | אֱלֹהִים (e.lo.him): God |
| 3 | חָנֵּ֗/נִי | cho.ne./ni | show favor to/ me | H2603A | HVqv2ms/Sp1bs — Verb : Qal (Simple, Active) Imperative Second Singular Masculine + Suffix (First Singular Either gender) | חָנַן (cha.nan): be gracious |
| 4 | כִּ֥י | ki | for | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 5 | בְ/ךָ֮ | ve./Kha | in/ you | H9003 | HR/Sp2ms — Preposition + Suffix (Second Singular Masculine) | /ב (b): in/on/with |
| 6 | חָסָ֪יָה | cha.Sa.yah | it takes refuge | H2620 | HVqp3fs — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Feminine | חָסָה (cha.sah): to seek refuge |
| 7 | נַ֫פְשִׁ֥/י | naf.Sh/i | self/ my | H5315G | HNcfsc/Sp1bs — Noun (Singular Feminine, Construct) + Suffix (First Singular Either gender) | נֶ֫פֶשׁ (ne.phesh): soul |
| 8 | וּ/בְ/צֵֽל\־ | u./ve./tzel- | and/ in/ [the] shadow of | H6738 | HC/R/Ncmsc — Conjunction + Preposition + Noun (Singular Masculine, Construct) | צֵל (tsel): shadow |
| 9 | כְּנָפֶ֥י/ךָ | ke.na.Fei./kha | wings/ your | H3671 | HNcfdc/Sp2ms — Noun (Dual Feminine, Construct) + Suffix (Second Singular Masculine) | כָּנָף (ka.naph): wing |
| 10 | אֶחְסֶ֑ה | 'ech.Seh | I take refuge | H2620 | HVqi1cs — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/cohortative) First Singular Either gender | חָסָה (cha.sah): to seek refuge |
| 11 | עַ֝֗ד | 'Ad | until | H5704 | HR — Preposition | עַד (ad): till |
| 12 | יַעֲבֹ֥ר | ya.'a.Vor | it will pass by | H5674A | HVqi3ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | עָבַר (a.var): to pass |
| 13 | הַוּֽוֹת\׃ | ha.Vot | destruction<s> | H1942 | HNcfpa — Noun (Plural Feminine, Absolute) | הַוָּה (hav.vah): desire |

## Psalms 57:2

**Original:** אֶ֭קְרָא לֵֽאלֹהִ֣ים עֶלְי֑וֹן לָ֝אֵ֗ל גֹּמֵ֥ר עָלָֽי׃

