# STEP Bible — Psalms 60

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Psalms 60:0

**Original:** לַ֭מְנַצֵּחַ עַל־ שׁוּשַׁ֣ן עֵד֑וּת מִכְתָּ֖ם לְדָוִ֣ד לְלַמֵּֽד׃ בְּהַצּוֹת֨וֹ׀ אֶ֥ת אֲרַ֣ם נַהֲרַיִם֮ וְאֶת־ אֲרַ֪ם צ֫וֹבָ֥ה וַיָּ֤שָׁב יוֹאָ֗ב וַיַּ֣ךְ אֶת־ אֱד֣וֹם בְּגֵיא־ מֶ֑לַח שְׁנֵ֖ים עָשָׂ֣ר אָֽלֶף׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | לַ֭/מְנַצֵּחַ | La/m.na.tze.ach | to the/ choirmaster | H5329 | HRd/Vprmsa — Preposition (Definite) + Verb : Piel (Intensive/resultive/transtive, Active) Participle (Singular Masculine, Absolute) | נָצַח (na.tsach): to conduct |
| 2 | עַל\־ | 'al- | on | H5921A | HR — Preposition | עַל (al): upon |
| 3 | שׁוּשַׁ֣ן | shu.Shan | shushan- | H7799 | HNtmsc — Noun (Title, Singular Masculine, Construct) | שׁוּשַׁן (shu.shan): lily |
| 4 | עֵד֑וּת | 'e.Dut | eduth | H5715 | HNcfsa — Noun (Singular Feminine, Absolute) | עֵדוּת (e.dut): testimony |
| 5 | מִכְתָּ֖ם | mikh.Tam | a miktam | H4387 | HNtmsa — Noun (Title, Singular Masculine, Absolute) | מִכְתָּם (mikh.tam): Miktam |
| 6 | לְ/דָוִ֣ד | le./da.Vid | of/ David | H1732 | HR/Npm — Preposition + Proper Noun (Masculine individual) | דָּוִד (da.vid): David |
| 7 | לְ/לַמֵּֽד\׃ | le./la.Med | to/ teach | H3925G | HR/Vpcc — Preposition + Verb : Piel (Intensive/resultive/transtive, Active) Infinitive Construct | לָמַד (la.mad): to learn: teach |
| 8 | בְּ/הַצּוֹת֨/וֹ\׀ | be./ha.tzo.T/o | when/ struggled with/ he | H5327A | HR/Vhcc/Sp3ms — Preposition + Verb : Hiphil (Causative/declarative, Active) Infinitive Construct + Suffix (Third Singular Masculine) | נָצָה (na.tsah): to struggle |
| 9 | אֶ֥ת | 'et | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 10 | אֲרַ֣ם | 'a.Ram | Aram | H763H | HNpl — Proper Noun (Location) | אֲרַם נַהֲרַיִם (a.ram na.ha.ra.yim): Aram-naharaim |
| 11 | נַהֲרַיִם֮ | na.ha.ra.Yim | Naharaim | H763H | HNpl — Proper Noun (Location) | אֲרַם נַהֲרַיִם (a.ram na.ha.ra.yim): Aram-naharaim |
| 12 | וְ/אֶת\־ | ve./'Et | and/ <obj.> | H853 | HC/To — Conjunction + Object indicator | אֵת (et): [Obj.] |
| 13 | אֲרַ֪ם | 'a.Ram | Aram | H760 | HNpl — Proper Noun (Location) | אֲרַם צוֹבָה (a.ram tso.vah): Aram-zobah |
| 14 | צ֫וֹבָ֥ה | tzo.Vah | Zobah | H760 | HNpl — Proper Noun (Location) | אֲרַם צוֹבָה (a.ram tso.vah): Aram-zobah |
| 15 | וַ/יָּ֤שָׁב | va/i.Ya.shov | and/ he turned back | H7725G | Hc/Vqw3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Singular Masculine | שׁוּב (shuv): to return: return |
| 16 | יוֹאָ֗ב | yo.'Av | Joab | H3097G | HNpm — Proper Noun (Masculine individual) | יוֹאָב (yo.av): Joab |
| 17 | וַ/יַּ֣ךְ | va/i.Yakh | and/ he struck | H5221 | Hc/Vhw3ms — Consecutive Conjunction + Verb : Hiphil (Causative/declarative, Active) Consecutive Imperfect (Past/present Indicative) Third Singular Masculine | נָכָה (na.khah): to smite |
| 18 | אֶת\־ | 'et- | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 19 | אֱד֣וֹם | 'e.Dom | Edom | H123G | HNpm — Proper Noun (Masculine individual) | אֱדוֹם (e.dom): Edom |
| 20 | בְּ/גֵיא\־ | be./gei'- | in/ [the] Valley of | H1516J | HR/Npl — Preposition + Proper Noun (Location) | גַּיְא (gay): (Salt) Valley |
| 21 | מֶ֑לַח | Me.lach | Salt | H4417H | HNpl — Proper Noun (Location) | מֶ֫לַח (me.lach): (Valley of) Salt |
| 22 | שְׁנֵ֖ים | she.Neim | two [plus] | H8147 | HNcbda — Noun (Dual Either gender, Absolute) | שְׁנַ֫יִם (she.na.yim): two |
| 23 | עָשָׂ֣ר | 'a.Sar | ten | H6240 | HNcbsa — Noun (Singular Either gender, Absolute) | עָשָׂר (a.sar): ten |
| 24 | אָֽלֶף\׃ | 'A.lef | thousand | H505G | HNcbsa — Noun (Singular Either gender, Absolute) | אֶ֫לֶף (e.leph): thousand |

## Psalms 60:1

**Original:** אֱ֭לֹהִים זְנַחְתָּ֣נוּ פְרַצְתָּ֑נוּ אָ֝נַ֗פְתָּ תְּשׁ֣וֹבֵ֥ב לָֽנוּ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
