# STEP Bible — Psalms 89

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Psalms 89:0

**Original:** מַ֝שְׂכִּ֗יל לְאֵיתָ֥ן הָֽאֶזְרָחִֽי׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | מַ֝שְׂכִּ֗יל | mas.Kil | a poem | H4905 | HNtmsa — Noun (Title, Singular Masculine, Absolute) | מַשְׂכִּיל (mas.kil): Maskil |
| 2 | לְ/אֵיתָ֥ן | le./'ei.Tan | of/ Ethan | H387G | HR/Npm — Preposition + Proper Noun (Masculine individual) | אֵיתָן (e.tan): Ethan |
| 3 | הָֽ/אֶזְרָחִֽי\׃ | Ha./'ez.ra.Chi | the/ Ezrachite | H250 | HTd/Ngmsa — Definite article (Hebrew) + Noun (Gentilic, Singular Masculine, Absolute) | אֶזְרָחִי (ez.ra.chi): Ezrahite |

## Psalms 89:1

**Original:** חַֽסְדֵ֣י יְ֭הוָה עוֹלָ֣ם אָשִׁ֑ירָה לְדֹ֥ר וָדֹ֓ר׀ אוֹדִ֖יעַ אֱמוּנָתְךָ֣ בְּפִֽי׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | חַֽסְדֵ֣י | chas.Dei | [the] covenant loyalti<es> of | H2617A | HNcmpc — Noun (Plural Masculine, Construct) | חֶ֫סֶד (che.sed): kindness |
| 2 | יְ֭הוָה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 3 | עוֹלָ֣ם | o.Lam | forever | H5769G | HNcmsa — Noun (Singular Masculine, Absolute) | עוֹלָם (o.lam): forever: enduring |
