# STEP Bible — Song of Songs 2

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Song of Songs 2:1

**Original:** אֲנִי֙ חֲבַצֶּ֣לֶת הַשָּׁר֔וֹן שֽׁוֹשַׁנַּ֖ת הָעֲמָקִֽים׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | אֲנִי֙ | 'a.Ni | I | H589 | HPp1bs — Pronoun (First Singular Either gender) | אֲנִי (a.ni): I |
| 2 | חֲבַצֶּ֣לֶת | cha.va.Tze.let | [am] [the] crocus of | H2261 | HNcfsc — Noun (Singular Feminine, Construct) | חֲבַצֶּלֶת (cha.vats.tse.let): crocus |
| 3 | הַ/שָּׁר֔וֹן | ha./sha.Ron | <the>/ Sharon | H8289I | HTd/Npl — Definite article (Hebrew) + Proper Noun (Location) | שָׁרוֹן (sha.ron): Sharon |
| 4 | שֽׁוֹשַׁנַּ֖ת | sho.sha.Nat | <the> lily of | H7799 | HNcfsc — Noun (Singular Feminine, Construct) | שׁוּשַׁן (shu.shan): lily |
| 5 | הָ/עֲמָקִֽים\׃ | ha./'a.ma.Kim | the/ valleys | H6010R | HTd/Ncmpa — Definite article (Hebrew) + Noun (Plural Masculine, Absolute) | עֵ֫מֶק (e.meq): valley |

## Song of Songs 2:2

**Original:** כְּשֽׁוֹשַׁנָּה֙ בֵּ֣ין הַחוֹחִ֔ים כֵּ֥ן רַעְיָתִ֖י בֵּ֥ין הַבָּנֽוֹת׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | כְּ/שֽׁוֹשַׁנָּה֙ | ke./sho.sha.Nah | like/ a lily | H7799 | HR/Ncfsa — Preposition + Noun (Singular Feminine, Absolute) | שׁוּשַׁן (shu.shan): lily |
| 2 | בֵּ֣ין | bein | between | H996H | HAcmsc — Adjective (Singular Masculine, Construct) | בַּ֫יִן (ba.yin): between: among |
