# STEP Bible — Song of Songs 3

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Song of Songs 3:1

**Original:** עַל־ מִשְׁכָּבִי֙ בַּלֵּיל֔וֹת בִּקַּ֕שְׁתִּי אֵ֥ת שֶׁאָהֲבָ֖ה נַפְשִׁ֑י בִּקַּשְׁתִּ֖יו וְלֹ֥א מְצָאתִֽיו׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | עַל\־ | 'al- | on | H5921A | HR — Preposition | עַל (al): upon |
| 2 | מִשְׁכָּבִ/י֙ | mish.ka.V/i | bed/ my | H4904 | HNcmsc/Sp1bs — Noun (Singular Masculine, Construct) + Suffix (First Singular Either gender) | מִשְׁכָּב (mish.kav): bed |
| 3 | בַּ/לֵּיל֔וֹת | ba./lei.Lot | in the/ nights | H3915 | HRd/Ncfpa — Preposition (Definite) + Noun (Plural Feminine, Absolute) | לַ֫יְלָה (lay.lah): night |
| 4 | בִּקַּ֕שְׁתִּי | bi.Kash.ti | I sought | H1245 | HVpp1cs — Verb : Piel (Intensive/resultive/transtive, Active) Perfect (Past/present Indicative) First Singular Either gender | בָּקַשׁ (ba.qash): to seek |
| 5 | אֵ֥ת | 'et | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 6 | שֶׁ/אָהֲבָ֖ה | she./'a.ha.Vah | whom/ it loves | H157G | HTr/Vqp3fs — Relative Particle + Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Feminine | אָהֵב (a.hav): to love: lover |
| 7 | נַפְשִׁ֑/י | naf.Sh/i | self/ my | H5315G | HNcfsc/Sp1bs — Noun (Singular Feminine, Construct) + Suffix (First Singular Either gender) | נֶ֫פֶשׁ (ne.phesh): soul |
| 8 | בִּקַּשְׁתִּ֖י/ו | bi.kash.Ti/v | I sought/ him | H1245 | HVpp1cs/Sp3ms — Verb : Piel (Intensive/resultive/transtive, Active) Perfect (Past/present Indicative) First Singular Either gender + Suffix (Third Singular Masculine) | בָּקַשׁ (ba.qash): to seek |
| 9 | וְ/לֹ֥א | ve./Lo' | and/ not | H3808 | HC/Tn — Conjunction + Negative Particle | לֹא (lo): not |
| 10 | מְצָאתִֽי/ו\׃ | me.tza.Ti/v | I found/ him | H4672 | HVqp1cs/Sp3ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) First Singular Either gender + Suffix (Third Singular Masculine) | מָצָא (ma.tsa): to find |

## Song of Songs 3:2

**Original:** אָק֨וּמָה נָּ֜א וַאֲסוֹבְבָ֣ה בָעִ֗יר בַּשְּׁוָקִים֙ וּבָ֣רְחֹב֔וֹת אֲבַקְשָׁ֕ה אֵ֥ת שֶׁאָהֲבָ֖ה נַפְשִׁ֑י בִּקַּשְׁתִּ֖יו וְלֹ֥א מְצָאתִֽיו׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | אָק֨וּמָה | 'a.Ku.mah | I will arise | H6965B | HVqc1cs — Verb : Qal (Simple, Active) Imperfect (Future/present Cohortative) First Singular Either gender | קוּם (qum): to arise: rise |
| 2 | נָּ֜א | na' | please | H4994 | HTj — Interjection | נָא (na): please |
| 3 | וַ/אֲסוֹבְבָ֣ה | va./'a.so.Vah | and/ I will go around | H5437H | HC/Vpc1cs — Conjunction + Verb : Piel (Intensive/resultive/transtive, Active) Imperfect (Future/present Cohortative) First Singular Either gender | סָבַב (sa.vav): to turn: surround |
| 4 | בָ/עִ֗יר | va./'Ir | in the/ city | H5892B | HRd/Ncfsa — Preposition (Definite) + Noun (Singular Feminine, Absolute) | עִיר (ir): city |
| 5 | בַּ/שְּׁוָקִים֙ | ba./she.va.Kim | in the/ streets | H7784 | HRd/Ncmpa — Preposition (Definite) + Noun (Plural Masculine, Absolute) | שׁוּק (shuq): street |
| 6 | וּ/בָ֣/רְחֹב֔וֹת | u./Va./re.cho.Vot | and/ in the/ open places | H7339 | HC/Rd/Ncfpa — Conjunction + Preposition (Definite) + Noun (Plural Feminine, Absolute) | רְחוֹב (re.chov): street/plaza |
| 7 | אֲבַקְשָׁ֕ה | 'a.vak.Shah | I will seek | H1245 | HVpc1cs — Verb : Piel (Intensive/resultive/transtive, Active) Imperfect (Future/present Cohortative) First Singular Either gender | בָּקַשׁ (ba.qash): to seek |
| 8 | אֵ֥ת | 'et | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 9 | שֶׁ/אָהֲבָ֖ה | she./'a.ha.Vah | whom/ it loves | H157G | HTr/Vqp3fs — Relative Particle + Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Feminine | אָהֵב (a.hav): to love: lover |
| 10 | נַפְשִׁ֑/י | naf.Sh/i | self/ my | H5315G | HNcfsc/Sp1bs — Noun (Singular Feminine, Construct) + Suffix (First Singular Either gender) | נֶ֫פֶשׁ (ne.phesh): soul |
| 11 | בִּקַּשְׁתִּ֖י/ו | bi.kash.Ti/v | I sought/ him | H1245 | HVpp1cs/Sp3ms — Verb : Piel (Intensive/resultive/transtive, Active) Perfect (Past/present Indicative) First Singular Either gender + Suffix (Third Singular Masculine) | בָּקַשׁ (ba.qash): to seek |
| 12 | וְ/לֹ֥א | ve./Lo' | and/ not | H3808 | HC/Tn — Conjunction + Negative Particle | לֹא (lo): not |
| 13 | מְצָאתִֽי/ו\׃ | me.tza.Ti/v | I found/ him | H4672 | HVqp1cs/Sp3ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) First Singular Either gender + Suffix (Third Singular Masculine) | מָצָא (ma.tsa): to find |

## Song of Songs 3:3

**Original:** מְצָא֙וּנִי֙ הַשֹּׁ֣מְרִ֔ים הַסֹּבְבִ֖ים בָּעִ֑יר אֵ֛ת שֶׁאָהֲבָ֥ה נַפְשִׁ֖י רְאִיתֶֽם׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | מְצָא֙וּ/נִי֙ | me.tza.'U./ni | they found/ me | H4672 | HVqp3cp/Sp1bs — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Plural Either gender + Suffix (First Singular Either gender) | מָצָא (ma.tsa): to find |
| 2 | הַ/שֹּׁ֣מְרִ֔ים | ha./Sho.me.Rim | the/ watchmen | H8104H | HTd/Vqrmpa — Definite article (Hebrew) + Verb : Qal (Simple, Active) Participle (Plural Masculine, Absolute) | שָׁמַר (sha.mar): to keep: guard |
| 3 | הַ/סֹּבְבִ֖ים | ha./soe.Vim | who/ go around | H5437H | HTd/Vqrmpa — Definite article (Hebrew) + Verb : Qal (Simple, Active) Participle (Plural Masculine, Absolute) | סָבַב (sa.vav): to turn: surround |
| 4 | בָּ/עִ֑יר | ba./'Ir | in the/ city | H5892B | HRd/Ncfsa — Preposition (Definite) + Noun (Singular Feminine, Absolute) | עִיר (ir): city |
| 5 | אֵ֛ת | 'et | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 6 | שֶׁ/אָהֲבָ֥ה | she./'a.ha.Vah | whom/ it loves | H157G | HTr/Vqp3fs — Relative Particle + Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Feminine | אָהֵב (a.hav): to love: lover |
| 7 | נַפְשִׁ֖/י | naf.Sh/i | self/ my | H5315G | HNcfsc/Sp1bs — Noun (Singular Feminine, Construct) + Suffix (First Singular Either gender) | נֶ֫פֶשׁ (ne.phesh): soul |
| 8 | רְאִיתֶֽם\׃ | re.'i.Tem | have you seen? | H7200G | HVqp2mp — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Second Plural Masculine | רָאָה (ra.ah): to see: see |

## Song of Songs 3:4

**Original:** כִּמְעַט֙ שֶׁעָבַ֣רְתִּי מֵהֶ֔ם עַ֣ד שֶֽׁמָּצָ֔אתִי אֵ֥ת שֶׁאָהֲבָ֖ה נַפְשִׁ֑י אֲחַזְתִּיו֙ וְלֹ֣א אַרְפֶּ֔נּוּ עַד־ שֶׁ֤הֲבֵיאתִיו֙ אֶל־ בֵּ֣ית אִמִּ֔י וְאֶל־ חֶ֖דֶר הוֹרָתִֽי׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | כִּ/מְעַט֙ | ki/m.'At | like/ a little | H4592 | HR/Ncmsa — Preposition + Noun (Singular Masculine, Absolute) | מְעַט (me.at): little |
| 2 | שֶׁ/עָבַ֣רְתִּי | she./'a.Var.ti | that/ I had passed away | H5674A | HTr/Vqp1cs — Relative Particle + Verb : Qal (Simple, Active) Perfect (Past/present Indicative) First Singular Either gender | עָבַר (a.var): to pass |
| 3 | מֵ/הֶ֔ם | me./Hem | from/ them | H9006 | HR/Sp3mp — Preposition + Suffix (Third Plural Masculine) | /מ (m): from |
| 4 | עַ֣ד | 'ad | until | H5704 | HR — Preposition | עַד (ad): till |
| 5 | שֶֽׁ/מָּצָ֔אתִי | she./ma.Tza.ti | that/ I found | H4672 | HTr/Vqp1cs — Relative Particle + Verb : Qal (Simple, Active) Perfect (Past/present Indicative) First Singular Either gender | מָצָא (ma.tsa): to find |
| 6 | אֵ֥ת | 'et | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 7 | שֶׁ/אָהֲבָ֖ה | she./'a.ha.Vah | whom/ it loves | H157G | HTr/Vqp3fs — Relative Particle + Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Feminine | אָהֵב (a.hav): to love: lover |
| 8 | נַפְשִׁ֑/י | naf.Sh/i | self/ my | H5315G | HNcfsc/Sp1bs — Noun (Singular Feminine, Construct) + Suffix (First Singular Either gender) | נֶ֫פֶשׁ (ne.phesh): soul |
| 9 | אֲחַזְתִּי/ו֙ | 'a.chaz.Ti/v | I grasped/ him | H270 | HVqp1cs/Sp3ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) First Singular Either gender + Suffix (Third Singular Masculine) | אָחַז (a.chaz): to grasp |
| 10 | וְ/לֹ֣א | ve./Lo' | and/ not | H3808 | HC/Tn — Conjunction + Negative Particle | לֹא (lo): not |
