# STEP Bible — Song of Songs 6

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Song of Songs 6:1

**Original:** אָ֚נָה הָלַ֣ךְ דּוֹדֵ֔ךְ הַיָּפָ֖ה בַּנָּשִׁ֑ים אָ֚נָה פָּנָ֣ה דוֹדֵ֔ךְ וּנְבַקְשֶׁ֖נּוּ עִמָּֽךְ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | אָ֚נָה | 'A.nah | where? | H575 | HTi — Interrogative Particle | אָן (an): where? |
| 2 | הָלַ֣ךְ | ha.Lakh | has he gone | H1980G | HVqp3ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine | הָלַךְ (ha.lakh): to go: went |
| 3 | דּוֹדֵ֔/ךְ | do.De/kh | lover/ your | H1730G | HNcmsc/Sp2fs — Noun (Singular Masculine, Construct) + Suffix (Second Singular Feminine) | דּוֹד (dod): beloved |
| 4 | הַ/יָּפָ֖ה | hai./ya.Fah | O/ beautiful [one] | H3303 | HTd/Aafsa — Definite article (Hebrew) + Aafsa | יָפֶה (ya.pheh): beautiful |
| 5 | בַּ/נָּשִׁ֑ים | ba./na.Shim | among <the>/ women | H802G | HRd/Ncmpa — Preposition (Definite) + Noun (Plural Masculine, Absolute) | אִשָּׁה (ish.shah): woman |
| 6 | אָ֚נָה | 'A.nah | where? | H575 | HTi — Interrogative Particle | אָן (an): where? |
| 7 | פָּנָ֣ה | pa.Nah | has he turned | H6437G | HVqp3ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine | פָּנָה (pa.nah): to turn |
| 8 | דוֹדֵ֔/ךְ | do.De/kh | lover/ your | H1730G | HNcmsc/Sp2fs — Noun (Singular Masculine, Construct) + Suffix (Second Singular Feminine) | דּוֹד (dod): beloved |
| 9 | וּ/נְבַקְשֶׁ֖/נּוּ | u./ne.vak.She./nu | so/ we may seek/ him | H1245 | HC/Vpu1cp/Sp3ms — Conjunction + Verb : Piel (Intensive/resultive/transtive, Active) Conjunction+Imperfect (Future/present Indicative) First Plural Either gender + Suffix (Third Singular Masculine) | בָּקַשׁ (ba.qash): to seek |
| 10 | עִמָּֽ/ךְ\׃ | 'i.Ma/kh | with/ you | H5973A | HR/Sp2fs — Preposition + Suffix (Second Singular Feminine) | עִם (im): with |

## Song of Songs 6:2

**Original:** דּוֹדִי֙ יָרַ֣ד לְגַנּ֔וֹ לַעֲרוּג֖וֹת הַבֹּ֑שֶׂם לִרְעוֹת֙ בַּגַּנִּ֔ים וְלִלְקֹ֖ט שֽׁוֹשַׁנִּֽים׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | דּוֹדִ/י֙ | do.D/i | lover/ my | H1730G | HNcmsc/Sp1bs — Noun (Singular Masculine, Construct) + Suffix (First Singular Either gender) | דּוֹד (dod): beloved |
| 2 | יָרַ֣ד | ya.Rad | he has gone down | H3381 | HVqp3ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine | יָרַד (ya.rad): to go down |
| 3 | לְ/גַנּ֔/וֹ | le./ga.N/o | to/ garden/ his | H1588M | HR/Ncbsc/Sp3ms — Preposition + Noun (Singular Either gender, Construct) + Suffix (Third Singular Masculine) | גַּן (gan): garden |
| 4 | לַ/עֲרוּג֖וֹת | la./'a.ru.Got | to/ [the] beds of | H6170 | HR/Ncfpc — Preposition + Noun (Plural Feminine, Construct) | עֲרוּגָה (a.ru.gah): bed |
| 5 | הַ/בֹּ֑שֶׂם | ha./Bo.sem | <the>/ spice | H1314 | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | בֶּ֫שֶׂם (be.sem): spice |
| 6 | לִ/רְעוֹת֙ | li/r.'Ot | to/ graze | H7462B | HR/Vqcc — Preposition + Verb : Qal (Simple, Active) Infinitive Construct | רָעָה (ra.ah): to pasture |
| 7 | בַּ/גַּנִּ֔ים | ba./ga.Nim | in the/ gardens | H1588M | HRd/Ncbpa — Preposition (Definite) + Noun (Plural Either gender, Absolute) | גַּן (gan): garden |
| 8 | וְ/לִ/לְקֹ֖ט | ve./li/l.Kot | and/ to/ gather | H3950 | HC/R/Vqcc — Conjunction + Preposition + Verb : Qal (Simple, Active) Infinitive Construct | לָקַט (la.qat): to gather |
| 9 | שֽׁוֹשַׁנִּֽים\׃ | Sho.o.sha.Nim | lilies | H7799 | HNcmpa — Noun (Plural Masculine, Absolute) | שׁוּשַׁן (shu.shan): lily |

## Song of Songs 6:3

**Original:** אֲנִ֤י לְדוֹדִי֙ וְדוֹדִ֣י לִ֔י הָרֹעֶ֖ה בַּשׁוֹשַׁנִּֽים׃\ \ס

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | אֲנִ֤י | 'a.Ni | I | H589 | HPp1bs — Pronoun (First Singular Either gender) | אֲנִי (a.ni): I |
| 2 | לְ/דוֹדִ/י֙ | le./do.D/i | [belong] to/ lover/ my | H1730G | HR/Ncmsc/Sp1bs — Preposition + Noun (Singular Masculine, Construct) + Suffix (First Singular Either gender) | דּוֹד (dod): beloved |
| 3 | וְ/דוֹדִ֣/י | ve./do.D/i | and/ lover/ my | H1730G | HC/Ncmsc/Sp1bs — Conjunction + Noun (Singular Masculine, Construct) + Suffix (First Singular Either gender) | דּוֹד (dod): beloved |
| 4 | לִ֔/י | L/i | [belongs] to/ me | H9005 | HR/Sp1bs — Preposition + Suffix (First Singular Either gender) | /ל (l): to/for |
| 5 | הָ/רֹעֶ֖ה | ha./ro.'Eh | who/ [is] grazing | H7462B | HTd/Vqrmsa — Definite article (Hebrew) + Verb : Qal (Simple, Active) Participle (Singular Masculine, Absolute) | רָעָה (ra.ah): to pasture |
| 6 | בַּ/שׁוֹשַׁנִּֽים\׃\ \ס | ba./sho.sha.Nim | among the/ lilies | H7799 | HRd/Ncmpa — Preposition (Definite) + Noun (Plural Masculine, Absolute) | שׁוּשַׁן (shu.shan): lily |

## Song of Songs 6:4

**Original:** יָפָ֨ה אַ֤תְּ רַעְיָתִי֙ כְּתִרְצָ֔ה נָאוָ֖ה כִּירוּשָׁלִָ֑ם אֲיֻמָּ֖ה כַּנִּדְגָּלֽוֹת׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | יָפָ֨ה | ya.Fah | [are] beautiful | H3303 | HAafsa — Adjective (Singular Feminine, Absolute) | יָפֶה (ya.pheh): beautiful |
| 2 | אַ֤תְּ | 'at | you | H859C | HPp2fs — Pronoun (Second Singular Feminine) | אַתְּ (at.te): you(f.s.) |
| 3 | רַעְיָתִ/י֙ | ra'.ya.T/i | O friend/ my | H7474 | HNcfsc/Sp1bs — Noun (Singular Feminine, Construct) + Suffix (First Singular Either gender) | רַעְיָה (ra.yah): darling |
| 4 | כְּ/תִרְצָ֔ה | ke./tir.Tzah | like/ Tirzah | H8656H | HR/Npl — Preposition + Proper Noun (Location) | תִּרְצָה (tir.tsah): Tirzah |
| 5 | נָאוָ֖ה | na.Vah | lovely | H5000 | HAafsa — Adjective (Singular Feminine, Absolute) | נָאוֶה (na.eh): lovely |
| 6 | כִּ/ירוּשָׁלִָ֑ם | ki./ru.sha.Lim | like/ Jerusalem | H3389 | HR/Npl — Preposition + Proper Noun (Location) | יְרוּשָׁלִַ֫ם, יְרוּשְׁלֵם (ye.ru.sha.laim): Jerusalem |
| 7 | אֲיֻמָּ֖ה | 'a.yu.Mah | majestic | H366 | HAafsa — Adjective (Singular Feminine, Absolute) | אָיֹם (a.yom): terrible |
| 8 | כַּ/נִּדְגָּלֽוֹת\׃ | ka./nid.ga.Lot | like <the>/ hosts with banners | H1713B | HRd/VNrfpa — Preposition (Definite) + Verb : Niphal (Simple, Passive) Participle (Plural Feminine, Absolute) | דָּגַל (da.gal): to set a banner |

## Song of Songs 6:5

**Original:** הָסֵ֤בִּי עֵינַ֙יִךְ֙ מִנֶּגְדִּ֔י שֶׁ֥הֵ֖ם הִרְהִיבֻ֑נִי שַׂעְרֵךְ֙ כְּעֵ֣דֶר הָֽעִזִּ֔ים שֶׁגָּלְשׁ֖וּ מִן־ הַגִּלְעָֽד׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | הָסֵ֤בִּי | ha.Se.bi | turn | H5437J | HVhv2fs — Verb : Hiphil (Causative/declarative, Active) Imperative Second Singular Feminine | סָבַב (sa.vav): to turn: repell |
| 2 | עֵינַ֙יִ/ךְ֙ | 'ei.Na.yi/kh | eyes/ your | H5869A | HNcfdc/Sp2fs — Noun (Dual Feminine, Construct) + Suffix (Second Singular Feminine) | עַ֫יִן (a.yin): eye |
| 3 | מִ/נֶּגְדִּ֔/י | mi./neg.D/i | from/ before/ me | H5048 | HR/Acmsc/Sp1bs — Preposition + Acmsc + Suffix (First Singular Either gender) | נֶ֫גֶד (ne.ged): before |
| 4 | שֶׁ֥/הֵ֖ם | she./Hem | that/ they | H1992 | HTr/Pp3mp — Relative Particle + Pronoun (Third Plural Masculine) | הֵ֫מָּה (hem.mah): they(masc.) |
