# STEP Bible — Song of Songs 8

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Song of Songs 8:1

**Original:** מִ֤י יִתֶּנְךָ֙ כְּאָ֣ח לִ֔י יוֹנֵ֖ק שְׁדֵ֣י אִמִּ֑י אֶֽמְצָאֲךָ֤ בַחוּץ֙ אֶשָׁ֣קְךָ֔ גַּ֖ם לֹא־ יָב֥וּזוּ לִֽי׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | מִ֤י | mi | who? | H4310 | HPi — Interrogative Pronoun | מִי (mi): who? |
| 2 | יִתֶּנְ/ךָ֙ | yi.ten./Kha | will he give/ you | H5414H | HVqi3ms/Sp2ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine + Suffix (Second Singular Masculine) | נָתַן (na.tan): to give: put |
| 3 | כְּ/אָ֣ח | ke./'Ach | like/ a brother | H251G | HR/Ncmsa — Preposition + Noun (Singular Masculine, Absolute) | אָח (ach): brother: male-sibling |
| 4 | לִ֔/י | L/i | to/ me | H9005 | HR/Sp1bs — Preposition + Suffix (First Singular Either gender) | /ל (l): to/for |
| 5 | יוֹנֵ֖ק | yo.Nek | [the] suckling-child of | H3243J | HNcmsc — Noun (Singular Masculine, Construct) | יָנַק (ya.naq): to suckle |
| 6 | שְׁדֵ֣י | she.Dei | [the] breasts of | H7699A | HNcmdc — Noun (Dual Masculine, Construct) | שַׁד (shad): breast |
| 7 | אִמִּ֑/י | 'i.M/i | mother/ my | H517 | HNcfsc/Sp1bs — Noun (Singular Feminine, Construct) + Suffix (First Singular Either gender) | אֵם (em): mother |
| 8 | אֶֽמְצָאֲ/ךָ֤ | 'em.tza.'a./Kha | I will find/ you | H4672 | HVqi1cs/Sp2ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/cohortative) First Singular Either gender + Suffix (Second Singular Masculine) | מָצָא (ma.tsa): to find |
| 9 | בַ/חוּץ֙ | va./Chutz | on the/ outside | H2351 | HRd/Ncmsa — Preposition (Definite) + Noun (Singular Masculine, Absolute) | חוּץ (chuts): outside |
| 10 | אֶשָׁ֣קְ/ךָ֔ | 'e.Sha.ke./cha | I will kiss/ you | H5401A | HVqi1cs/Sp2ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/cohortative) First Singular Either gender + Suffix (Second Singular Masculine) | נָשַׁק (na.shaq): to kiss |
| 11 | גַּ֖ם | gam | also | H1571 | HD — Adverb | גַּם (gam): also |
| 12 | לֹא\־ | lo'- | not | H3808 | HTn — Negative Particle | לֹא (lo): not |
| 13 | יָב֥וּזוּ | ya.Vu.zu | people will despise | H936 | HVqi3mp — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Plural Masculine | בּוּז (buz): to despise |
| 14 | לִֽ/י\׃ | L/i | <to>/ me | H9005 | HR/Sp1bs — Preposition + Suffix (First Singular Either gender) | /ל (l): to/for |

## Song of Songs 8:2

