# STEP Bible — Zechariah 6

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Zechariah 6:1

**Original:** וָאָשֻׁ֗ב וָאֶשָּׂ֤א עֵינַי֙ וָֽאֶרְאֶ֔ה וְהִנֵּ֨ה אַרְבַּ֤ע מַרְכָּבוֹת֙ יֹֽצְא֔וֹת מִבֵּ֖ין שְׁנֵ֣י הֶֽהָרִ֑ים וְהֶהָרִ֖ים הָרֵ֥י נְחֹֽשֶׁת׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וָ/אָשֻׁ֗ב | va./'a.Shuv | and/ I returned | H7725J | Hc/Vqw1cs — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) First Singular Either gender | שׁוּב (shuv): to return: again |
| 2 | וָ/אֶשָּׂ֤א | va./'e.Sa' | and/ I lifted up | H5375M | Hc/Vqw1cs — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) First Singular Either gender | נָשָׂא (na.sa): to lift: look |
| 3 | עֵינַ/י֙ | 'ei.Na/i | eyes/ my | H5869A | HNcfdc/Sp1bs — Noun (Dual Feminine, Construct) + Suffix (First Singular Either gender) | עַ֫יִן (a.yin): eye |
| 4 | וָֽ/אֶרְאֶ֔ה | va./'er.'Eh | and/ I saw | H7200G | Hc/Vqw1cs — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) First Singular Either gender | רָאָה (ra.ah): to see: see |
| 5 | וְ/הִנֵּ֨ה | ve./hi.Neh | and/ there! | H2009 | HC/Tj — Conjunction + Interjection | הִנֵּה (hin.neh): behold |
| 6 | אַרְבַּ֤ע | 'ar.Ba' | four | H702 | HNcbsc — Noun (Singular Either gender, Construct) | אַרְבַּע (ar.ba): four |
| 7 | מַרְכָּבוֹת֙ | mar.ka.Vot | chariots | H4818 | HNcfpa — Noun (Plural Feminine, Absolute) | מֶרְכָּבָה (mer.ka.vah): chariot |
| 8 | יֹֽצְא֔וֹת | yo.tze.'ot | [were] coming forth | H3318G | HVqrfpa — Verb : Qal (Simple, Active) Participle (Plural Feminine, Absolute) | יָצָא (ya.tsa): to come out: come |
| 9 | מִ/בֵּ֖ין | mi./Bein | from/ between | H996G | HR/Acmsc — Preposition + Acmsc | בַּ֫יִן (ba.yin): between |
| 10 | שְׁנֵ֣י | she.Nei | [the] two | H8147 | HNcbdc — Noun (Dual Either gender, Construct) | שְׁנַ֫יִם (she.na.yim): two |
| 11 | הֶֽ/הָרִ֑ים | he./ha.Rim | the/ mountains | H2022G | HTd/Ncmpa — Definite article (Hebrew) + Noun (Plural Masculine, Absolute) | הַר (har): mountain: mount |
| 12 | וְ/הֶ/הָרִ֖ים | ve./he./ha.Rim | and/ the/ mountains | H2022G | HC/Td/Ncmpa — Conjunction + Definite article (Hebrew) + Noun (Plural Masculine, Absolute) | הַר (har): mountain: mount |
| 13 | הָרֵ֥י | ha.Rei | [were] mountains of | H2022G | HNcmpc — Noun (Plural Masculine, Construct) | הַר (har): mountain: mount |
| 14 | נְחֹֽשֶׁת\׃ | ne.Cho.shet | bronze | H5178A | HNcfsa — Noun (Singular Feminine, Absolute) | נְחֹ֫שֶׁת (ne.cho.shet): bronze |

## Zechariah 6:2

**Original:** בַּמֶּרְכָּבָ֥ה הָרִֽאשֹׁנָ֖ה סוּסִ֣ים אֲדֻמִּ֑ים וּבַמֶּרְכָּבָ֥ה הַשֵּׁנִ֖ית סוּסִ֥ים שְׁחֹרִֽים׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | בַּ/מֶּרְכָּבָ֥ה | ba./mer.ka.Vah | [were] with the/ chariot | H4818 | HRd/Ncfsa — Preposition (Definite) + Noun (Singular Feminine, Absolute) | מֶרְכָּבָה (mer.ka.vah): chariot |
| 2 | הָ/רִֽאשֹׁנָ֖ה | ha./ri.sho.Nah | <the>/ first | H7223G | HTd/Aofsa — Definite article (Hebrew) + Aofsa | רִאשׁוֹן (ri.shon): first |
| 3 | סוּסִ֣ים | su.Sim | horses | H5483M | HNcmpa — Noun (Plural Masculine, Absolute) | סוּס (sus): horse |
| 4 | אֲדֻמִּ֑ים | 'a.du.Mim | red | H122A | HAampa — Adjective (Plural Masculine, Absolute) | אָדֹם (a.dom): red |
| 5 | וּ/בַ/מֶּרְכָּבָ֥ה | u./va./mer.ka.Vah | and/ [were] with the/ chariot | H4818 | HC/Rd/Ncfsa — Conjunction + Preposition (Definite) + Noun (Singular Feminine, Absolute) | מֶרְכָּבָה (mer.ka.vah): chariot |
| 6 | הַ/שֵּׁנִ֖ית | ha./she.Nit | <the>/ second | H8145 | HTd/Aofsa — Definite article (Hebrew) + Aofsa | שֵׁנִי (she.ni): second |
| 7 | סוּסִ֥ים | su.Sim | horses | H5483M | HNcmpa — Noun (Plural Masculine, Absolute) | סוּס (sus): horse |
| 8 | שְׁחֹרִֽים\׃ | she.cho.Rim | black | H7838 | HAampa — Adjective (Plural Masculine, Absolute) | שָׁחֹר (sha.chor): black |

## Zechariah 6:3

**Original:** וּבַמֶּרְכָּבָ֥ה הַשְּׁלִשִׁ֖ית סוּסִ֣ים לְבָנִ֑ים וּבַמֶּרְכָּבָה֙ הָרְבִעִ֔ית סוּסִ֥ים בְּרֻדִּ֖ים אֲמֻצִּֽים׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וּ/בַ/מֶּרְכָּבָ֥ה | u./va./mer.ka.Vah | and/ [were] with the/ chariot | H4818 | HC/Rd/Ncfsa — Conjunction + Preposition (Definite) + Noun (Singular Feminine, Absolute) | מֶרְכָּבָה (mer.ka.vah): chariot |
