# STEP Bible — Zephaniah 3

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Zephaniah 3:1

**Original:** ה֥וֹי מֹרְאָ֖ה וְנִגְאָלָ֑ה הָעִ֖יר הַיּוֹנָֽה׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | ה֥וֹי | Ho | woe to! | H1945 | HTj — Interjection | הוֹי (hoy): woe! |
| 2 | מֹרְאָ֖ה | mo.re.'Ah | [the] filthy [one] | H4754 | HVqrfsa — Verb : Qal (Simple, Active) Participle (Singular Feminine, Absolute) | מָרָא (ma.ra): to flap |
| 3 | וְ/נִגְאָלָ֑ה | ve./nig.'a.Lah | and/ [the] defiled [one] | H1351 | HC/VNrfsa — Conjunction + Verb : Niphal (Simple, Passive) Participle (Singular Feminine, Absolute) | גָּאַל (ga.al): to defile |
| 4 | הָ/עִ֖יר | ha./'Ir | the/ city | H5892B | HTd/Ncfsa — Definite article (Hebrew) + Noun (Singular Feminine, Absolute) | עִיר (ir): city |
| 5 | הַ/יּוֹנָֽה\׃ | hai./yo.Nah | which/ oppresses | H3238 | HTd/Vqrfsa — Definite article (Hebrew) + Verb : Qal (Simple, Active) Participle (Singular Feminine, Absolute) | יָנָה (ya.nah): to oppress |

## Zephaniah 3:2

**Original:** לֹ֤א שָֽׁמְעָה֙ בְּק֔וֹל לֹ֥א לָקְחָ֖ה מוּסָ֑ר בַּֽיהוָה֙ לֹ֣א בָטָ֔חָה אֶל־ אֱלֹהֶ֖יהָ לֹ֥א קָרֵֽבָה׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | לֹ֤א | lo' | not | H3808 | HTn — Negative Particle | לֹא (lo): not |
| 2 | שָֽׁמְעָה֙ | sha.me.'Ah | it has listened | H8085G | HVqp3fs — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Feminine | שָׁמַע (sha.ma): to hear: hear |
| 3 | בְּ/ק֔וֹל | be./Kol | to/ a voice | H6963A | HR/Ncmsa — Preposition + Noun (Singular Masculine, Absolute) | קוֹל (qol): voice |
| 4 | לֹ֥א | lo' | not | H3808 | HTn — Negative Particle | לֹא (lo): not |
| 5 | לָקְחָ֖ה | la.ke.Chah | it has accepted | H3947H | HVqp3fs — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Feminine | לָקַח (la.qach): to take: recieve |
| 6 | מוּסָ֑ר | mu.Sar | correction | H4148G | HNcmsa — Noun (Singular Masculine, Absolute) | מוּסָר (mu.sar): discipline |
| 7 | בַּֽ/יהוָה֙ | ba./Yah.weh | in/ Yahweh | H3068G | HR/Npt — Preposition + Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 8 | לֹ֣א | lo' | not | H3808 | HTn — Negative Particle | לֹא (lo): not |
| 9 | בָטָ֔חָה | va.Ta.chah | it has trusted | H982 | HVqp3fs — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Feminine | בָּטַח (ba.tach): to trust |
| 10 | אֶל\־ | 'el- | to | H413 | HR — Preposition | אֶל (el): to(wards) |
| 11 | אֱלֹהֶ֖י/הָ | 'e.lo.Hei./ha | God/ its | H430G | HNcmpc/Sp3fs — Noun (Plural Masculine, Construct) + Suffix (Third Singular Feminine) | אֱלֹהִים (e.lo.him): God |
| 12 | לֹ֥א | lo' | not | H3808 | HTn — Negative Particle | לֹא (lo): not |
